block	nitro	cowpea	maize	cyield	myield
B1	N0	C1	M1	259	2121
B1	N1	C1	M1	614	3055
B1	N2	C1	M1	355	3922
B1	N3	C1	M1	609	4129
B1	N0	C2	M1	601	2535
B1	N1	C2	M1	627	2675
B1	N2	C2	M1	608	3855
B1	N3	C2	M1	369	3815
B2	N0	C1	M1	645	2675
B2	N1	C1	M1	470	3262
B2	N2	C1	M1	570	3955
B2	N3	C1	M1	837	4129
B2	N0	C2	M1	707	2535
B2	N1	C2	M1	470	3402
B2	N2	C2	M1	590	3815
B2	N3	C2	M1	499	4202
B3	N0	C1	M1	470	3162
B3	N1	C1	M1	753	3749
B3	N2	C1	M1	435	4095
B3	N3	C1	M1	671	4022
B3	N0	C2	M1	879	2288
B3	N1	C2	M1	657	3122
B3	N2	C2	M1	765	3535
B3	N3	C2	M1	506	3749
B1	N0	C1	M2	523	2254
B1	N1	C1	M2	408	3989
B1	N2	C1	M2	311	4642
B1	N3	C1	M2	459	3975
B1	N0	C2	M2	403	4209
B1	N1	C2	M2	351	4789
B1	N2	C2	M2	425	5083
B1	N3	C2	M2	272	5656
B2	N0	C1	M2	540	3628
B2	N1	C1	M2	321	3989
B2	N2	C1	M2	457	4135
B2	N3	C1	M2	483	4789
B2	N0	C2	M2	308	3989
B2	N1	C2	M2	469	4936
B2	N2	C2	M2	262	4496
B2	N3	C2	M2	421	5516
B3	N0	C1	M2	380	4069
B3	N1	C1	M2	448	4429
B3	N2	C1	M2	435	4642
B3	N3	C1	M2	447	4282
B3	N0	C2	M2	715	2321
B3	N1	C2	M2	602	3342
B3	N2	C2	M2	612	3702
B3	N3	C2	M2	280	5223
B1	N0	C1	M3	585	2395
B1	N1	C1	M3	427	4429
B1	N2	C1	M3	361	5589
B1	N3	C1	M3	416	5990
B1	N0	C2	M3	590	2901
B1	N1	C2	M3	527	3555
B1	N2	C2	M3	259	6023
B1	N3	C2	M3	304	5516
B2	N0	C1	M3	455	2975
B2	N1	C1	M3	305	4135
B2	N2	C1	M3	586	4429
B2	N3	C1	M3	357	5336
B2	N0	C2	M3	490	4429
B2	N1	C2	M3	321	4936
B2	N2	C2	M3	263	5296
B2	N3	C2	M3	295	5083
B3	N0	C1	M3	484	4576
B3	N1	C1	M3	387	4429
B3	N2	C1	M3	208	5156
B3	N3	C1	M3	324	5663
B3	N0	C2	M3	676	3482
B3	N1	C2	M3	447	4135
B3	N2	C2	M3	526	4069
B3	N3	C2	M3	357	5369
