gen	env	yield	year	loc
Coker21	AL85	10.2	85	AL
G4522	AL85	8.8	85	AL
G4673A	AL85	8.8	85	AL
G4733	AL85	9.3	85	AL
G4765	AL85	9.6	85	AL
McCurdy8150	AL85	7.2	85	AL
McCurdy8172	AL85	8.4	85	AL
PB3147	AL85	9.6	85	AL
PB3165	AL85	7.9	85	AL
PB3320	AL85	10	85	AL
PB3358	AL85	9.3	85	AL
PB3389	AL85	8	85	AL
Sunbelt1802	AL85	10.1	85	AL
Sunbelt1827	AL85	9.4	85	AL
Sunbelt1860	AL85	10.8	85	AL
Cargill8951	AL85	6.3	85	AL
Cargill8990	AL85	7.4	85	AL
Coker21	BR85	7	85	BR
G4522	BR85	7.8	85	BR
G4673A	BR85	7	85	BR
G4733	BR85	6.9	85	BR
G4765	BR85	7	85	BR
McCurdy8150	BR85	8.3	85	BR
McCurdy8172	BR85	7.4	85	BR
PB3147	BR85	6.5	85	BR
PB3165	BR85	6.8	85	BR
PB3320	BR85	7.9	85	BR
PB3358	BR85	7.3	85	BR
PB3389	BR85	6.8	85	BR
Sunbelt1802	BR85	8.1	85	BR
Sunbelt1827	BR85	7.1	85	BR
Sunbelt1860	BR85	7.1	85	BR
Cargill8951	BR85	6.4	85	BR
Cargill8990	BR85	4.1	85	BR
Coker21	BC85	5.3	85	BC
G4522	BC85	4.4	85	BC
G4673A	BC85	5.3	85	BC
G4733	BC85	4.4	85	BC
G4765	BC85	5.5	85	BC
McCurdy8150	BC85	4.6	85	BC
McCurdy8172	BC85	6.2	85	BC
PB3147	BC85	6	85	BC
PB3165	BC85	6.5	85	BC
PB3320	BC85	5.3	85	BC
PB3358	BC85	5.7	85	BC
PB3389	BC85	4.4	85	BC
Sunbelt1802	BC85	4.2	85	BC
Sunbelt1827	BC85	5.6	85	BC
Sunbelt1860	BC85	5.8	85	BC
Cargill8951	BC85	3.9	85	BC
Cargill8990	BC85	3.8	85	BC
Coker21	SJ85	7.8	85	SJ
G4522	SJ85	5.9	85	SJ
G4673A	SJ85	7.3	85	SJ
G4733	SJ85	5.9	85	SJ
G4765	SJ85	7.8	85	SJ
McCurdy8150	SJ85	6.3	85	SJ
McCurdy8172	SJ85	7.9	85	SJ
PB3147	SJ85	7.5	85	SJ
PB3165	SJ85	7.6	85	SJ
PB3320	SJ85	5.4	85	SJ
PB3358	SJ85	5.6	85	SJ
PB3389	SJ85	7.8	85	SJ
Sunbelt1802	SJ85	6.5	85	SJ
Sunbelt1827	SJ85	8.1	85	SJ
Sunbelt1860	SJ85	7.5	85	SJ
Cargill8951	SJ85	5	85	SJ
Cargill8990	SJ85	5.4	85	SJ
Coker21	AL86	9	86	AL
G4522	AL86	9.2	86	AL
G4673A	AL86	8.8	86	AL
G4733	AL86	10.6	86	AL
G4765	AL86	8.3	86	AL
McCurdy8150	AL86	9.3	86	AL
McCurdy8172	AL86	9.6	86	AL
PB3147	AL86	8.8	86	AL
PB3165	AL86	7.9	86	AL
PB3320	AL86	9.1	86	AL
PB3358	AL86	7.7	86	AL
PB3389	AL86	9.5	86	AL
Sunbelt1802	AL86	9.4	86	AL
