"row"	"col"	"yield"	"sugar"	"purity"
1	1	45.3	14.6	85.4
1	2	54	14.41	84.8
1	3	47.7	13.85	81
1	4	50.8	14.24	84.8
1	5	43.3	14.22	83.6
1	6	51.7	13.18	81.9
1	7	47.4	13.66	82.3
1	8	48.1	14.02	85.5
1	9	53.9	14.14	84.2
1	10	54.8	14.58	86.8
2	1	47.8	14.22	84.6
2	2	54.3	14.58	84.8
2	3	47.2	14.29	86.1
2	4	42.6	13.61	82
2	5	41.7	13.66	82.8
2	6	46.1	14.2	87.6
2	7	45.3	13.76	83.4
2	8	47.8	14.17	84.8
2	9	47.3	14.07	85.8
2	10	51.4	14.22	84.6
3	1	46	14.31	84.7
3	2	49.2	14.52	83
3	3	48.5	14.99	85.7
3	4	47.7	14.09	81.4
3	5	46.1	13.76	83.9
3	6	53.4	14.8	86
3	7	49.3	13.9	84.2
3	8	47.6	13.81	82.2
3	9	54.8	14.51	85.4
3	10	59.8	14.36	85.5
4	1	47.3	14.58	84.3
4	2	43.8	14.19	83
4	3	53.4	14.85	88.4
4	4	59.5	13.68	82.9
4	5	40.8	13.37	81.5
4	6	38.8	13.9	84.8
4	7	47.3	13.97	85.2
4	8	43.6	13.51	80.4
4	9	47.6	14.41	85.8
4	10	45.6	14.1	83.9
5	1	43.7	14.14	86.5
5	2	47.7	13.66	83.8
5	3	50.7	14.4	84.2
5	4	45.1	14.17	84.4
5	5	51.5	13.83	82.3
5	6	49	13.2	83
5	7	42.6	14.22	87.2
5	8	41.9	14.34	84.8
5	9	45.5	14.36	85
5	10	42.7	14.63	86.1
6	1	48.1	14.84	86.3
6	2	48.8	13.87	81.1
6	3	57.7	14.41	85.8
6	4	48.1	13.74	80.8
6	5	44.8	14.41	86.3
6	6	41.8	13.69	86.1
6	7	45.7	13.68	83.9
6	8	48.6	14.26	84.4
6	9	49.3	15.19	88.3
6	10	56.3	14.52	84.9
7	1	45.6	15.38	86.4
7	2	46	14.14	84.2
7	3	42.7	13.44	80.5
7	4	42.8	13.95	84
7	5	51.5	13.35	81.4
7	6	47.7	13.71	84.6
7	7	48.8	13.2	83
7	8	47.1	14.43	85.9
7	9	49.4	15.87	89.2
7	10	49.5	14.6	84.4
8	1	48.7	14.82	84.7
8	2	44.9	14.09	82.4
8	3	46	14.38	84.1
8	4	48.3	14.64	84.6
8	5	39	14.29	85.1
8	6	44.7	14.27	84.9
8	7	48.5	13.97	85.2
8	8	41.6	14.58	85.8
8	9	38.3	14.24	83.3
8	10	53	14.16	82.3
9	1	37.1	15.87	89.7
9	2	48.1	13.37	79.6
9	3	39.4	13.66	80.4
9	4	46.3	13.66	80.8
9	5	48.5	13.98	82.2
9	6	50.3	14.58	85.3
9	7	50.2	13.9	81.8
9	8	50	13.51	80.9
9	9	41.9	14.48	85.7
9	10	58.1	15.65	87.4
10	1	41.4	13.74	80.8
10	2	51.2	13.9	82.7
10	3	47.6	14.24	85.8
10	4	46.7	13.76	81.9
10	5	45.2	13.68	82.9
10	6	48.2	13.95	83
10	7	48	13.71	85.7
10	8	51.1	13.53	79.6
10	9	52	14.31	85.2
10	10	59.1	15.04	86.9
11	1	43.3	13.88	81.7
11	2	47.6	13.29	77.7
11	3	52.8	14.87	86
11	4	50.5	14.48	84.7
11	5	47.6	13.71	81.1
11	6	47.6	13.27	79
11	7	48.4	14.27	84.9
11	8	45.3	14.29	84.6
11	9	53.6	15.5	89.1
11	10	57.3	14.87	87
12	1	47.2	14.46	85.6
12	2	51.8	14.31	84.2
12	3	49.6	14.17	83.9
12	4	47.2	14.02	86.5
12	5	48.7	14.16	83.3
12	6	42.8	14.07	85.3
12	7	54.2	14.31	85.2
12	8	55.9	14.14	83.7
12	9	53.3	14.6	85.4
12	10	54.7	15.38	87.9
13	1	52.8	13.81	84.2
13	2	49.7	14.48	86.2
13	3	52.9	13.51	79.9
13	4	52.5	14.82	86.2
13	5	49.4	13.49	82.8
13	6	52.4	14.14	81.7
13	7	54.2	14.05	83.6
13	8	48.2	13.29	80.8
13	9	50.6	14.38	85.1
13	10	51.7	14.9	88.2
14	1	52.5	14.77	85.4
14	2	57.1	14.6	84.4
14	3	50.1	14.34	85.4
14	4	46.2	13.95	83
14	5	53.4	14.07	83.8
14	6	48.7	14	83.3
14	7	52.1	14.25	86.4
14	8	52.6	14.24	84.3
14	9	63.3	15.02	88.9
14	10	52.6	14.02	81
15	1	43.7	14.07	82.8
15	2	43	14.26	82.4
15	3	51	14.78	88.5
15	4	47.3	13.81	82.2
15	5	56.3	14.35	83.4
15	6	44	14.22	84.1
15	7	44.1	13.95	82.5
15	8	43.2	14.36	86
15	9	57.8	14.41	85.8
15	10	50	13.61	80.1
16	1	61.2	14.76	87.3
16	2	56.3	14.03	84
16	3	53.8	13.44	80.5
16	4	54.7	14.22	84.1
16	5	59.1	15.47	86.9
16	6	49.1	13.95	83
16	7	55.7	13.9	83.7
16	8	48	14.58	84.8
16	9	57.6	14.85	87.9
16	10	51.7	14.92	85.8
17	1	55.7	14.76	86.8
17	2	49.7	13.52	84
17	3	55.6	14	83.8
17	4	45.9	14.31	83.7
17	5	54.2	14.65	84.7
17	6	46.4	14.43	84.9
17	7	61.1	14.14	84.7
17	8	54.7	14.79	87.5
17	9	56.4	13.71	80.7
17	10	51.2	15.06	86.1
18	1	43.5	13.51	79.9
18	2	48.5	13.41	79.8
