"plot"	"variety"	"year"	"day"	"weight"
"1988F1"	"F"	1988	14	0.106
"1988F1"	"F"	1988	21	0.261
"1988F1"	"F"	1988	28	0.666
"1988F1"	"F"	1988	35	2.11
"1988F1"	"F"	1988	42	3.56
"1988F1"	"F"	1988	49	6.23
"1988F1"	"F"	1988	56	8.71
"1988F1"	"F"	1988	63	13.35
"1988F1"	"F"	1988	70	16.3417
"1988F1"	"F"	1988	77	17.75083
"1988F2"	"F"	1988	14	0.104
"1988F2"	"F"	1988	21	0.269
"1988F2"	"F"	1988	28	0.778
"1988F2"	"F"	1988	35	2.12
"1988F2"	"F"	1988	42	2.93
"1988F2"	"F"	1988	49	5.29
"1988F2"	"F"	1988	56	9.5
"1988F2"	"F"	1988	70	16.9667
"1988F2"	"F"	1988	77	17.7467
"1988F3"	"F"	1988	14	0.108
"1988F3"	"F"	1988	21	0.291
"1988F3"	"F"	1988	28	0.667
"1988F3"	"F"	1988	35	2.05
"1988F3"	"F"	1988	42	3.81
"1988F3"	"F"	1988	49	6.13
"1988F3"	"F"	1988	56	10.28
"1988F3"	"F"	1988	63	18.08
"1988F3"	"F"	1988	70	20.1825
"1988F3"	"F"	1988	77	21.8108
"1988F4"	"F"	1988	14	0.105
"1988F4"	"F"	1988	21	0.299
"1988F4"	"F"	1988	28	0.844
"1988F4"	"F"	1988	35	1.32
"1988F4"	"F"	1988	42	2.24
"1988F4"	"F"	1988	49	4.68
"1988F4"	"F"	1988	56	8.82
"1988F4"	"F"	1988	63	15.09
"1988F4"	"F"	1988	70	14.66
"1988F4"	"F"	1988	77	14.0046
"1988F5"	"F"	1988	14	0.101
"1988F5"	"F"	1988	21	0.273
"1988F5"	"F"	1988	28	0.848
"1988F5"	"F"	1988	35	1.95
"1988F5"	"F"	1988	42	4.77
"1988F5"	"F"	1988	49	6.01
"1988F5"	"F"	1988	56	9.91
"1988F5"	"F"	1988	70	19.2623
"1988F6"	"F"	1988	14	0.106
"1988F6"	"F"	1988	21	0.337
"1988F6"	"F"	1988	28	0.699
"1988F6"	"F"	1988	35	1.53
"1988F6"	"F"	1988	42	3.87
"1988F6"	"F"	1988	49	5.6
"1988F6"	"F"	1988	56	9.43
"1988F6"	"F"	1988	63	13.73
"1988F6"	"F"	1988	70	17.3808
"1988F6"	"F"	1988	77	19.9323
"1988F7"	"F"	1988	14	0.102
"1988F7"	"F"	1988	21	0.275
"1988F7"	"F"	1988	28	0.767
"1988F7"	"F"	1988	35	1.45
"1988F7"	"F"	1988	42	3.95
"1988F7"	"F"	1988	49	4.94
"1988F7"	"F"	1988	56	9.64
"1988F7"	"F"	1988	70	17.88
"1988F7"	"F"	1988	77	17.7242
"1988F8"	"F"	1988	14	0.103
"1988F8"	"F"	1988	21	0.273
"1988F8"	"F"	1988	28	0.742
"1988F8"	"F"	1988	35	1.41
"1988F8"	"F"	1988	42	3.01
"1988F8"	"F"	1988	49	5.26
"1988F8"	"F"	1988	56	9.81
"1988F8"	"F"	1988	63	12.85
"1988F8"	"F"	1988	70	18.21417
"1988F8"	"F"	1988	77	19.68
"1988P1"	"P"	1988	14	0.131
"1988P1"	"P"	1988	21	0.338
"1988P1"	"P"	1988	28	0.701
"1988P1"	"P"	1988	35	1.66
"1988P1"	"P"	1988	42	4.25
"1988P1"	"P"	1988	49	9.24
"1988P1"	"P"	1988	56	12.15
"1988P1"	"P"	1988	63	16.78
"1988P1"	"P"	1988	70	15.925
"1988P1"	"P"	1988	77	17.2723
"1988P2"	"P"	1988	14	0.128
"1988P2"	"P"	1988	21	0.404
"1988P2"	"P"	1988	28	0.897
"1988P2"	"P"	1988	35	1.78
"1988P2"	"P"	1988	42	3.91
"1988P2"	"P"	1988	49	7.4
"1988P2"	"P"	1988	56	10.07
"1988P2"	"P"	1988	63	18.86
"1988P2"	"P"	1988	70	17.0117
"1988P2"	"P"	1988	77	27.37
"1988P3"	"P"	1988	14	0.131
"1988P3"	"P"	1988	21	0.379
"1988P3"	"P"	1988	28	1.126
"1988P3"	"P"	1988	35	2.44
"1988P3"	"P"	1988	42	3.89
"1988P3"	"P"	1988	49	6.91
"1988P3"	"P"	1988	56	12.49
"1988P3"	"P"	1988	63	15.67
"1988P3"	"P"	1988	70	23.7633
"1988P3"	"P"	1988	77	21.4908
"1988P4"	"P"	1988	14	0.154
