block	row	col	fumigant	dose	initial	final
B1	1	2	Con	0	269	466
B1	1	3	See	2	283	280
B1	1	4	Chl	1	252	398
B1	1	5	Cym	1	212	386
B1	1	6	Car	1	138	194
B1	1	7	Con	0	100	219
B1	2	2	Con	0	197	421
B1	2	3	Cym	2	263	379
B1	2	4	Car	2	282	372
B1	2	5	See	1	230	256
B1	2	6	Con	0	216	708
B1	2	7	Chl	2	145	304
B4	2	9	Cym	2	95	199
B4	2	10	Car	2	127	166
B4	2	11	See	2	80	142
B2	3	1	See	1	124	268
B2	3	2	Con	0	211	505
B2	3	3	Car	1	194	433
B2	3	4	See	2	222	408
B3	3	5	See	2	193	292
B3	3	6	Con	0	209	352
B3	3	7	See	1	109	132
B3	3	8	Cym	1	153	454
B4	3	9	Con	0	134	590
B4	3	10	See	1	107	236
B4	3	11	Chl	1	89	332
B2	4	1	Con	0	102	363
B2	4	2	Chl	2	193	561
B2	4	3	Car	2	128	311
B2	4	4	Chl	1	42	222
B3	4	5	Con	0	29	254
B3	4	6	Chl	2	9	92
B3	4	7	Car	2	17	28
B3	4	8	Con	0	19	106
B4	4	9	Cym	1	41	176
B4	4	10	Car	0	74	137
B4	4	11	Con	0	88	356
B2	5	1	Cym	2	162	365
B2	5	2	Con	0	191	563
B2	5	3	Cym	1	107	415
B2	5	4	Con	0	67	338
B3	5	5	Car	1	23	80
B3	5	6	Chl	1	19	114
B3	5	7	Con	0	44	268
B3	5	8	Cym	2	48	298
B4	5	9	Con	0	25	212
B4	5	10	Chl	2	42	308
B4	5	11	Car	1	62	221
