"roots"	"trtn"	"photo"	"bap"
1	30	8	2.2
1	30	8	2.2
1	30	8	2.2
2	30	8	2.2
2	30	8	2.2
3	30	8	2.2
3	30	8	2.2
3	30	8	2.2
4	30	8	2.2
4	30	8	2.2
4	30	8	2.2
4	30	8	2.2
4	30	8	2.2
4	30	8	2.2
5	30	8	2.2
5	30	8	2.2
5	30	8	2.2
6	30	8	2.2
6	30	8	2.2
7	30	8	2.2
7	30	8	2.2
8	30	8	2.2
8	30	8	2.2
8	30	8	2.2
9	30	8	2.2
10	30	8	2.2
10	30	8	2.2
11	30	8	2.2
13	30	8	2.2
17	30	8	2.2
2	30	8	4.4
2	30	8	4.4
2	30	8	4.4
4	30	8	4.4
6	30	8	4.4
6	30	8	4.4
6	30	8	4.4
7	30	8	4.4
7	30	8	4.4
7	30	8	4.4
7	30	8	4.4
7	30	8	4.4
7	30	8	4.4
7	30	8	4.4
8	30	8	4.4
8	30	8	4.4
8	30	8	4.4
9	30	8	4.4
9	30	8	4.4
9	30	8	4.4
9	30	8	4.4
9	30	8	4.4
10	30	8	4.4
10	30	8	4.4
10	30	8	4.4
11	30	8	4.4
11	30	8	4.4
11	30	8	4.4
11	30	8	4.4
13	30	8	4.4
2	40	8	8.8
3	40	8	8.8
3	40	8	8.8
4	40	8	8.8
4	40	8	8.8
4	40	8	8.8
4	40	8	8.8
5	40	8	8.8
5	40	8	8.8
5	40	8	8.8
5	40	8	8.8
6	40	8	8.8
6	40	8	8.8
6	40	8	8.8
6	40	8	8.8
7	40	8	8.8
7	40	8	8.8
7	40	8	8.8
7	40	8	8.8
8	40	8	8.8
8	40	8	8.8
8	40	8	8.8
8	40	8	8.8
8	40	8	8.8
8	40	8	8.8
8	40	8	8.8
9	40	8	8.8
9	40	8	8.8
9	40	8	8.8
9	40	8	8.8
9	40	8	8.8
10	40	8	8.8
10	40	8	8.8
10	40	8	8.8
10	40	8	8.8
11	40	8	8.8
12	40	8	8.8
12	40	8	8.8
14	40	8	8.8
14	40	8	8.8
0	40	8	17.6
0	40	8	17.6
3	40	8	17.6
3	40	8	17.6
4	40	8	17.6
4	40	8	17.6
5	40	8	17.6
5	40	8	17.6
5	40	8	17.6
5	40	8	17.6
5	40	8	17.6
6	40	8	17.6
6	40	8	17.6
6	40	8	17.6
6	40	8	17.6
6	40	8	17.6
7	40	8	17.6
7	40	8	17.6
7	40	8	17.6
7	40	8	17.6
8	40	8	17.6
8	40	8	17.6
8	40	8	17.6
8	40	8	17.6
8	40	8	17.6
8	40	8	17.6
8	40	8	17.6
8	40	8	17.6
9	40	8	17.6
9	40	8	17.6
9	40	8	17.6
10	40	8	17.6
10	40	8	17.6
10	40	8	17.6
10	40	8	17.6
11	40	8	17.6
11	40	8	17.6
11	40	8	17.6
11	40	8	17.6
14	40	8	17.6
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
0	30	16	2.2
2	30	16	2.2
2	30	16	2.2
3	30	16	2.2
3	30	16	2.2
4	30	16	2.2
5	30	16	2.2
5	30	16	2.2
6	30	16	2.2
8	30	16	2.2
9	30	16	2.2
9	30	16	2.2
9	30	16	2.2
10	30	16	2.2
11	30	16	2.2
12	30	16	2.2
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
0	30	16	4.4
1	30	16	4.4
1	30	16	4.4
2	30	16	4.4
3	30	16	4.4
4	30	16	4.4
4	30	16	4.4
5	30	16	4.4
6	30	16	4.4
6	30	16	4.4
8	30	16	4.4
10	30	16	4.4
10	30	16	4.4
10	30	16	4.4
12	30	16	4.4
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
0	30	16	8.8
1	30	16	8.8
1	30	16	8.8
1	30	16	8.8
2	30	16	8.8
2	30	16	8.8
3	30	16	8.8
4	30	16	8.8
4	30	16	8.8
5	30	16	8.8
5	30	16	8.8
6	30	16	8.8
6	30	16	8.8
6	30	16	8.8
7	30	16	8.8
9	30	16	8.8
9	30	16	8.8
11	30	16	8.8
12	30	16	8.8
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
0	40	16	17.6
1	40	16	17.6
1	40	16	17.6
2	40	16	17.6
2	40	16	17.6
3	40	16	17.6
3	40	16	17.6
3	40	16	17.6
3	40	16	17.6
4	40	16	17.6
4	40	16	17.6
4	40	16	17.6
5	40	16	17.6
6	40	16	17.6
6	40	16	17.6
6	40	16	17.6
6	40	16	17.6
7	40	16	17.6
7	40	16	17.6
7	40	16	17.6
9	40	16	17.6
9	40	16	17.6
