rep	row	col	gen	yield
R1	1	1	G05	1.5318
R1	1	2	G19	2.2211
R1	1	3	G55	1.4589
R1	1	4	G23	1.2436
R1	1	5	G27	1.8989
R1	1	6	G38	1.3366
R1	1	7	G64	1.8966
R1	1	8	G44	1.4775
R1	1	9	G14	1.6483
R1	1	10	G13	1.522
R1	1	11	G59	1.8581
R1	1	12	G25	1.973
R1	1	13	G45	2.529
R1	1	14	G49	2.3901
R1	1	15	G11	2.4703
R1	1	16	G43	3.5279
R1	2	1	G02	2.0066
R1	2	2	G36	1.4573
R1	2	3	G62	2.2574
R1	2	4	G29	1.4428
R1	2	5	G34	1.3521
R1	2	6	G40	1.8021
R1	2	7	G52	1.3945
R1	2	8	G54	1.575
R1	2	9	G28	1.3825
R1	2	10	G26	1.6735
R1	2	11	G58	1.9658
R1	2	12	G42	2.1403
R1	2	13	G32	2.6153
R1	2	14	G06	2.8538
R1	2	15	G39	3.4978
R1	2	16	G53	2.4935
R1	3	1	G37	1.8915
R1	3	2	G03	1.9649
R1	3	3	G17	1.5145
R1	3	4	G24	1.3582
R1	3	5	G15	1.8466
R1	3	6	G50	1.7456
R1	3	7	G47	1.3042
R1	3	8	G56	1.7161
R1	3	9	G16	1.1509
R1	3	10	G30	1.4549
R1	3	11	G31	1.6291
R1	3	12	G60	1.4454
R1	3	13	G07	2.0237
R1	3	14	G18	2.8159
R1	3	15	G08	3.2111
R1	3	16	G21	3.2198
R1	4	1	G20	3.342
R1	4	2	G35	2.6472
R1	4	3	G57	1.9362
R1	4	4	G63	3.1655
R1	4	5	G46	2.2962
R1	4	6	G12	2.7581
R1	4	7	G41	2.4225
R1	4	8	G10	2.6407
R1	4	9	G22	2.8679
R1	4	10	G01	2.8687
R1	4	11	G51	3.1765
R1	4	12	G61	2.5182
R1	4	13	G33	2.7195
R1	4	14	G48	3.4329
R1	4	15	G04	3.814
R1	4	16	G09	4.1069
R2	5	1	G58	3.7139
R2	5	2	G44	3.6386
R2	5	3	G15	2.8465
R2	5	4	G25	2.4823
R2	5	5	G18	2.6002
R2	5	6	G53	2.5417
R2	5	7	G05	1.6013
R2	5	8	G22	2.1818
R2	5	9	G55	3.5086
R2	5	10	G36	3.4147
R2	5	11	G33	3.1765
R2	5	12	G29	2.8818
R2	5	13	G12	3.1165
R2	5	14	G47	3.5868
R2	5	15	G08	3.5954
R2	5	16	G01	3.5711
R2	6	1	G41	2.7717
R2	6	2	G17	2.9044
R2	6	3	G63	3.0646
R2	6	4	G37	3.2219
R2	6	5	G38	2.4959
R2	6	6	G19	3.7729
R2	6	7	G26	2.7808
R2	6	8	G21	2.5957
R2	6	9	G28	2.3549
R2	6	10	G04	3.0692
R2	6	11	G06	3.2589
R2	6	12	G45	3.4685
R2	6	13	G56	2.9773
R2	6	14	G46	3.6739
R2	6	15	G59	4.4576
R2	6	16	G42	4.7826
R2	7	1	G14	2.9164
R2	7	2	G09	2.263
R2	7	3	G62	1.982
R2	7	4	G48	2.6628
R2	7	5	G34	2.77
R2	7	6	G31	2.7649
R2	7	7	G60	2.0307
R2	7	8	G13	2.3102
R2	7	9	G20	2.2525
R2	7	10	G07	2.6594
R2	7	11	G64	2.3498
R2	7	12	G03	2.8951
R2	7	13	G39	3.5951
R2	7	14	G40	3.6799
R2	7	15	G10	3.8023
R2	7	16	G23	4.291
R2	8	1	G24	2.2748
R2	8	2	G52	2.1081
R2	8	3	G11	2.5377
R2	8	4	G54	1.467
R2	8	5	G51	1.6475
R2	8	6	G57	2.7363
R2	8	7	G35	2.2646
R2	8	8	G02	2.6282
R2	8	9	G50	1.7699
R2	8	10	G27	2.1685
R2	8	11	G30	2.1797
R2	8	12	G61	2.7998
R2	8	13	G43	2.3903
R2	8	14	G49	3.2857
R2	8	15	G32	3.8995
R2	8	16	G16	3.5976
