"series"	"plot"	"year"	"crop"	"yield"
2	1	1911	"sugarbeet"	12.78
2	2	1911	"sugarbeet"	12.7
2	3	1911	"sugarbeet"	10.04
2	4	1911	"sugarbeet"	10.35
2	5	1911	"sugarbeet"	9.33
2	6	1911	"sugarbeet"	9.4
2	7	1911	"sugarbeet"	11.53
2	8	1911	"sugarbeet"	12.4
2	9	1911	"sugarbeet"	10.28
2	10	1911	"sugarbeet"	11.81
2	11	1911	"sugarbeet"	13.99
2	12	1911	"sugarbeet"	12.28
2	13	1911	"sugarbeet"	11.91
2	14	1911	"sugarbeet"	11.42
2	15	1911	"sugarbeet"	12.28
2	16	1911	"sugarbeet"	13.76
2	17	1911	"sugarbeet"	11.73
2	18	1911	"sugarbeet"	12.49
2	19	1911	"sugarbeet"	15.55
2	20	1911	"sugarbeet"	11.93
2	21	1911	"sugarbeet"	13.52
2	22	1911	"sugarbeet"	14.36
2	23	1911	"sugarbeet"	16.81
3	1	1911	"sugarbeet"	13.93
3	2	1911	"sugarbeet"	13.04
3	3	1911	"sugarbeet"	10.55
3	4	1911	"sugarbeet"	11.63
3	5	1911	"sugarbeet"	10.56
3	6	1911	"sugarbeet"	10
3	7	1911	"sugarbeet"	10.54
3	8	1911	"sugarbeet"	10
3	9	1911	"sugarbeet"	8.85
3	10	1911	"sugarbeet"	10.48
3	11	1911	"sugarbeet"	12.61
3	12	1911	"sugarbeet"	11.22
3	13	1911	"sugarbeet"	12.08
3	14	1911	"sugarbeet"	11.91
3	15	1911	"sugarbeet"	12.65
3	16	1911	"sugarbeet"	11.71
3	17	1911	"sugarbeet"	12.19
3	18	1911	"sugarbeet"	12.62
3	19	1911	"sugarbeet"	13.45
3	20	1911	"sugarbeet"	15.6
3	21	1911	"sugarbeet"	16.25
3	22	1911	"sugarbeet"	14.7
3	23	1911	"sugarbeet"	16.52
2	1	1912	"alfalfa1"	260
2	2	1912	"alfalfa1"	395
2	3	1912	"alfalfa1"	397
2	4	1912	"alfalfa1"	435
2	5	1912	"alfalfa1"	442
2	6	1912	"alfalfa1"	419
2	7	1912	"alfalfa1"	438
2	8	1912	"alfalfa1"	410
2	9	1912	"alfalfa1"	418
2	10	1912	"alfalfa1"	393
2	11	1912	"alfalfa1"	405
2	12	1912	"alfalfa1"	435
2	13	1912	"alfalfa1"	385
2	14	1912	"alfalfa1"	395
2	15	1912	"alfalfa1"	405
2	16	1912	"alfalfa1"	305
2	17	1912	"alfalfa1"	312
2	18	1912	"alfalfa1"	290
2	19	1912	"alfalfa1"	315
2	20	1912	"alfalfa1"	310
2	21	1912	"alfalfa1"	330
2	22	1912	"alfalfa1"	325
2	23	1912	"alfalfa1"	310
3	1	1912	"alfalfa1"	405
3	2	1912	"alfalfa1"	350
3	3	1912	"alfalfa1"	400
3	4	1912	"alfalfa1"	435
3	5	1912	"alfalfa1"	350
3	6	1912	"alfalfa1"	365
3	7	1912	"alfalfa1"	390
3	8	1912	"alfalfa1"	325
3	9	1912	"alfalfa1"	360
3	10	1912	"alfalfa1"	360
3	11	1912	"alfalfa1"	335
3	12	1912	"alfalfa1"	350
3	13	1912	"alfalfa1"	370
3	14	1912	"alfalfa1"	255
3	15	1912	"alfalfa1"	370
3	16	1912	"alfalfa1"	325
3	17	1912	"alfalfa1"	280
3	18	1912	"alfalfa1"	280
3	19	1912	"alfalfa1"	320
3	20	1912	"alfalfa1"	275
3	21	1912	"alfalfa1"	290
3	22	1912	"alfalfa1"	345
3	23	1912	"alfalfa1"	337
2	1	1913	"alfalfa1"	595
2	2	1913	"alfalfa1"	530
2	3	1913	"alfalfa1"	640
2	4	1913	"alfalfa1"	640
2	5	1913	"alfalfa1"	625
2	6	1913	"alfalfa1"	625
2	7	1913	"alfalfa1"	640
2	8	1913	"alfalfa1"	555
2	9	1913	"alfalfa1"	570
2	10	1913	"alfalfa1"	540
2	11	1913	"alfalfa1"	585
2	12	1913	"alfalfa1"	530
2	13	1913	"alfalfa1"	565
2	14	1913	"alfalfa1"	555
2	15	1913	"alfalfa1"	655
2	16	1913	"alfalfa1"	650
2	17	1913	"alfalfa1"	590
2	18	1913	"alfalfa1"	635
2	19	1913	"alfalfa1"	635
2	20	1913	"alfalfa1"	605
2	21	1913	"alfalfa1"	625
2	22	1913	"alfalfa1"	625
2	23	1913	"alfalfa1"	590
3	1	1913	"alfalfa1"	535
3	2	1913	"alfalfa1"	470
3	3	1913	"alfalfa1"	510
3	4	1913	"alfalfa1"	475
3	5	1913	"alfalfa1"	460
3	6	1913	"alfalfa1"	510
3	7	1913	"alfalfa1"	500
3	8	1913	"alfalfa1"	455
3	9	1913	"alfalfa1"	490
3	10	1913	"alfalfa1"	440
3	11	1913	"alfalfa1"	485
3	12	1913	"alfalfa1"	470
3	13	1913	"alfalfa1"	500
3	14	1913	"alfalfa1"	470
3	15	1913	"alfalfa1"	485
3	16	1913	"alfalfa1"	460
3	17	1913	"alfalfa1"	460
3	18	1913	"alfalfa1"	430
3	19	1913	"alfalfa1"	480
3	20	1913	"alfalfa1"	520
3	21	1913	"alfalfa1"	460
3	22	1913	"alfalfa1"	530
3	23	1913	"alfalfa1"	505
2	1	1913	"alfalfa2"	600
2	2	1913	"alfalfa2"	560
2	3	1913	"alfalfa2"	630
2	4	1913	"alfalfa2"	650
2	5	1913	"alfalfa2"	540
2	6	1913	"alfalfa2"	595
2	7	1913	"alfalfa2"	575
2	8	1913	"alfalfa2"	570
2	9	1913	"alfalfa2"	470
2	10	1913	"alfalfa2"	470
2	11	1913	"alfalfa2"	435
