"gen"	"year"	"loc"	"block"	"yield"
112	2013	"Yolo2"	"B1"	1319
112	2013	"Yolo2"	"B4"	1500
1340	2013	"Yolo2"	"B1"	1291
1340	2013	"Yolo2"	"B4"	1250
1419	2013	"Yolo2"	"B1"	2155
1419	2013	"Yolo2"	"B4"	1494
1424	2013	"Yolo2"	"B1"	3388
1424	2013	"Yolo2"	"B4"	1234
1478	2013	"Yolo2"	"B1"	1594
1478	2013	"Yolo2"	"B3"	1783
1478	2013	"Yolo2"	"B4"	1827
1495	2013	"Yolo2"	"B1"	1083
1495	2013	"Yolo2"	"B3"	1931
1495	2013	"Yolo2"	"B4"	1844
1521	2013	"Yolo2"	"B1"	1971
1521	2013	"Yolo2"	"B2"	2443
1521	2013	"Yolo2"	"B4"	2450
1522	2013	"Yolo2"	"B1"	1658
1522	2013	"Yolo2"	"B2"	1922
1522	2013	"Yolo2"	"B3"	1984
1522	2013	"Yolo2"	"B4"	2556
1523	2013	"Yolo2"	"B1"	4753
1523	2013	"Yolo2"	"B4"	2714
1526	2013	"Yolo2"	"B1"	1259
1526	2013	"Yolo2"	"B3"	1461
1526	2013	"Yolo2"	"B4"	1500
1548	2013	"Yolo2"	"B1"	1569
1548	2013	"Yolo2"	"B3"	1786
1548	2013	"Yolo2"	"B4"	1676
1550	2013	"Yolo2"	"B1"	1959
1550	2013	"Yolo2"	"B4"	1460
1555	2013	"Yolo2"	"B1"	1218
1555	2013	"Yolo2"	"B3"	1441
1555	2013	"Yolo2"	"B4"	2101
1590	2013	"Yolo2"	"B1"	2105
1590	2013	"Yolo2"	"B3"	2174
1590	2013	"Yolo2"	"B4"	2215
1608	2013	"Yolo2"	"B1"	1667
1608	2013	"Yolo2"	"B4"	1523
1650	2013	"Yolo2"	"B1"	1759
1650	2013	"Yolo2"	"B4"	2367
1657	2013	"Yolo2"	"B1"	2115
1657	2013	"Yolo2"	"B2"	1908
1657	2013	"Yolo2"	"B3"	2448
1657	2013	"Yolo2"	"B4"	2289
1658	2013	"Yolo2"	"B1"	1983
1658	2013	"Yolo2"	"B3"	2072
1658	2013	"Yolo2"	"B4"	2098
1660	2013	"Yolo2"	"B1"	2102
1660	2013	"Yolo2"	"B2"	1810
1660	2013	"Yolo2"	"B4"	2035
1667	2013	"Yolo2"	"B1"	407
1667	2013	"Yolo2"	"B4"	1178
1680	2013	"Yolo2"	"B1"	1891
1680	2013	"Yolo2"	"B2"	595
1680	2013	"Yolo2"	"B3"	1443
1680	2013	"Yolo2"	"B4"	1902
1684	2013	"Yolo2"	"B1"	1653
1684	2013	"Yolo2"	"B3"	1521
1684	2013	"Yolo2"	"B4"	1261
1688	2013	"Yolo2"	"B1"	1661
1688	2013	"Yolo2"	"B3"	1725
1688	2013	"Yolo2"	"B4"	2354
1716	2013	"Yolo2"	"B1"	1180
1716	2013	"Yolo2"	"B3"	1676
1716	2013	"Yolo2"	"B4"	1691
1723	2013	"Yolo2"	"B1"	2159
1723	2013	"Yolo2"	"B2"	2841
1723	2013	"Yolo2"	"B3"	2529
1723	2013	"Yolo2"	"B4"	2618
1728	2013	"Yolo2"	"B1"	2258
1728	2013	"Yolo2"	"B3"	1671
1728	2013	"Yolo2"	"B4"	2471
1729	2013	"Yolo2"	"B1"	3072
1729	2013	"Yolo2"	"B2"	1415
1729	2013	"Yolo2"	"B3"	2084
1729	2013	"Yolo2"	"B4"	1792
1730	2013	"Yolo2"	"B1"	1595
1730	2013	"Yolo2"	"B4"	1907
1731	2013	"Yolo2"	"B1"	1772
1731	2013	"Yolo2"	"B4"	1535
1732	2013	"Yolo2"	"B1"	1883
1732	2013	"Yolo2"	"B4"	1599
1740	2013	"Yolo2"	"B1"	3949
1740	2013	"Yolo2"	"B3"	1781
1740	2013	"Yolo2"	"B4"	1722
1741	2013	"Yolo2"	"B1"	3628
1741	2013	"Yolo2"	"B3"	1623
1741	2013	"Yolo2"	"B4"	2254
1742	2013	"Yolo2"	"B1"	1725
1742	2013	"Yolo2"	"B3"	1369
1742	2013	"Yolo2"	"B4"	1902
1743	2013	"Yolo2"	"B1"	2624
1743	2013	"Yolo2"	"B3"	1533
1743	2013	"Yolo2"	"B4"	2013
1744	2013	"Yolo2"	"B1"	2708
1744	2013	"Yolo2"	"B2"	1787
1744	2013	"Yolo2"	"B3"	1750
