"col"	"row"	"disease"
1	1	"Y"
1	2	"N"
1	3	"N"
1	4	"N"
1	5	"Y"
1	6	"Y"
1	7	"Y"
1	8	"N"
1	9	"N"
1	10	"N"
1	11	"N"
1	12	"N"
1	13	"N"
1	14	"N"
2	1	"Y"
2	2	"Y"
2	3	"N"
2	4	"Y"
2	5	"Y"
2	6	"Y"
2	7	"Y"
2	8	"N"
2	9	"N"
2	10	"N"
2	11	"N"
2	12	"N"
2	13	"N"
2	14	"N"
3	1	"Y"
3	2	"N"
3	3	"N"
3	4	"Y"
3	5	"N"
3	6	"N"
3	7	"N"
3	8	"Y"
3	9	"N"
3	10	"N"
3	11	"N"
3	12	"N"
3	13	"N"
3	14	"N"
4	1	"N"
4	2	"N"
4	3	"Y"
4	4	"N"
4	5	"N"
4	6	"Y"
4	7	"Y"
4	8	"Y"
4	9	"N"
4	10	"N"
4	11	"N"
4	12	"N"
4	13	"N"
4	14	"N"
5	1	"N"
5	2	"N"
5	3	"N"
5	4	"N"
5	5	"N"
5	6	"N"
5	7	"Y"
5	8	"N"
5	9	"N"
5	10	"N"
5	11	"N"
5	12	"N"
5	13	"N"
5	14	"N"
6	1	"Y"
6	2	"Y"
6	3	"N"
6	4	"N"
6	5	"N"
6	6	"N"
6	7	"N"
6	8	"Y"
6	9	"N"
6	10	"N"
6	11	"N"
6	12	"N"
6	13	"N"
6	14	"N"
7	1	"Y"
7	2	"N"
7	3	"Y"
7	4	"N"
7	5	"N"
7	6	"N"
7	7	"N"
7	8	"Y"
7	9	"N"
7	10	"N"
7	11	"N"
7	12	"N"
7	13	"N"
7	14	"N"
8	1	"N"
8	2	"N"
8	3	"N"
8	4	"N"
8	5	"N"
8	6	"Y"
8	7	"Y"
8	8	"Y"
8	9	"Y"
8	10	"N"
8	11	"N"
8	12	"N"
8	13	"N"
8	14	"N"
9	1	"N"
9	2	"N"
9	3	"N"
9	4	"N"
9	5	"Y"
9	6	"Y"
9	7	"N"
9	8	"N"
9	9	"Y"
9	10	"N"
9	11	"N"
9	12	"N"
9	13	"N"
9	14	"N"
10	1	"N"
10	2	"N"
10	3	"N"
10	4	"Y"
10	5	"Y"
10	6	"N"
10	7	"N"
10	8	"N"
10	9	"N"
10	10	"N"
10	11	"N"
10	12	"N"
10	13	"N"
10	14	"N"
11	1	"N"
11	2	"N"
11	3	"N"
11	4	"N"
11	5	"Y"
11	6	"N"
11	7	"N"
11	8	"N"
11	9	"N"
11	10	"N"
11	11	"N"
11	12	"N"
11	13	"N"
11	14	"N"
12	1	"N"
12	2	"N"
12	3	"N"
12	4	"N"
12	5	"N"
12	6	"N"
12	7	"N"
12	8	"N"
12	9	"N"
12	10	"N"
12	11	"N"
12	12	"N"
12	13	"Y"
12	14	"N"
13	1	"N"
13	2	"Y"
13	3	"Y"
13	4	"N"
13	5	"N"
13	6	"N"
13	7	"N"
13	8	"N"
13	9	"N"
13	10	"N"
13	11	"N"
13	12	"N"
13	13	"Y"
13	14	"N"
14	1	"N"
14	2	"Y"
14	3	"Y"
14	4	"N"
14	5	"N"
14	6	"N"
14	7	"N"
14	8	"N"
14	9	"N"
14	10	"N"
14	11	"N"
14	12	"N"
14	13	"N"
14	14	"N"
15	1	"N"
15	2	"Y"
15	3	"Y"
15	4	"Y"
15	5	"N"
15	6	"N"
15	7	"N"
15	8	"N"
15	9	"N"
15	10	"N"
15	11	"N"
15	12	"N"
15	13	"N"
15	14	"N"
16	1	"N"
16	2	"N"
16	3	"Y"
16	4	"Y"
16	5	"Y"
16	6	"N"
16	7	"N"
16	8	"N"
16	9	"Y"
16	10	"N"
16	11	"N"
16	12	"N"
16	13	"N"
16	14	"N"
17	1	"N"
17	2	"Y"
17	3	"N"
17	4	"N"
17	5	"Y"
17	6	"N"
17	7	"N"
17	8	"N"
17	9	"N"
17	10	"N"
17	11	"N"
17	12	"N"
17	13	"N"
17	14	"N"
18	1	"Y"
18	2	"Y"
18	3	"N"
18	4	"Y"
18	5	"N"
18	6	"Y"
18	7	"N"
18	8	"N"
18	9	"N"
18	10	"Y"
18	11	"N"
18	12	"N"
18	13	"N"
18	14	"N"
19	1	"Y"
19	2	"Y"
19	3	"N"
19	4	"N"
19	5	"Y"
19	6	"N"
19	7	"N"
19	8	"N"
19	9	"N"
19	10	"Y"
19	11	"N"
19	12	"N"
19	13	"N"
19	14	"N"
20	1	"N"
20	2	"N"
20	3	"N"
20	4	"N"
20	5	"Y"
20	6	"N"
20	7	"N"
20	8	"N"
20	9	"N"
20	10	"N"
20	11	"N"
20	12	"N"
20	13	"Y"
20	14	"N"
21	1	"N"
21	2	"N"
21	3	"N"
21	4	"N"
21	5	"N"
21	6	"N"
21	7	"N"
21	8	"N"
21	9	"Y"
21	10	"N"
21	11	"N"
21	12	"N"
21	13	"Y"
21	14	"N"
22	1	"N"
22	2	"N"
22	3	"N"
22	4	"N"
22	5	"N"
22	6	"N"
22	7	"N"
22	8	"N"
22	9	"N"
22	10	"N"
22	11	"N"
22	12	"N"
22	13	"N"
22	14	"N"
23	1	"N"
23	2	"N"
23	3	"N"
23	4	"N"
23	5	"N"
23	6	"Y"
23	7	"Y"
23	8	"N"
23	9	"N"
23	10	"N"
23	11	"N"
23	12	"N"
23	13	"Y"
23	14	"N"
24	1	"N"
24	2	"N"
24	3	"N"
24	4	"N"
24	5	"N"
24	6	"N"
24	7	"N"
24	8	"N"
24	9	"N"
24	10	"N"
24	11	"Y"
24	12	"Y"
