"zone"	"loc"	"rep"	"alpha"	"gen"	"yield"
"south"	"07bm20"	"R1"	"A2"	"G22455"	727.3249
"south"	"07bm20"	"R2"	"A3"	"G22455"	721.4117
"south"	"07bm20"	"R1"	"A7"	"G23286"	830.3894
"south"	"07bm20"	"R2"	"A4"	"G23286"	806.8322
"south"	"07bm20"	"R1"	"A7"	"G23524"	810.4373
"south"	"07bm20"	"R2"	"A8"	"G23524"	833.9282
"south"	"07bm20"	"R1"	"A4"	"G24054"	898.0152
"south"	"07bm20"	"R2"	"A1"	"G24054"	874.5377
"south"	"07bm20"	"R1"	"A1"	"G24521"	852.6834
"south"	"07bm20"	"R2"	"A2"	"G24521"	846.8028
"south"	"07bm20"	"R1"	"A3"	"G24984"	768.3876
"south"	"07bm20"	"R2"	"A3"	"G24984"	837.1984
"south"	"07bm20"	"R1"	"A1"	"G25512"	829.0663
"south"	"07bm20"	"R2"	"A1"	"G25512"	811.6733
"south"	"07bm20"	"R1"	"A6"	"G25965"	872.8433
"south"	"07bm20"	"R2"	"A8"	"G25965"	849.0925
"south"	"07bm20"	"R1"	"A1"	"G26362"	877.3207
"south"	"07bm20"	"R2"	"A7"	"G26362"	929.6114
"south"	"07bm20"	"R1"	"A7"	"G26742"	866.9745
"south"	"07bm20"	"R2"	"A3"	"G26742"	837.4855
"south"	"07bm20"	"R1"	"A6"	"G26777"	842.2327
"south"	"07bm20"	"R2"	"A6"	"G26777"	871.8888
"south"	"07bm20"	"R1"	"A3"	"G27110"	834.4164
"south"	"07bm20"	"R2"	"A1"	"G27110"	816.7878
"south"	"07bm20"	"R1"	"A1"	"G27125"	878.4325
"south"	"07bm20"	"R2"	"A5"	"G27125"	925.2823
"south"	"07bm20"	"R1"	"A4"	"G27130"	816.6504
"south"	"07bm20"	"R2"	"A8"	"G27130"	881.2774
"south"	"07bm20"	"R1"	"A3"	"G27543"	899.4013
"south"	"07bm20"	"R2"	"A6"	"G27543"	852.6791
"south"	"07bm20"	"R1"	"A4"	"G27546"	821.6075
"south"	"07bm20"	"R2"	"A2"	"G27546"	804.0016
"south"	"07bm20"	"R1"	"A2"	"G27548"	804.0778
"south"	"07bm20"	"R2"	"A1"	"G27548"	833.211
"south"	"07bm20"	"R1"	"A4"	"G27590"	834.0864
"south"	"07bm20"	"R2"	"A5"	"G27590"	886.951
"south"	"07bm20"	"R1"	"A2"	"G27592"	845.6966
"south"	"07bm20"	"R2"	"A7"	"G27592"	893.0083
"south"	"07bm20"	"R1"	"A8"	"G27593"	884.8773
"south"	"07bm20"	"R2"	"A7"	"G27593"	896.5976
"south"	"07bm20"	"R1"	"A4"	"G27599"	873.1738
"south"	"07bm20"	"R2"	"A7"	"G27599"	861.3742
"south"	"07bm20"	"R1"	"A5"	"G27600"	866.8977
"south"	"07bm20"	"R2"	"A8"	"G27600"	890.3273
"south"	"07bm20"	"R1"	"A2"	"G27605"	842.8482
"south"	"07bm20"	"R2"	"A2"	"G27605"	801.5899
"south"	"07bm20"	"R1"	"A2"	"G27609"	761.3134
"south"	"07bm20"	"R2"	"A5"	"G27609"	772.7617
"south"	"07bm20"	"R1"	"A3"	"G27669"	814.8698
"south"	"07bm20"	"R2"	"A8"	"G27669"	838.4892
"south"	"07bm20"	"R1"	"A2"	"G28128"	907.3745
"south"	"07bm20"	"R2"	"A4"	"G28128"	930.9426
"south"	"07bm20"	"R1"	"A3"	"G28209"	811.332
"south"	"07bm20"	"R2"	"A5"	"G28209"	899.5202
"south"	"07bm20"	"R1"	"A2"	"G28949"	912.7323
"south"	"07bm20"	"R2"	"A8"	"G28949"	977.9274
"south"	"07bm20"	"R1"	"A1"	"G28950"	756.7839
"south"	"07bm20"	"R2"	"A8"	"G28950"	797.2228
"south"	"07bm20"	"R1"	"A8"	"G28954"	866.5706
"south"	"07bm20"	"R2"	"A2"	"G28954"	831.2004
"south"	"07bm21"	"R1"	"A7"	"G22455"	1029.3683
"south"	"07bm21"	"R2"	"A8"	"G22455"	1011.1896
"south"	"07bm21"	"R1"	"A6"	"G23286"	1160.4312
"south"	"07bm21"	"R2"	"A3"	"G23286"	1054.6327
"south"	"07bm21"	"R1"	"A5"	"G23524"	1075.0613
"south"	"07bm21"	"R2"	"A5"	"G23524"	1051.2687
"south"	"07bm21"	"R1"	"A4"	"G24054"	1111.2612
"south"	"07bm21"	"R2"	"A5"	"G24054"	1155.3462
"south"	"07bm21"	"R1"	"A5"	"G24521"	1103.2905
"south"	"07bm21"	"R2"	"A8"	"G24521"	1164.5686
"south"	"07bm21"	"R1"	"A4"	"G24984"	1065.1897
"south"	"07bm21"	"R2"	"A3"	"G24984"	1086.7991
"south"	"07bm21"	"R1"	"A8"	"G25512"	1079.0086
"south"	"07bm21"	"R2"	"A8"	"G25512"	1124.1063
"south"	"07bm21"	"R1"	"A6"	"G25965"	1158.2143
"south"	"07bm21"	"R2"	"A2"	"G25965"	1002.2965
