inoculum	gen	block	y	n
200	Jonagold	B1	1	5
200	Jonagold	B2	2	5
200	Jonagold	B3	1	5
200	Jonagold	B4	0	5
200	Golden	B1	1	5
200	Golden	B2	0	5
200	Golden	B3	0	5
200	Golden	B4	0	5
200	Jonathan	B1	2	5
200	Jonathan	B2	2	5
200	Jonathan	B3	2	5
200	Jonathan	B4	0	5
1000	Jonagold	B1	0	5
1000	Jonagold	B2	2	5
1000	Jonagold	B3	2	5
1000	Jonagold	B4	4	5
1000	Golden	B1	0	5
1000	Golden	B2	0	5
1000	Golden	B3	2	5
1000	Golden	B4	0	5
1000	Jonathan	B1	4	5
1000	Jonathan	B2	4	5
1000	Jonathan	B3	4	5
1000	Jonathan	B4	0	5
5000	Jonagold	B1	5	5
5000	Jonagold	B2	5	5
5000	Jonagold	B3	4	5
5000	Jonagold	B4	5	5
5000	Golden	B1	5	5
5000	Golden	B2	4	5
5000	Golden	B3	3	5
5000	Golden	B4	5	5
5000	Jonathan	B1	5	5
5000	Jonathan	B2	0	5
5000	Jonathan	B3	3	5
5000	Jonathan	B4	5	5
