"rotation"	"nitro"	"year"	"yield"
"AB"	0	1981	3.84
"AB"	70	1981	6.59
"AB"	140	1981	7.49
"AB"	210	1981	7.39
"AF"	0	1981	3.06
"AF"	70	1981	6.32
"AF"	140	1981	7.61
"AF"	210	1981	7.78
"Ln3"	0	1981	5.82
"Ln3"	70	1981	7.52
"Ln3"	140	1981	8.12
"Ln3"	210	1981	7.4
"Ln8"	0	1981	4.71
"Ln8"	70	1981	6.52
"Ln8"	140	1981	8.03
"Ln8"	210	1981	7.83
"Lc3"	0	1981	5.35
"Lc3"	70	1981	6.7
"Lc3"	140	1981	7.69
"Lc3"	210	1981	7.53
"Lc8"	0	1981	6.47
"Lc8"	70	1981	7.84
"Lc8"	140	1981	7.98
"Lc8"	210	1981	7.68
"AB"	0	1982	4.47
"AB"	70	1982	6.38
"AB"	140	1982	7.82
"AB"	210	1982	8.13
"AF"	0	1982	4.3
"AF"	70	1982	6.82
"AF"	140	1982	8.16
"AF"	210	1982	8.52
"Ln3"	0	1982	5.37
"Ln3"	70	1982	7.91
"Ln3"	140	1982	7.53
"Ln3"	210	1982	8.46
"Ln8"	0	1982	5.55
"Ln8"	70	1982	8.04
"Ln8"	140	1982	8.27
"Ln8"	210	1982	7.31
"Lc3"	0	1982	5.16
"Lc3"	70	1982	7.81
"Lc3"	140	1982	8.38
"Lc3"	210	1982	7.4
"Lc8"	0	1982	6.56
"Lc8"	70	1982	8.36
"Lc8"	140	1982	8.6
"Lc8"	210	1982	8.41
"AB"	0	1983	4.11
"AB"	70	1983	6.28
"AB"	140	1983	8.7
"AB"	210	1983	8.17
"AF"	0	1983	3.76
"AF"	70	1983	6.79
"AF"	140	1983	8.5
"AF"	210	1983	9.43
"Ln3"	0	1983	3.86
"Ln3"	70	1983	7.05
"Ln3"	140	1983	8.06
"Ln3"	210	1983	8.28
"Ln8"	0	1983	4.45
"Ln8"	70	1983	7.23
"Ln8"	140	1983	7.48
"Ln8"	210	1983	6.93
"Lc3"	0	1983	6.36
"Lc3"	70	1983	9.67
"Lc3"	140	1983	9.34
"Lc3"	210	1983	8.4
"Lc8"	0	1983	7.39
"Lc8"	70	1983	9.64
"Lc8"	140	1983	8.8
"Lc8"	210	1983	8.66
"AB"	0	1984	3.66
"AB"	70	1984	6.56
"AB"	140	1984	7.74
"AB"	210	1984	9.41
"AF"	0	1984	4.28
"AF"	70	1984	8.94
"AF"	140	1984	9.12
"AF"	210	1984	9.35
"Ln3"	0	1984	4.92
"Ln3"	70	1984	7.66
"Ln3"	140	1984	9.75
"Ln3"	210	1984	10.35
"Ln8"	0	1984	5.46
"Ln8"	70	1984	8.68
"Ln8"	140	1984	9.2
"Ln8"	210	1984	10.33
"Lc3"	0	1984	7.18
"Lc3"	70	1984	11.06
"Lc3"	140	1984	10.52
"Lc3"	210	1984	9.88
"Lc8"	0	1984	7.51
"Lc8"	70	1984	9.66
"Lc8"	140	1984	11.04
"Lc8"	210	1984	9.36
"AB"	0	1985	2.39
"AB"	70	1985	5.9
"AB"	140	1985	7.76
"AB"	210	1985	8.62
"AF"	0	1985	2.03
"AF"	70	1985	5.46
"AF"	140	1985	7.72
"AF"	210	1985	9.2
"Ln3"	0	1985	4.24
"Ln3"	70	1985	7.26
"Ln3"	140	1985	8.26
"Ln3"	210	1985	9.69
"Ln8"	0	1985	4.07
"Ln8"	70	1985	6.98
"Ln8"	140	1985	8.39
"Ln8"	210	1985	8.55
"Lc3"	0	1985	4.97
"Lc3"	70	1985	7.64
"Lc3"	140	1985	9.57
"Lc3"	210	1985	8.84
"Lc8"	0	1985	4.44
"Lc8"	70	1985	8.08
"Lc8"	140	1985	8.76
"Lc8"	210	1985	10.19
"AB"	0	1986	4.17
"AB"	70	1986	6.91
"AB"	140	1986	7.21
"AB"	210	1986	8.53
"AF"	0	1986	4.08
"AF"	70	1986	5.08
"AF"	140	1986	6.32
"AF"	210	1986	7.88
"Ln3"	0	1986	3.36
"Ln3"	70	1986	5.65
"Ln3"	140	1986	6.62
"Ln3"	210	1986	6.05
"Ln8"	0	1986	4.68
"Ln8"	70	1986	6.55
"Ln8"	140	1986	7.2
"Ln8"	210	1986	6.84
"Lc3"	0	1986	6.14
"Lc3"	70	1986	7.15
"Lc3"	140	1986	6.89
"Lc3"	210	1986	6.2
"Lc8"	0	1986	6.09
"Lc8"	70	1986	7.31
"Lc8"	140	1986	6.85
"Lc8"	210	1986	6.75
"AB"	0	1987	4.39
"AB"	70	1987	6.18
"AB"	140	1987	6.75
"AB"	210	1987	7.84
"AF"	0	1987	3.02
"AF"	70	1987	5.56
"AF"	140	1987	6.6
"AF"	210	1987	6.43
"Ln3"	0	1987	4.41
"Ln3"	70	1987	6.55
"Ln3"	140	1987	7.59
"Ln3"	210	1987	7.13
"Ln8"	0	1987	4.8
"Ln8"	70	1987	6.74
"Ln8"	140	1987	7.86
"Ln8"	210	1987	7
"Lc3"	0	1987	5.51
"Lc3"	70	1987	7.24
"Lc3"	140	1987	7.74
"Lc3"	210	1987	7.61
"Lc8"	0	1987	5.26
"Lc8"	70	1987	7.48
"Lc8"	140	1987	8.31
"Lc8"	210	1987	8.13
"AB"	0	1988	2.98
"AB"	70	1988	6.28
"AB"	140	1988	6.77
"AB"	210	1988	6.2
"AF"	0	1988	3.09
"AF"	70	1988	6.6
"AF"	140	1988	6.63
"AF"	210	1988	6.61
"Ln3"	0	1988	4.01
"Ln3"	70	1988	6.77
"Ln3"	140	1988	7.12
"Ln3"	210	1988	6.14
"Ln8"	0	1988	4.34
"Ln8"	70	1988	6.73
"Ln8"	140	1988	7.46
"Ln8"	210	1988	7.23
"Lc3"	0	1988	5.68
"Lc3"	70	1988	7.39
"Lc3"	140	1988	7.54
