yield	gen	col	row
3.37917	G01	1	1
3.58748	G02	1	2
4.32812	G03	1	3
4.53642	G04	1	4
2.59224	G05	1	5
2.40708	G06	1	6
2.63853	G07	1	7
4.00409	G08	1	8
4.35126	G09	1	9
3.98094	G10	1	10
2.7774	G11	1	11
2.96256	G12	1	12
2.26821	G13	1	13
3.10143	G14	1	14
2.49966	G15	1	15
2.63853	G16	1	16
3.19401	G17	1	17
3.00885	G18	1	18
2.63853	G19	1	19
3.42546	G20	1	20
1.8516	G21	1	21
2.40708	G22	1	22
1.80531	G23	1	23
1.80531	G24	1	24
1.8516	G25	1	25
1.8516	G26	1	26
1.80531	G27	1	27
1.34241	G28	1	28
1.75902	G29	1	29
2.03676	G30	1	30
2.22192	G31	1	31
2.12934	G32	1	32
1.8516	G33	1	33
2.17563	G34	1	34
2.03676	G35	1	35
1.06467	G36	1	36
2.26821	G37	1	37
2.45337	G38	1	38
2.82369	G39	1	39
3.19401	G40	1	40
3.56433	G41	1	41
3.28659	G42	1	42
2.03676	G43	1	43
2.59224	G44	1	44
1.57386	G45	1	45
1.34241	G46	1	46
1.71273	G47	1	47
1.8516	G48	1	48
1.80531	G49	1	49
3.10143	G50	1	50
3.4949	G18	2	1
4.69844	G20	2	2
3.28659	G44	2	3
3.65691	G26	2	4
2.82369	G21	2	5
3.47175	G15	2	6
4.49013	G17	2	7
3.42546	G39	2	8
2.86998	G41	2	9
3.42546	G32	2	10
2.45337	G08	2	11
3.65691	G12	2	12
2.68482	G24	2	13
1.89789	G23	2	14
2.7774	G47	2	15
1.89789	G29	2	16
2.26821	G37	2	17
2.59224	G25	2	18
2.96256	G50	2	19
1.80531	G46	2	20
1.8516	G33	2	21
1.99047	G34	2	22
2.96256	G42	2	23
1.75902	G49	2	24
2.03676	G06	2	25
2.63853	G13	2	26
2.45337	G03	2	27
2.17563	G27	2	28
1.66644	G28	2	29
2.96256	G04	2	30
2.91627	G09	2	31
2.45337	G05	2	32
1.80531	G07	2	33
2.12934	G35	2	34
1.62015	G19	2	35
2.03676	G10	2	36
2.82369	G11	2	37
1.89789	G01	2	38
1.11096	G36	2	39
1.48128	G31	2	40
2.26821	G02	2	41
1.43499	G38	2	42
2.08305	G14	2	43
2.08305	G43	2	44
2.59224	G40	2	45
1.52757	G48	2	46
2.17563	G22	2	47
1.75902	G45	2	48
1.34241	G30	2	49
2.12934	G16	2	50
3.00885	G14	3	1
3.91151	G16	3	2
2.3145	G28	3	3
4.32812	G32	3	4
3.14772	G06	3	5
4.1661	G11	3	6
3.63377	G31	3	7
3.07829	G43	3	8
4.92989	G01	3	9
2.22192	G36	3	10
2.68482	G18	3	11
2.12934	G46	3	12
2.36079	G07	3	13
2.59224	G29	3	14
3.42546	G02	3	15
2.3145	G21	3	16
1.89789	G45	3	17
1.8516	G23	3	18
3.14772	G17	3	19
2.3145	G25	3	20
2.17563	G47	3	21
2.17563	G34	3	22
2.36079	G03	3	23
1.75902	G24	3	24
1.66644	G20	3	25
1.43499	G27	3	26
2.45337	G22	3	27
2.45337	G42	3	28
3.19401	G04	3	29
1.99047	G19	3	30
1.43499	G30	3	31
1.8516	G05	3	32
1.71273	G15	3	33
1.80531	G49	3	34
1.80531	G44	3	35
1.94418	G50	3	36
1.75902	G10	3	37
1.75902	G26	3	38
2.40708	G09	3	39
1.8516	G13	3	40
1.80531	G35	3	41
1.48128	G38	3	42
1.57386	G41	3	43
1.80531	G40	3	44
1.59701	G37	3	45
1.43499	G33	3	46
2.49966	G12	3	47
1.80531	G08	3	48
1.99047	G48	3	49
1.66644	G39	3	50
