"row"	"col"	"yield"	"block"
1	1	1.86	"B1"
2	1	2.32	"B1"
3	1	2.55	"B1"
4	1	1.63	"B1"
5	1	2.18	"B1"
6	1	2.55	"B1"
7	1	2.53	"B1"
8	1	2.3	"B1"
9	1	2.35	"B1"
10	1	2.23	"B1"
11	1	2.2	"B1"
12	1	2.43	"B1"
13	1	2.54	"B1"
14	1	2.5	"B1"
15	1	2.68	"B1"
16	1	3.08	"B1"
17	1	2.15	"B1"
18	1	2.48	"B1"
1	2	2.4	"B1"
2	2	1.5	"B1"
3	2	1.75	"B1"
4	2	1.4	"B1"
5	2	2.12	"B1"
6	2	2.48	"B1"
7	2	3	"B1"
8	2	2.86	"B1"
9	2	3.05	"B1"
10	2	2.85	"B1"
11	2	1.65	"B1"
12	2	1.68	"B1"
13	2	2.78	"B1"
14	2	2.67	"B1"
15	2	3.05	"B1"
16	2	2.25	"B1"
17	2	2.65	"B1"
18	2	2.38	"B1"
1	3	2.88	"B1"
2	3	2.3	"B1"
3	3	1.9	"B1"
4	3	2.93	"B1"
5	3	2.95	"B1"
6	3	2.7	"B1"
7	3	2.1	"B1"
8	3	2.21	"B1"
9	3	2.23	"B1"
10	3	2.85	"B1"
11	3	2.11	"B1"
12	3	2.44	"B1"
13	3	2.17	"B1"
14	3	2.52	"B1"
15	3	2.94	"B1"
16	3	2.12	"B1"
17	3	2.55	"B1"
18	3	2.22	"B1"
1	4	3.75	"B1"
2	4	3.1	"B1"
3	4	2.88	"B1"
4	4	1.88	"B1"
5	4	2.36	"B1"
6	4	2.46	"B1"
7	4	1.55	"B1"
8	4	2.04	"B1"
9	4	2.48	"B1"
10	4	2.25	"B1"
11	4	2.12	"B1"
12	4	2.27	"B1"
13	4	2.57	"B1"
14	4	2.44	"B1"
15	4	2.43	"B1"
16	4	2.35	"B1"
17	4	2.65	"B1"
18	4	2.55	"B1"
1	5	2.6	"B1"
2	5	2.3	"B1"
3	5	2.68	"B1"
4	5	2.55	"B1"
5	5	2.43	"B1"
6	5	2.23	"B1"
7	5	2.24	"B1"
8	5	2.55	"B1"
9	5	2.75	"B1"
10	5	2.92	"B1"
11	5	2.52	"B1"
12	5	2.79	"B1"
13	5	2.09	"B1"
14	5	2.5	"B1"
15	5	2.52	"B1"
16	5	2.84	"B1"
17	5	2.4	"B1"
18	5	2.6	"B1"
1	6	3.3	"B1"
2	6	2.6	"B1"
3	6	2.75	"B1"
4	6	2.42	"B1"
5	6	2.4	"B1"
6	6	2.95	"B1"
7	6	2.53	"B1"
8	6	2.34	"B1"
9	6	2.82	"B1"
10	6	2.64	"B1"
11	6	2.08	"B1"
12	6	2.39	"B1"
13	6	2.22	"B1"
14	6	2.55	"B1"
15	6	2.4	"B1"
16	6	2.3	"B1"
17	6	3.3	"B1"
18	6	2.65	"B1"
1	1	1.6	"B2"
2	1	2.35	"B2"
3	1	2.56	"B2"
4	1	2.7	"B2"
5	1	2.04	"B2"
6	1	2.3	"B2"
7	1	2.23	"B2"
8	1	2.04	"B2"
9	1	2.06	"B2"
10	1	2	"B2"
11	1	2.36	"B2"
12	1	2.41	"B2"
13	1	2.31	"B2"
14	1	1.55	"B2"
15	1	2.21	"B2"
16	1	1.89	"B2"
17	1	2.68	"B2"
18	1	1.94	"B2"
1	2	3.48	"B2"
2	2	2.79	"B2"
3	2	2.65	"B2"
4	2	2.13	"B2"
5	2	2.15	"B2"
6	2	2.01	"B2"
7	2	2.05	"B2"
8	2	1.52	"B2"
9	2	1.41	"B2"
10	2	1.52	"B2"
11	2	1.72	"B2"
12	2	1.91	"B2"
13	2	2.19	"B2"
14	2	2	"B2"
15	2	2.45	"B2"
16	2	1.82	"B2"
17	2	2.36	"B2"
18	2	2.24	"B2"
1	3	2.86	"B2"
2	3	2.66	"B2"
3	3	2.86	"B2"
4	3	3.15	"B2"
5	3	2.04	"B2"
6	3	1.66	"B2"
7	3	2.04	"B2"
8	3	2.2	"B2"
9	3	2.08	"B2"
10	3	1.92	"B2"
11	3	1.85	"B2"
12	3	2.1	"B2"
13	3	1.88	"B2"
14	3	1.59	"B2"
15	3	1.85	"B2"
16	3	2.26	"B2"
17	3	2.35	"B2"
18	3	2.08	"B2"
1	4	2	"B2"
2	4	2.16	"B2"
3	4	2.61	"B2"
4	4	2.25	"B2"
5	4	2.36	"B2"
6	4	2.1	"B2"
7	4	2.38	"B2"
8	4	2.25	"B2"
9	4	1.96	"B2"
10	4	1.67	"B2"
11	4	1.38	"B2"
12	4	1.26	"B2"
13	4	1.42	"B2"
14	4	1.64	"B2"
15	4	1.63	"B2"
16	4	1.9	"B2"
17	4	1.46	"B2"
18	4	1.5	"B2"
1	5	2.61	"B2"
2	5	2.72	"B2"
3	5	2.4	"B2"
4	5	2.36	"B2"
5	5	1.48	"B2"
6	5	1.82	"B2"
7	5	1.93	"B2"
8	5	1.4	"B2"
9	5	1.42	"B2"
10	5	1.58	"B2"
11	5	1.86	"B2"
12	5	1.93	"B2"
13	5	1.61	"B2"
14	5	1.8	"B2"
