"row"	"col"	"yield"	"field"
1	4	520	"A"
2	4	290	"A"
3	4	420	"A"
4	4	350	"A"
5	4	340	"A"
6	4	360	"A"
7	4	410	"A"
8	4	370	"A"
9	4	400	"A"
10	4	460	"A"
11	4	590	"A"
12	4	530	"A"
13	4	740	"A"
14	4	640	"A"
15	4	630	"A"
16	4	460	"A"
17	4	440	"A"
18	4	420	"A"
19	4	530	"A"
20	4	510	"A"
21	4	440	"A"
22	4	490	"A"
23	4	470	"A"
24	4	460	"A"
25	4	270	"A"
26	4	410	"A"
27	4	380	"A"
28	4	450	"A"
29	4	390	"A"
30	4	330	"A"
31	4	320	"A"
32	4	210	"A"
33	4	340	"A"
34	4	380	"A"
35	4	470	"A"
36	4	500	"A"
37	4	530	"A"
38	4	470	"A"
39	4	490	"A"
40	4	600	"A"
41	4	430	"A"
42	4	490	"A"
43	4	440	"A"
44	4	290	"A"
45	4	360	"A"
46	4	320	"A"
47	4	260	"A"
48	4	400	"A"
49	4	390	"A"
50	4	600	"A"
51	4	480	"A"
52	4	620	"A"
53	4	550	"A"
54	4	600	"A"
55	4	520	"A"
56	4	550	"A"
57	4	560	"A"
58	4	380	"A"
59	4	410	"A"
60	4	390	"A"
61	4	370	"A"
62	4	270	"A"
63	4	450	"A"
64	4	440	"A"
65	4	450	"A"
66	4	500	"A"
67	4	530	"A"
68	4	300	"A"
69	4	420	"A"
70	4	390	"A"
71	4	340	"A"
72	4	370	"A"
73	4	450	"A"
74	4	410	"A"
75	4	420	"A"
76	4	410	"A"
77	4	420	"A"
78	4	440	"A"
79	4	390	"A"
80	4	400	"A"
81	4	420	"A"
82	4	360	"A"
83	4	340	"A"
84	4	420	"A"
85	4	370	"A"
86	4	350	"A"
87	4	420	"A"
88	4	330	"A"
89	4	420	"A"
90	4	540	"A"
91	4	550	"A"
92	4	460	"A"
93	4	720	"A"
94	4	420	"A"
95	4	600	"A"
96	4	610	"A"
97	4	490	"A"
98	4	410	"A"
99	4	320	"A"
100	4	340	"A"
101	4	490	"A"
102	4	540	"A"
103	4	670	"A"
104	4	580	"A"
105	4	560	"A"
106	4	690	"A"
107	4	660	"A"
108	4	910	"A"
109	4	740	"A"
110	4	630	"A"
111	4	710	"A"
112	4	590	"A"
113	4	570	"A"
114	4	490	"A"
115	4	620	"A"
116	4	430	"A"
117	4	430	"A"
118	4	390	"A"
119	4	350	"A"
120	4	200	"A"
121	4	310	"A"
122	4	160	"A"
123	4	270	"A"
124	4	310	"A"
125	4	460	"A"
126	4	410	"A"
127	4	380	"A"
128	4	390	"A"
129	4	440	"A"
130	4	450	"A"
131	4	440	"A"
132	4	630	"A"
133	4	620	"A"
134	4	540	"A"
135	4	750	"A"
136	4	690	"A"
137	4	450	"A"
138	4	640	"A"
139	4	710	"A"
140	4	660	"A"
141	4	630	"A"
142	4	650	"A"
143	4	690	"A"
144	4	540	"A"
1	3	540	"A"
2	3	450	"A"
3	3	350	"A"
4	3	330	"A"
5	3	220	"A"
6	3	380	"A"
7	3	430	"A"
8	3	420	"A"
9	3	500	"A"
10	3	500	"A"
11	3	400	"A"
12	3	400	"A"
13	3	450	"A"
14	3	510	"A"
15	3	440	"A"
16	3	450	"A"
17	3	470	"A"
18	3	450	"A"
19	3	490	"A"
20	3	420	"A"
