"year"	"crop"	"row"	"col"	"yield"
1925	"wheat_grain"	6	2	229
1925	"wheat_grain"	6	3	202.625
1925	"wheat_grain"	6	4	197.375
1925	"wheat_grain"	6	5	170.875
1925	"wheat_grain"	6	6	187.25
1925	"wheat_grain"	6	7	202.25
1925	"wheat_grain"	6	8	162.5
1925	"wheat_grain"	5	1	196.375
1925	"wheat_grain"	5	2	191.5
1925	"wheat_grain"	5	3	172.5
1925	"wheat_grain"	5	4	147.125
1925	"wheat_grain"	5	5	75.25
1925	"wheat_grain"	5	6	141.25
1925	"wheat_grain"	5	7	150.75
1925	"wheat_grain"	5	8	131.5
1925	"wheat_grain"	4	1	198.75
1925	"wheat_grain"	4	2	184.25
1925	"wheat_grain"	4	3	206.375
1925	"wheat_grain"	4	4	133.25
1925	"wheat_grain"	4	5	72.125
1925	"wheat_grain"	4	6	73.25
1925	"wheat_grain"	4	7	82
1925	"wheat_grain"	4	8	89
1925	"wheat_grain"	3	1	191.5
1925	"wheat_grain"	3	2	196.5
1925	"wheat_grain"	3	3	166.375
1925	"wheat_grain"	3	4	168.625
1925	"wheat_grain"	3	5	117.375
1925	"wheat_grain"	3	6	113.75
1925	"wheat_grain"	3	7	88.375
1925	"wheat_grain"	3	8	134.5
1925	"wheat_grain"	2	1	132.5
1925	"wheat_grain"	2	2	142.5
1925	"wheat_grain"	2	3	155.875
1925	"wheat_grain"	2	4	86.75
1925	"wheat_grain"	2	5	103.625
1925	"wheat_grain"	2	6	140.75
1925	"wheat_grain"	2	7	161.25
1925	"wheat_grain"	2	8	164.75
1925	"wheat_grain"	1	1	195.5
1925	"wheat_grain"	1	2	165.5
1925	"wheat_grain"	1	3	124
1925	"wheat_grain"	1	4	72
1925	"wheat_grain"	1	5	103.5
1925	"wheat_grain"	1	6	171
1925	"wheat_grain"	1	7	185.25
1925	"wheat_grain"	1	8	197
1927	"oats_grain"	6	2	274.5
1927	"oats_grain"	6	3	265.375
1927	"oats_grain"	6	4	289
1927	"oats_grain"	6	5	282.125
1927	"oats_grain"	6	6	290.375
1927	"oats_grain"	6	7	271
1927	"oats_grain"	6	8	261.5
1927	"oats_grain"	5	1	252
1927	"oats_grain"	5	2	263.25
1927	"oats_grain"	5	3	255.375
1927	"oats_grain"	5	4	230.75
1927	"oats_grain"	5	5	313.625
1927	"oats_grain"	5	6	276.625
1927	"oats_grain"	5	7	234.625
1927	"oats_grain"	5	8	258.875
1927	"oats_grain"	4	1	229.25
1927	"oats_grain"	4	2	249.865
1927	"oats_grain"	4	3	250.375
1927	"oats_grain"	4	4	242
1927	"oats_grain"	4	5	310.5
1927	"oats_grain"	4	6	280.625
1927	"oats_grain"	4	7	255.25
1927	"oats_grain"	4	8	229.125
1927	"oats_grain"	3	1	229.25
1927	"oats_grain"	3	2	251.625
1927	"oats_grain"	3	3	265.75
1927	"oats_grain"	3	4	259.375
1927	"oats_grain"	3	5	262
1927	"oats_grain"	3	6	257
1927	"oats_grain"	3	7	235.625
1927	"oats_grain"	3	8	268.875
1927	"oats_grain"	2	1	207.25
1927	"oats_grain"	2	2	244.625
1927	"oats_grain"	2	3	238
1927	"oats_grain"	2	4	231.375
1927	"oats_grain"	2	5	215.25
1927	"oats_grain"	2	6	262.875
1927	"oats_grain"	2	7	237.25
1927	"oats_grain"	2	8	225.25
1927	"oats_grain"	1	1	187.375
1927	"oats_grain"	1	2	212.125
1927	"oats_grain"	1	3	223.75
1927	"oats_grain"	1	4	220.25
1927	"oats_grain"	1	5	210.875
1927	"oats_grain"	1	6	232.125
1927	"oats_grain"	1	7	229.875
1927	"oats_grain"	1	8	242.25
1925	"wheat_straw"	6	2	282.5
1925	"wheat_straw"	6	3	247
1925	"wheat_straw"	6	4	252
1925	"wheat_straw"	6	5	213
1925	"wheat_straw"	6	6	229.5
1925	"wheat_straw"	6	7	247
1925	"wheat_straw"	6	8	200
1925	"wheat_straw"	5	1	253
1925	"wheat_straw"	5	2	230.5
1925	"wheat_straw"	5	3	215
1925	"wheat_straw"	5	4	200
1925	"wheat_straw"	5	5	104.5
1925	"wheat_straw"	5	6	192
1925	"wheat_straw"	5	7	193
1925	"wheat_straw"	5	8	174
1925	"wheat_straw"	4	1	252
1925	"wheat_straw"	4	2	229.5
1925	"wheat_straw"	4	3	263.5
1925	"wheat_straw"	4	4	180
1925	"wheat_straw"	4	5	98
1925	"wheat_straw"	4	6	99.5
1925	"wheat_straw"	4	7	114.5
1925	"wheat_straw"	4	8	124
1925	"wheat_straw"	3	1	248
1925	"wheat_straw"	3	2	245
1925	"wheat_straw"	3	3	211.5
1925	"wheat_straw"	3	4	219
1925	"wheat_straw"	3	5	146.5
1925	"wheat_straw"	3	6	151
1925	"wheat_straw"	3	7	114.5
1925	"wheat_straw"	3	8	180.5
1925	"wheat_straw"	2	1	170.5
1925	"wheat_straw"	2	2	184.5
1925	"wheat_straw"	2	3	200.5
1925	"wheat_straw"	2	4	126.5
1925	"wheat_straw"	2	5	138.5
1925	"wheat_straw"	2	6	192
1925	"wheat_straw"	2	7	229.5
1925	"wheat_straw"	2	8	221.5
1925	"wheat_straw"	1	1	205.5
1925	"wheat_straw"	1	2	219
1925	"wheat_straw"	1	3	171
1925	"wheat_straw"	1	4	110
1925	"wheat_straw"	1	5	136
1925	"wheat_straw"	1	6	224
1925	"wheat_straw"	1	7	253.5
1925	"wheat_straw"	1	8	253
1927	"oats_straw"	6	2	259.5
1927	"oats_straw"	6	3	234
1927	"oats_straw"	6	4	272
1927	"oats_straw"	6	5	259
1927	"oats_straw"	6	6	288
1927	"oats_straw"	6	7	255
1927	"oats_straw"	6	8	282.5
1927	"oats_straw"	5	1	252.5
1927	"oats_straw"	5	2	266
1927	"oats_straw"	5	3	236.5
1927	"oats_straw"	5	4	236.5
1927	"oats_straw"	5	5	300
1927	"oats_straw"	5	6	270.5
1927	"oats_straw"	5	7	277.5
1927	"oats_straw"	5	8	287.5
1927	"oats_straw"	4	1	241.5
1927	"oats_straw"	4	2	256
1927	"oats_straw"	4	3	237
1927	"oats_straw"	4	4	237.5
1927	"oats_straw"	4	5	256.5
1927	"oats_straw"	4	6	284
1927	"oats_straw"	4	7	250.5
1927	"oats_straw"	4	8	259.5
1927	"oats_straw"	3	1	256
1927	"oats_straw"	3	2	267.5
1927	"oats_straw"	3	3	260.5
1927	"oats_straw"	3	4	252
1927	"oats_straw"	3	5	246
1927	"oats_straw"	3	6	259.5
1927	"oats_straw"	3	7	252.5
1927	"oats_straw"	3	8	274
1927	"oats_straw"	2	1	248.5
1927	"oats_straw"	2	2	273
1927	"oats_straw"	2	3	238
