site	gen	yield
Beaverlodge	ACMetcalfe	4.13
BigLakes	ACMetcalfe	6.73
Calmar	ACMetcalfe	10.18
CdcNorth	ACMetcalfe	5.92
DawsonCreek	ACMetcalfe	4.31
FtKent	ACMetcalfe	4.68
FtStJohn	ACMetcalfe	7.64
Irricana	ACMetcalfe	3.74
Killam	ACMetcalfe	3.55
Lacombe	ACMetcalfe	3.86
LethbridgeDry	ACMetcalfe	2.38
LethbridgeIrr	ACMetcalfe	6
Lomond	ACMetcalfe	4.35
Neapolis	ACMetcalfe	4.98
NorthernSunrise	ACMetcalfe	6.15
Olds	ACMetcalfe	7.01
StPaul	ACMetcalfe	3.43
Stettler	ACMetcalfe	4.59
Beaverlodge	CDCDolly	3.87
BigLakes	CDCDolly	6.63
Calmar	CDCDolly	8.73
CdcNorth	CDCDolly	6.89
DawsonCreek	CDCDolly	4.5
FtKent	CDCDolly	3.67
FtStJohn	CDCDolly	7.57
Irricana	CDCDolly	4.43
Killam	CDCDolly	2.71
Lacombe	CDCDolly	4.26
LethbridgeDry	CDCDolly	1.72
LethbridgeIrr	CDCDolly	5.9
Lomond	CDCDolly	4.58
Neapolis	CDCDolly	4.74
NorthernSunrise	CDCDolly	6.45
Olds	CDCDolly	7.66
StPaul	CDCDolly	2.8
Stettler	CDCDolly	4.84
Beaverlodge	Harrington	4.04
BigLakes	Harrington	6.58
Calmar	Harrington	9.66
CdcNorth	Harrington	5.72
DawsonCreek	Harrington	4.41
FtKent	Harrington	2.8
FtStJohn	Harrington	6.91
Irricana	Harrington	3.97
Killam	Harrington	3.12
Lacombe	Harrington	3.99
LethbridgeDry	Harrington	2.41
LethbridgeIrr	Harrington	5.95
Lomond	Harrington	4.43
Neapolis	Harrington	4.33
NorthernSunrise	Harrington	6.07
Olds	Harrington	7.23
StPaul	Harrington	2.93
Stettler	Harrington	4.5
Beaverlodge	Merit	4.75
BigLakes	Merit	7.99
Calmar	Merit	11.05
CdcNorth	Merit	6.07
DawsonCreek	Merit	4.88
FtKent	Merit	4.74
FtStJohn	Merit	8.16
Irricana	Merit	3.39
Killam	Merit	2.66
Lacombe	Merit	3.53
LethbridgeDry	Merit	2.67
LethbridgeIrr	Merit	7.12
Lomond	Merit	4.54
Neapolis	Merit	4.48
NorthernSunrise	Merit	6.96
Olds	Merit	7.19
StPaul	Merit	2.57
Stettler	Merit	4.45
Beaverlodge	Seebe	3.87
BigLakes	Seebe	7.02
Calmar	Seebe	9.71
CdcNorth	Seebe	6.62
DawsonCreek	Seebe	4.71
FtKent	Seebe	3.49
FtStJohn	Seebe	7.91
Irricana	Seebe	3.8
Killam	Seebe	2.67
Lacombe	Seebe	3.99
LethbridgeDry	Seebe	2.24
LethbridgeIrr	Seebe	6.2
Lomond	Seebe	3.79
Neapolis	Seebe	4.4
NorthernSunrise	Seebe	6.3
Olds	Seebe	7.01
StPaul	Seebe	3.07
Stettler	Seebe	4.53
Beaverlodge	Xena	4.44
BigLakes	Xena	8.39
Calmar	Xena	11.2
CdcNorth	Xena	7.89
DawsonCreek	Xena	4.46
FtKent	Xena	4.81
FtStJohn	Xena	8.1
Irricana	Xena	4.23
Killam	Xena	3.26
Lacombe	Xena	4.79
LethbridgeDry	Xena	2.57
LethbridgeIrr	Xena	6.88
Lomond	Xena	5.15
Neapolis	Xena	4.97
NorthernSunrise	Xena	6.78
Olds	Xena	8.12
StPaul	Xena	3.3
Stettler	Xena	5.09
