field	row	quadrat	disease	water	leaf
F1	1	1	N	15.05	5
F1	1	2	N	14.32	2
F1	1	3	N	13.99	3
F1	1	4	N	13.85	0
F1	1	5	N	13.16	5
F1	1	6	N	11.81	5
F1	1	7	N	11.47	4
F1	1	8	N	11.19	5
F1	1	9	N	11.94	5
F1	1	10	N	11.2	5
F1	1	11	N	10.73	5
F1	1	12	N	11.25	5
F1	1	13	N	11.64	5
F1	1	14	N	13.84	5
F1	1	15	N	11.04	5
F1	1	16	N	10.73	1
F1	1	17	N	10.59	5
F1	1	18	N	9.69	5
F1	1	19	N	10.32	5
F1	1	20	N	10.33	3
F1	2	1	N	16.6	2
F1	2	2	N	15.58	2
F1	2	3	N	15.99	3
F1	2	4	N	14.56	1
F1	2	5	N	12.74	0
F1	2	6	N	11.7	3
F1	2	7	N	11.29	1
F1	2	8	N	10.82	4
F1	2	9	N	10.26	2
F1	2	10	N	11.16	1
F1	2	11	N	9.64	1
F1	2	12	N	10.15	3
F1	2	13	N	10.3	0
F1	2	14	N	10.08	3
F1	2	15	N	10.2	4
F1	2	16	N	10.67	2
F1	2	17	N	15.49	1
F1	2	18	N	10.38	0
F1	2	19	N	9.89	2
F1	2	20	N	9.98	3
F1	3	1	N	16.61	0
F1	3	2	N	15.13	4
F1	3	3	N	15.2	0
F1	3	4	N	13.82	1
F1	3	5	N	14.12	2
F1	3	6	N	11.35	1
F1	3	7	N	11.54	3
F1	3	8	N	10.99	3
F1	3	9	N	10.56	5
F1	3	10	N	10.78	0
F1	3	11	N	10.83	0
F1	3	12	N	10.87	0
F1	3	13	N	9.7	1
F1	3	14	N	10.28	0
F1	3	15	N	12.03	1
F1	3	16	N	10.91	2
F1	3	17	N	11.33	5
F1	3	18	N	10.17	0
F1	3	19	N	9.96	0
F1	3	20	N	10.41	1
F1	4	1	Y	16.14	1
F1	4	2	N	15.96	4
F1	4	3	Y	15.56	0
F1	4	4	Y	14.58	5
F1	4	5	N	13.37	2
F1	4	6	N	12.07	0
F1	4	7	N	11.17	0
F1	4	8	N	11.75	0
F1	4	9	N	10.62	3
F1	4	10	N	11.94	1
F1	4	11	N	11.5	1
F1	4	12	N	9.72	0
F1	4	13	N	15.02	3
F1	4	14	N	6.15	2
F1	4	15	N	10.31	0
F1	4	16	N	10.45	2
F1	4	17	N	10.2	4
F1	4	18	N	NA	0
F1	4	19	N	10.63	0
F1	4	20	N	10.01	0
F1	5	1	N	14.87	0
F1	5	2	N	14.33	1
F1	5	3	Y	14.59	3
F1	5	4	N	13.71	0
F1	5	5	N	13.6	1
F1	5	6	Y	12.09	0
F1	5	7	N	11.01	3
F1	5	8	N	10.22	1
F1	5	9	Y	9.94	0
F1	5	10	Y	10.79	0
F1	5	11	N	10.63	0
F1	5	12	N	10.16	1
F1	5	13	Y	9.19	0
F1	5	14	Y	9.04	0
F1	5	15	Y	9.67	0
F1	5	16	N	9	1
F1	5	17	N	9.07	0
F1	5	18	N	8.32	0
F1	5	19	N	8.86	0
F1	5	20	N	8.41	0
F1	6	1	N	13.11	0
F1	6	2	N	13.05	4
F1	6	3	N	12.4	0
