x	y	rep	fert	gen	group	yield
1	27	R1	F1	G01	S1	4.252
3	9	R1	F2	G01	S1	4.331
5	4	R2	F1	G01	S1	3.548
6	20	R2	F2	G01	S1	5.267
7	18	R3	F1	G01	S1	3.114
8	3	R3	F2	G01	S1	4.272
1	26	R1	F1	G02	S1	3.463
3	1	R1	F2	G02	S1	3.801
5	14	R2	F1	G02	S1	2.72
6	21	R2	F2	G02	S1	5.145
7	23	R3	F1	G02	S1	2.789
8	6	R3	F2	G02	S1	3.914
1	20	R1	F1	G03	S1	3.228
3	15	R1	F2	G03	S1	3.828
5	1	R2	F1	G03	S1	2.797
6	25	R2	F2	G03	S1	4.498
7	21	R3	F1	G03	S1	2.86
8	11	R3	F2	G03	S1	4.163
1	19	R1	F1	G04	S1	4.153
3	8	R1	F2	G04	S1	5.082
5	13	R2	F1	G04	S1	3.672
6	17	R2	F2	G04	S1	5.401
7	16	R3	F1	G04	S1	3.738
8	14	R3	F2	G04	S1	4.533
1	30	R1	F1	G05	S1	3.672
3	4	R1	F2	G05	S1	4.275
5	3	R2	F1	G05	S1	2.781
6	27	R2	F2	G05	S1	5.51
7	20	R3	F1	G05	S1	2.788
8	2	R3	F2	G05	S1	4.481
1	18	R1	F1	G06	S1	3.337
3	2	R1	F2	G06	S1	4.346
5	8	R2	F1	G06	S1	2.803
6	18	R2	F2	G06	S1	5.874
7	24	R3	F1	G06	S1	2.936
8	13	R3	F2	G06	S1	4.075
1	17	R1	F1	G07	S1	3.498
3	3	R1	F2	G07	S1	5.557
5	10	R2	F1	G07	S1	3.725
6	22	R2	F2	G07	S1	4.666
7	27	R3	F1	G07	S1	2.627
8	12	R3	F2	G07	S1	4.781
1	21	R1	F1	G08	S1	3.222
3	14	R1	F2	G08	S1	4.451
5	6	R2	F1	G08	S1	3.142
6	29	R2	F2	G08	S1	3.87
7	19	R3	F1	G08	S1	2.922
8	7	R3	F2	G08	S1	3.721
1	24	R1	F1	G09	S1	3.161
3	7	R1	F2	G09	S1	4.349
5	15	R2	F1	G09	S1	3.108
6	16	R2	F2	G09	S1	5.293
7	29	R3	F1	G09	S1	2.779
8	15	R3	F2	G09	S1	4.101
1	29	R1	F1	G10	S1	3.781
3	12	R1	F2	G10	S1	4.603
5	9	R2	F1	G10	S1	3.906
6	24	R2	F2	G10	S1	4.684
7	22	R3	F1	G10	S1	3.295
8	4	R3	F2	G10	S1	4.1
1	22	R1	F1	G11	S1	3.763
3	6	R1	F2	G11	S1	5.188
5	12	R2	F1	G11	S1	3.709
6	19	R2	F2	G11	S1	4.887
7	26	R3	F1	G11	S1	3.612
8	5	R3	F2	G11	S1	4.798
1	16	R1	F1	G12	S1	3.177
3	10	R1	F2	G12	S1	4.975
5	11	R2	F1	G12	S1	3.742
6	28	R2	F2	G12	S1	5.021
7	17	R3	F1	G12	S1	2.933
8	8	R3	F2	G12	S1	4.611
1	23	R1	F1	G13	S1	3
3	11	R1	F2	G13	S1	4.643
5	2	R2	F1	G13	S1	2.843
6	26	R2	F2	G13	S1	5.204
7	30	R3	F1	G13	S1	2.776
8	9	R3	F2	G13	S1	3.998
1	25	R1	F1	G14	S1	4.04
3	5	R1	F2	G14	S1	4.991
5	5	R2	F1	G14	S1	3.251
6	23	R2	F2	G14	S1	4.545
7	25	R3	F1	G14	S1	3.22
8	10	R3	F2	G14	S1	4.253
1	28	R1	F1	G15	S1	3.79
3	13	R1	F2	G15	S1	4.313
5	7	R2	F1	G15	S1	3.027
6	30	R2	F2	G15	S1	4.742
7	28	R3	F1	G15	S1	3.125
8	1	R3	F2	G15	S1	4.411
3	16	R1	F1	G16	S2	3.955
2	10	R1	F2	G16	S2	4.311
6	8	R2	F1	G16	S2	3.03
4	23	R2	F2	G16	S2	4.83
8	25	R3	F1	G16	S2	3
7	7	R3	F2	G16	S2	4.765
3	20	R1	F1	G17	S2	3.843
2	14	R1	F2	G17	S2	4.815
6	12	R2	F1	G17	S2	3.207
4	27	R2	F2	G17	S2	4.804
8	21	R3	F1	G17	S2	3.285
7	2	R3	F2	G17	S2	4.263
3	25	R1	F1	G18	S2	3.558
2	2	R1	F2	G18	S2	4.082
6	9	R2	F1	G18	S2	3.271
4	21	R2	F2	G18	S2	4.817
8	29	R3	F1	G18	S2	3.154
7	4	R3	F2	G18	S2	4.433
3	22	R1	F1	G19	S2	3.488
2	11	R1	F2	G19	S2	4.14
6	11	R2	F1	G19	S2	3.278
4	16	R2	F2	G19	S2	4.197
8	23	R3	F1	G19	S2	2.784
7	1	R3	F2	G19	S2	4.237
3	28	R1	F1	G20	S2	2.957
2	6	R1	F2	G20	S2	5.027
6	3	R2	F1	G20	S2	3.284
4	25	R2	F2	G20	S2	4.429
8	17	R3	F1	G20	S2	2.816
7	10	R3	F2	G20	S2	4.415
3	21	R1	F1	G21	S2	3.237
2	7	R1	F2	G21	S2	4.434
6	14	R2	F1	G21	S2	2.835
4	26	R2	F2	G21	S2	4.03
8	26	R3	F1	G21	S2	3.018
7	8	R3	F2	G21	S2	3.837
3	27	R1	F1	G22	S2	3.617
2	9	R1	F2	G22	S2	4.57
6	1	R2	F1	G22	S2	2.985
4	28	R2	F2	G22	S2	4.565
8	22	R3	F1	G22	S2	2.958
7	15	R3	F2	G22	S2	4.109
3	18	R1	F1	G23	S2	4.193
2	1	R1	F2	G23	S2	5.025
6	13	R2	F1	G23	S2	3.639
4	17	R2	F2	G23	S2	4.76
8	30	R3	F1	G23	S2	3.428
7	11	R3	F2	G23	S2	5.225
3	30	R1	F1	G24	S2	3.611
2	12	R1	F2	G24	S2	4.744
6	15	R2	F1	G24	S2	3.023
4	19	R2	F2	G24	S2	4.221
8	28	R3	F1	G24	S2	2.805
7	3	R3	F2	G24	S2	3.972
3	19	R1	F1	G25	S2	3.328
2	15	R1	F2	G25	S2	4.274
6	2	R2	F1	G25	S2	2.955
4	30	R2	F2	G25	S2	4.069
8	27	R3	F1	G25	S2	3.031
7	12	R3	F2	G25	S2	3.922
3	24	R1	F1	G26	S2	4.082
2	13	R1	F2	G26	S2	4.356
6	10	R2	F1	G26	S2	3.089
4	18	R2	F2	G26	S2	4.232
8	16	R3	F1	G26	S2	2.987
7	13	R3	F2	G26	S2	4.181
3	26	R1	F1	G27	S2	4.063
2	8	R1	F2	G27	S2	4.391
6	7	R2	F1	G27	S2	3.367
4	29	R2	F2	G27	S2	5.069
8	20	R3	F1	G27	S2	3.931
7	9	R3	F2	G27	S2	4.782
3	29	R1	F1	G28	S2	3.597
2	5	R1	F2	G28	S2	4.494
6	6	R2	F1	G28	S2	3.211
4	20	R2	F2	G28	S2	4.506
8	24	R3	F1	G28	S2	3.238
7	6	R3	F2	G28	S2	4.41
3	23	R1	F1	G29	S2	3.268
2	3	R1	F2	G29	S2	4.224
6	5	R2	F1	G29	S2	3.913
4	22	R2	F2	G29	S2	4.569
8	18	R3	F1	G29	S2	3.057
7	5	R3	F2	G29	S2	4.377
3	17	R1	F1	G30	S2	4.03
2	4	R1	F2	G30	S2	5.576
6	4	R2	F1	G30	S2	3.223
4	24	R2	F2	G30	S2	4.229
8	19	R3	F1	G30	S2	3.867
7	14	R3	F2	G30	S2	5.344
2	30	R1	F1	G31	S3	3.943
1	2	R1	F2	G31	S3	5.056
4	11	R2	F1	G31	S3	3.133
5	27	R2	F2	G31	S3	4.512
9	24	R3	F1	G31	S3	3.357
9	7	R3	F2	G31	S3	4.373
2	23	R1	F1	G32	S3	2.799
1	5	R1	F2	G32	S3	3.897
4	1	R2	F1	G32	S3	3.184
5	20	R2	F2	G32	S3	3.874
9	26	R3	F1	G32	S3	2.746
9	8	R3	F2	G32	S3	4.499
2	19	R1	F1	G33	S3	3.479
1	8	R1	F2	G33	S3	4.168
4	13	R2	F1	G33	S3	3.377
5	30	R2	F2	G33	S3	4.036
9	21	R3	F1	G33	S3	4.036
9	12	R3	F2	G33	S3	4.472
2	26	R1	F1	G34	S3	3.498
1	11	R1	F2	G34	S3	4.502
4	6	R2	F1	G34	S3	2.912
5	22	R2	F2	G34	S3	4.343
9	29	R3	F1	G34	S3	3.479
9	10	R3	F2	G34	S3	4.651
2	27	R1	F1	G35	S3	3.431
1	6	R1	F2	G35	S3	5.018
4	8	R2	F1	G35	S3	2.879
5	25	R2	F2	G35	S3	4.59
9	25	R3	F1	G35	S3	3.505
9	1	R3	F2	G35	S3	4.51
2	25	R1	F1	G36	S3	4.14
1	9	R1	F2	G36	S3	5.494
4	5	R2	F1	G36	S3	4.107
5	19	R2	F2	G36	S3	4.856
9	18	R3	F1	G36	S3	3.563
9	15	R3	F2	G36	S3	4.523
2	29	R1	F1	G37	S3	4.051
1	4	R1	F2	G37	S3	4.6
4	2	R2	F1	G37	S3	4.206
5	28	R2	F2	G37	S3	4.946
9	20	R3	F1	G37	S3	3.563
9	14	R3	F2	G37	S3	4.34
2	22	R1	F1	G38	S3	3.647
1	3	R1	F2	G38	S3	4.334
4	10	R2	F1	G38	S3	2.863
5	26	R2	F2	G38	S3	4.892
