"year"	"plot"	"range"	"yield"	"total"
1905	1	1	274	1034
1906	1	1	272.75	764
1907	1	1	275.5	758
1905	2	1	248	1028
1906	2	1	281.5	710
1907	2	1	294.25	812
1905	3	1	205	837
1906	3	1	201	516
1907	3	1	237.75	630
1905	4	1	323	1083
1906	4	1	238.25	572
1907	4	1	265.75	710
1905	5	1	362	1050
1906	5	1	240.25	564
1907	5	1	212.75	618
1905	6	1	180.5	742
1906	6	1	152.5	350
1907	6	1	183.25	522
1905	7	1	245.5	515
1906	7	1	165.25	356
1907	7	1	161.75	470
1905	8	1	195	504
1906	8	1	173.75	378
1907	8	1	167	444
1905	9	1	201.5	511
1906	9	1	156	336
1907	9	1	139.75	394
1905	10	1	175	483
1906	10	1	167.25	362
1907	10	1	175.5	430
1905	11	1	189	551
1906	11	1	151.5	322
1907	11	1	159.5	418
1905	12	1	211	660
1906	12	1	178.25	402
1907	12	1	148.25	380
1905	13	1	252	584
1906	13	1	185	414
1907	13	1	117.5	334
1905	14	1	213	560
1906	14	1	180.5	404
1907	14	1	127.75	348
1905	15	1	210.5	568
1906	15	1	180.5	408
1907	15	1	123.25	390
1905	16	1	NA	NA
1906	16	1	NA	NA
1907	16	1	NA	NA
1905	17	1	100.5	288
1906	17	1	125.75	316
1907	17	1	103.25	296
1905	18	1	122.5	345
1906	18	1	111.25	238
1907	18	1	95.25	262
1905	19	1	159	370
1906	19	1	97.5	228
1907	19	1	115.75	310
1905	20	1	98.5	291.5
1906	20	1	92	206
1907	20	1	128.5	338
1905	21	1	NA	NA
1906	21	1	NA	NA
1907	21	1	NA	NA
1905	22	1	NA	NA
1906	22	1	NA	NA
1907	22	1	NA	NA
1905	1	2	149	429
1906	1	2	122.5	276
1907	1	2	166.25	452
1905	2	2	198	518
1906	2	2	88.5	202
1907	2	2	184.5	470
1905	3	2	220	579
1906	3	2	118.75	274
1907	3	2	195.5	518
1905	4	2	186.5	509
1906	4	2	100.75	230
1907	4	2	206.75	494
1905	5	2	188	496
1906	5	2	97	226
1907	5	2	196.75	526
1905	6	2	198.5	541
1906	6	2	97.5	216
1907	6	2	185.5	490
1905	7	2	181	504
1906	7	2	104.5	238
1907	7	2	201.25	504
1905	8	2	195.5	560
1906	8	2	112.5	254
1907	8	2	191.25	510
1905	9	2	202	527
1906	9	2	126	286
1907	9	2	188.75	494
1905	10	2	214	571
1906	10	2	149.5	344
1907	10	2	169	512
1905	11	2	197	519.5
1906	11	2	142	328
1907	11	2	172.5	484
1905	12	2	202	518
1906	12	2	147.75	332
1907	12	2	168	478
1905	13	2	188	532
1906	13	2	132	312
1907	13	2	154	460
1905	14	2	179	474
1906	14	2	126.5	298
1907	14	2	153	446
1905	15	2	185	490
1906	15	2	142.25	336
1907	15	2	120.5	384
1905	16	2	NA	NA
1906	16	2	NA	NA
1907	16	2	NA	NA
1905	17	2	137	338
1906	17	2	165.75	388
1907	17	2	111.25	298
1905	18	2	153	424
1906	18	2	135.5	314
1907	18	2	123.5	332
1905	19	2	152	434
1906	19	2	132.75	302
1907	19	2	126	376
1905	20	2	158	426
1906	20	2	104.75	240
1907	20	2	156.5	436
1905	21	2	NA	NA
1906	21	2	NA	NA
1907	21	2	NA	NA
1905	22	2	NA	NA
1906	22	2	NA	NA
1907	22	2	NA	NA
1905	1	3	146	440
1906	1	3	101	240
1907	1	3	167.25	468
1905	2	3	172	449
1906	2	3	89.5	204
1907	2	3	195.25	486
1905	3	3	139	466
1906	3	3	103.75	232
1907	3	3	177	478
1905	4	3	183	453
1906	4	3	104.5	236
1907	4	3	175.25	474
1905	5	3	184	540
1906	5	3	106.75	254
1907	5	3	174	510
1905	6	3	185	548
1906	6	3	69.5	158
1907	6	3	138.5	390
1905	7	3	185	499
1906	7	3	74	170
1907	7	3	153.75	394
1905	8	3	192	557
1906	8	3	75.5	170
1907	8	3	147	400
1905	9	3	207	510
1906	9	3	70.25	166
1907	9	3	144.5	378
1905	10	3	192	522
1906	10	3	116.5	268
1907	10	3	160.75	454
1905	11	3	168.5	484
1906	11	3	111	240
1907	11	3	137.75	393
1905	12	3	178	498
1906	12	3	130.5	288
1907	12	3	145	434
1905	13	3	168	508
1906	13	3	165	366
1907	13	3	134.75	416
1905	14	3	153	485
1906	14	3	163	366
1907	14	3	140	418
1905	15	3	164	539
1906	15	3	179.75	416
1907	15	3	125.25	392
1905	16	3	NA	NA
1906	16	3	NA	NA
1907	16	3	NA	NA
1905	17	3	135	244
1906	17	3	122	270
