"gen"	"env"	"score"	"scale"
"G01"	"Bj03"	4	"0-9"
"G02"	"Bj03"	2.5	"0-9"
"G03"	"Bj03"	3.5	"0-9"
"G04"	"Bj03"	4.5	"0-9"
"G05"	"Bj03"	4	"0-9"
"G06"	"Bj03"	4	"0-9"
"G07"	"Bj03"	0.5	"0-9"
"G08"	"Bj03"	6.5	"0-9"
"G09"	"Bj03"	0.5	"0-9"
"G10"	"Bj03"	2	"0-9"
"G11"	"Bj03"	2.5	"0-9"
"G12"	"Bj03"	3.5	"0-9"
"G13"	"Bj03"	4.5	"0-9"
"G14"	"Bj03"	3	"0-9"
"G15"	"Bj03"	5	"0-9"
"G16"	"Bj03"	1	"0-9"
"G17"	"Bj03"	4	"0-9"
"G18"	"Bj03"	5.5	"0-9"
"G19"	"Bj03"	2.5	"0-9"
"G20"	"Bj03"	4.5	"0-9"
"G21"	"Bj03"	2.5	"0-9"
"G22"	"Bj03"	4	"0-9"
"G23"	"Bj03"	7.5	"0-9"
"G24"	"Bj03"	8	"0-9"
"G01"	"Bj05"	3.5	"0-9"
"G02"	"Bj05"	4.5	"0-9"
"G03"	"Bj05"	5.5	"0-9"
"G04"	"Bj05"	3	"0-9"
"G05"	"Bj05"	3.5	"0-9"
"G06"	"Bj05"	2.5	"0-9"
"G07"	"Bj05"	4	"0-9"
"G08"	"Bj05"	6	"0-9"
"G09"	"Bj05"	4	"0-9"
"G10"	"Bj05"	2.5	"0-9"
"G11"	"Bj05"	6	"0-9"
"G12"	"Bj05"	5.5	"0-9"
"G13"	"Bj05"	5.5	"0-9"
"G14"	"Bj05"	4.5	"0-9"
"G15"	"Bj05"	4.5	"0-9"
"G16"	"Bj05"	4.5	"0-9"
"G17"	"Bj05"	5	"0-9"
"G18"	"Bj05"	6	"0-9"
"G19"	"Bj05"	5.5	"0-9"
"G20"	"Bj05"	5.5	"0-9"
"G21"	"Bj05"	4.5	"0-9"
"G22"	"Bj05"	2.5	"0-9"
"G23"	"Bj05"	7.5	"0-9"
"G24"	"Bj05"	7.5	"0-9"
"G01"	"CA03"	3	"0-5"
"G02"	"CA03"	3	"0-5"
"G03"	"CA03"	0.5	"0-5"
"G04"	"CA03"	0.5	"0-5"
"G05"	"CA03"	2	"0-5"
"G06"	"CA03"	0.5	"0-5"
"G07"	"CA03"	3	"0-5"
"G08"	"CA03"	1	"0-5"
"G09"	"CA03"	0	"0-5"
"G10"	"CA03"	1	"0-5"
"G11"	"CA03"	3	"0-5"
"G12"	"CA03"	3	"0-5"
"G13"	"CA03"	4	"0-5"
"G14"	"CA03"	3	"0-5"
"G15"	"CA03"	0.5	"0-5"
"G16"	"CA03"	0.5	"0-5"
"G17"	"CA03"	0	"0-5"
"G18"	"CA03"	3	"0-5"
"G19"	"CA03"	3	"0-5"
"G20"	"CA03"	2	"0-5"
"G21"	"CA03"	1	"0-5"
"G22"	"CA03"	1	"0-5"
"G23"	"CA03"	4	"0-5"
"G24"	"CA03"	2	"0-5"
"G01"	"Ba04"	0.1	"%"
"G02"	"Ba04"	1.1	"%"
"G03"	"Ba04"	0.6	"%"
"G04"	"Ba04"	1.1	"%"
"G05"	"Ba04"	3	"%"
"G06"	"Ba04"	4.5	"%"
"G07"	"Ba04"	1	"%"
"G08"	"Ba04"	12.5	"%"
"G09"	"Ba04"	1.3	"%"
"G10"	"Ba04"	0.6	"%"
"G11"	"Ba04"	1.5	"%"
"G12"	"Ba04"	2.5	"%"
"G13"	"Ba04"	1.6	"%"
"G14"	"Ba04"	9	"%"
"G15"	"Ba04"	0.1	"%"
"G16"	"Ba04"	0.6	"%"
"G17"	"Ba04"	0.2	"%"
"G18"	"Ba04"	3	"%"
"G19"	"Ba04"	0.1	"%"
"G20"	"Ba04"	2.5	"%"
"G21"	"Ba04"	0.8	"%"
"G22"	"Ba04"	7	"%"
"G23"	"Ba04"	25	"%"
"G24"	"Ba04"	25	"%"
"G01"	"Ma04"	3	"0-9"
"G02"	"Ma04"	3	"0-9"
"G03"	"Ma04"	5	"0-9"
"G04"	"Ma04"	6	"0-9"
