year	state	acres	yield
1866	"Connecticut"	1000	22.5
1866	"Illinois"	96000	23.4
1866	"Indiana"	11000	23
1866	"Iowa"	66000	22
1866	"Kansas"	2000	23
1866	"Kentucky"	10000	23.5
1866	"Maine"	34000	21.5
1866	"Massachusetts"	7000	25.5
1866	"Michigan"	21000	26
1866	"Minnesota"	20000	26
1866	"Missouri"	9000	21
1866	"Nebraska"	6000	24.5
1866	"New Hampshire"	4000	22
1866	"New York"	280000	25
1866	"Ohio"	90000	24.5
1866	"Pennsylvania"	30000	18.5
1866	"Rhode Island"	1000	24
1866	"Tennessee"	4000	23
1866	"Texas"	3000	16
1866	"Vermont"	4000	29
1866	"Wisconsin"	55000	25.5
1867	"California"	303000	20
1867	"Connecticut"	1000	21.5
1867	"Illinois"	98000	24.7
1867	"Indiana"	11000	25
1867	"Iowa"	70000	25
1867	"Kansas"	2000	21
1867	"Kentucky"	10000	27.5
1867	"Maine"	30000	20.5
1867	"Massachusetts"	7000	26.5
1867	"Michigan"	25000	25
1867	"Minnesota"	25000	28
1867	"Missouri"	10000	20
1867	"Nebraska"	7000	20
1867	"New Hampshire"	4000	21.5
1867	"New York"	270000	21.5
1867	"Ohio"	90000	27
1867	"Pennsylvania"	28000	19
1867	"Rhode Island"	1000	21.5
1867	"Tennessee"	4000	19
1867	"Texas"	2000	20
1867	"Vermont"	5000	23.5
1867	"Wisconsin"	55000	26
1868	"California"	325000	21
1868	"Connecticut"	1000	21.5
1868	"Illinois"	103000	22.7
1868	"Indiana"	13000	24
1868	"Iowa"	75000	20
1868	"Kansas"	4000	22
1868	"Kentucky"	12000	25
1868	"Maine"	28000	19
1868	"Massachusetts"	6000	26.5
1868	"Michigan"	22000	26
1868	"Minnesota"	28000	28
1868	"Missouri"	12000	20
1868	"Nebraska"	8000	19.5
1868	"New Hampshire"	4000	20.5
1868	"New York"	275000	21.5
1868	"Ohio"	50000	23.5
1868	"Pennsylvania"	28000	18.5
1868	"Rhode Island"	1000	18.5
1868	"Tennessee"	4000	18
1868	"Texas"	2000	22
1868	"Vermont"	5000	26
1868	"Wisconsin"	58000	24.5
1869	"California"	390000	22.5
1869	"Connecticut"	1000	23
1869	"Illinois"	118000	21
1869	"Indiana"	15000	24
1869	"Iowa"	90000	21.7
1869	"Kansas"	4000	23.5
1869	"Kentucky"	10000	25
1869	"Maine"	30000	22
1869	"Massachusetts"	6000	25
1869	"Michigan"	34000	24.6
1869	"Minnesota"	38000	27.5
1869	"Missouri"	14000	19.4
1869	"Nebraska"	10000	22.5
1869	"New Hampshire"	4000	26.5
1869	"New York"	295000	25
1869	"Ohio"	70000	25.5
1869	"Oregon"	6000	35
