yield	gen	env	block
3679	G1	E1	B1
1875	G1	E2	B1
3418	G1	E3	B1
4071	G1	E4	B1
2384	G1	E5	B1
1574	G1	E6	B1
3175	G1	E1	B2
2016	G1	E2	B2
3829	G1	E3	B2
3650	G1	E4	B2
2071	G1	E5	B2
1502	G1	E6	B2
3597	G1	E1	B3
2820	G1	E2	B3
3573	G1	E3	B3
3907	G1	E4	B3
1254	G1	E5	B3
1998	G1	E6	B3
2704	G1	E1	B4
1939	G1	E2	B4
3951	G1	E3	B4
4055	G1	E4	B4
646	G1	E5	B4
2147	G1	E6	B4
3799	G2	E1	B1
1913	G2	E2	B1
3407	G2	E3	B1
3667	G2	E4	B1
1763	G2	E5	B1
1618	G2	E6	B1
3246	G2	E1	B2
1522	G2	E2	B2
2793	G2	E3	B2
3910	G2	E4	B2
1672	G2	E5	B2
1829	G2	E6	B2
3279	G2	E1	B3
1543	G2	E2	B3
2969	G2	E3	B3
3932	G2	E4	B3
3134	G2	E5	B3
1067	G2	E6	B3
3625	G2	E1	B4
1660	G2	E2	B4
3424	G2	E3	B4
4080	G2	E4	B4
1177	G2	E5	B4
1102	G2	E6	B4
2497	G3	E1	B1
2007	G3	E2	B1
2792	G3	E3	B1
3526	G3	E4	B1
1361	G3	E5	B1
979	G3	E6	B1
2750	G3	E1	B2
2015	G3	E2	B2
2130	G3	E3	B2
3035	G3	E4	B2
824	G3	E5	B2
978	G3	E6	B2
3091	G3	E1	B3
2482	G3	E2	B3
2080	G3	E3	B3
2056	G3	E4	B3
1125	G3	E5	B3
1132	G3	E6	B3
2267	G3	E1	B4
1481	G3	E2	B4
2496	G3	E3	B4
3062	G3	E4	B4
620	G3	E5	B4
1543	G3	E6	B4
2125	G4	E1	B1
2038	G4	E2	B1
3209	G4	E3	B1
4007	G4	E4	B1
1612	G4	E5	B1
1266	G4	E6	B1
2604	G4	E1	B2
2109	G4	E2	B2
2764	G4	E3	B2
3855	G4	E4	B2
2208	G4	E5	B2
1327	G4	E6	B2
2687	G4	E1	B3
2434	G4	E2	B3
1975	G4	E3	B3
3808	G4	E4	B3
1615	G4	E5	B3
1873	G4	E6	B3
2452	G4	E1	B4
1800	G4	E2	B4
2350	G4	E3	B4
3302	G4	E4	B4
1948	G4	E5	B4
1489	G4	E6	B4
2844	G5	E1	B1
1674	G5	E2	B1
4041	G5	E3	B1
3645	G5	E4	B1
1803	G5	E5	B1
2259	G5	E6	B1
2624	G5	E1	B2
2099	G5	E2	B2
3534	G5	E3	B2
5367	G5	E4	B2
2524	G5	E5	B2
1490	G5	E6	B2
2424	G5	E1	B3
1476	G5	E2	B3
3846	G5	E3	B3
4061	G5	E4	B3
1237	G5	E5	B3
1429	G5	E6	B3
3118	G5	E1	B4
1796	G5	E2	B4
4230	G5	E3	B4
3642	G5	E4	B4
1994	G5	E5	B4
1534	G5	E6	B4
