row	col	grain	straw
20	1	3.63	6.37
19	1	4.07	6.24
18	1	4.51	7.05
17	1	3.9	6.91
16	1	3.63	5.93
15	1	3.16	5.59
14	1	3.18	5.32
13	1	3.42	5.52
12	1	3.97	6.03
11	1	3.4	5.66
10	1	3.39	5.61
9	1	4.43	7.07
8	1	4.52	7.1
7	1	4.46	7.16
6	1	3.46	8.85
5	1	5.13	8.37
4	1	4.23	6.89
3	1	4.38	6.72
2	1	3.85	6.59
1	1	3.61	6.2
20	2	4.15	6.85
19	2	4.21	7.29
18	2	4.29	7.71
17	2	4.64	8.23
16	2	4.27	7.73
15	2	3.55	6.45
14	2	3.5	5.87
13	2	3.35	5.71
12	2	3.61	6.01
11	2	3.71	6.29
10	2	3.64	6.3
9	2	3.7	6.17
8	2	3.79	6.33
7	2	4.09	7.22
6	2	4.42	5.2
5	2	3.89	7.05
4	2	3.87	6.82
3	2	4.12	7.38
2	2	4.28	7.03
1	2	4.22	7.65
20	3	4.06	7.19
19	3	4.15	7.41
18	3	4.4	7.35
17	3	4.05	7.89
16	3	4.92	8.58
15	3	4.08	7.04
14	3	4.23	7.02
13	3	4.07	7.05
12	3	4.67	7.64
11	3	4.27	7.17
10	3	3.84	6.6
9	3	3.82	6.87
8	3	4.41	7.03
7	3	4.39	7.73
6	3	4.29	7.52
5	3	4.26	6.99
4	3	4.23	7.14
3	3	4.39	7.55
2	3	4.69	8.06
1	3	4.42	8.45
20	4	5.13	7.99
19	4	4.64	7.8
18	4	4.69	7.5
17	4	4.04	6.66
16	4	4.64	7.86
15	4	4.73	7.98
14	4	4.39	6.98
13	4	4.66	7.28
12	4	4.49	6.95
11	4	4.42	6.95
10	4	4.51	7.86
9	4	4.45	7.17
8	4	4.57	7.93
7	4	4.31	7.31
6	4	4.08	6.67
5	4	4.32	6.93
4	4	4.58	7.73
3	4	3.92	6.7
2	4	5.16	8.78
1	4	5.09	8.72
20	5	3.04	4.71
19	5	4.03	6.34
18	5	3.77	6.17
17	5	3.49	5.7
16	5	3.76	6.05
15	5	3.61	5.89
14	5	3.28	4.97
13	5	3.72	5.78
12	5	3.75	5.94
11	5	4.13	7.31
10	5	4.01	7.18
9	5	3.59	6.53
8	5	3.94	7.06
7	5	4.29	7.08
6	5	3.96	6.54
5	5	3.78	6.72
4	5	3.19	6.06
3	5	4.84	8.85
2	5	4.46	7.54
1	5	3.66	7.09
20	6	4.48	6.08
19	6	3.74	6.63
18	6	4.46	6.98
17	6	3.91	6.46
16	6	4.1	6.77
15	6	3.66	6.15
14	6	3.56	6.06
13	6	3.84	6.1
12	6	4.11	6.83
11	6	4.2	6.86
10	6	4.21	8.23
9	6	4.37	8.75
8	6	4.47	8.53
7	6	4.47	8.15
6	6	3.96	7.1
5	6	3.54	6.46
4	6	3.49	6.63
3	6	3.94	6.75
2	6	4.41	8.15
1	6	4.22	7.72
20	7	4.75	7.31
19	7	4.56	7.88
18	7	4.76	8.18
17	7	4.52	7.6
16	7	4.4	7.91
15	7	4.39	7.36
14	7	4.94	8.06
13	7	4.44	7.5
12	7	4.64	7.92
11	7	4.66	7.59
10	7	4.77	8.23
9	7	4.45	8.74
8	7	4.42	8.02
7	7	4.37	7.69
6	7	3.89	6.86
5	7	4.27	7.79
4	7	3.91	7.34
3	7	4.38	7.43
2	7	4.68	7.51
1	7	4.06	7.06
20	8	4.04	6.08
19	8	4.27	6.35
18	8	3.76	5.93
17	8	4.52	7.29
16	8	4.17	7.33
15	8	3.84	6.28
14	8	4.06	6.81
13	8	3.4	5.97
12	8	2.99	5.07
11	8	3.61	6.33
10	8	3.95	7.11
9	8	4.08	7.17
8	8	3.92	6.7
7	8	3.44	6.62
6	8	4.11	7.58
5	8	4.12	7.32
4	8	4.41	7.53
3	8	4.24	7.32
2	8	4.37	7.19
1	8	3.97	7.53
20	9	4.14	6.98
19	9	4.03	6.91
18	9	3.3	5.95
17	9	3.05	5.82
16	9	3.67	7.33
15	9	4.26	7.61
14	9	4.32	7.37
13	9	4.07	6.99
12	9	4.37	7.25
11	9	3.99	7.26
10	9	4.17	7.52
9	9	3.72	7.28
8	9	3.86	7.2
7	9	3.82	7.05
6	9	3.73	6.89
5	9	4.13	7.24
4	9	4.21	7.41
3	9	3.96	7.04
2	9	4.15	7.47
1	9	3.89	7.36
20	10	4	5.87
19	10	4.5	6.5
18	10	3.67	6.2
17	10	4.59	5.41
16	10	5.07	8.05
15	10	4.36	5.58
14	10	4.86	7.51
13	10	4.93	7.57
12	10	5.02	8.23
11	10	4.44	7.75
10	10	4.39	7.73
9	10	4.56	7.73
8	10	4.77	7.67
7	10	4.63	7.87
6	10	4.03	7.16
5	10	4.47	7.84
4	10	4.61	7.51
3	10	4.29	6.96
2	10	4.91	7.96
1	10	4.46	6.91
20	11	4.37	6.75
19	11	3.97	6.09
18	11	3.94	6.18
17	11	4.01	5.99
16	11	3.83	6.36
15	11	3.79	5.46
14	11	3.96	6.23
13	11	3.93	6.13
12	11	3.56	5.75
11	11	3.86	6.14
10	11	4.17	7.2
9	11	4.1	6.9
8	11	4.99	7.82
7	11	4.36	7.39
6	11	4.09	7.03
5	11	3.41	5.96
4	11	4.27	7.17
3	11	4.52	7.73
2	11	4.68	8.07
1	11	4.44	6.87
20	12	4.02	6.1
19	12	4.19	6.43
18	12	4.07	6.37
17	12	3.34	5.6
16	12	3.63	6.43
15	12	4.09	6.1
14	12	3.74	6.38
13	12	3.04	4.96
12	12	3.59	6.03
11	12	3.99	6.26
10	12	4.17	7.08
9	12	3.07	6.12
8	12	3.91	7.34
7	12	3.79	6.33
6	12	3.82	7.3
5	12	3.55	6.7
4	12	4.06	7
3	12	4.19	7.3
2	12	5.13	8.31
1	12	4.52	8.17
20	13	4.58	7.23
19	13	4.05	6.57
18	13	3.73	6.02
17	13	4.06	6.19
16	13	3.74	6.13
15	13	3.72	6.03
14	13	4.33	6.79
13	13	3.72	5.97
12	13	4.05	6.82
11	13	3.37	6.25
10	13	4.09	7.28
9	13	3.99	7.13
8	13	4.09	7.72
7	13	3.56	6.69
6	13	3.57	6.55
5	13	3.16	5.84
4	13	3.75	6.31
3	13	4.49	7.57
2	13	4.19	6.93
1	13	3.7	6.8
20	14	3.92	6.33
19	14	3.97	6.03
18	14	4.58	7.23
17	14	3.19	6.56
16	14	4.14	5.98
15	14	3.76	5.49
14	14	3.77	5.48
13	14	3.93	6.07
12	14	3.96	6.35
11	14	3.47	5.78
10	14	3.29	5.71
9	14	3.14	5.05
8	14	3.05	5.7
7	14	3.29	5.71
6	14	3.43	5.38
5	14	3.47	5.84
4	14	3.91	6.21
3	14	3.82	6.37
2	14	4.41	6.78
1	14	4.28	6.97
20	15	3.64	5.11
19	15	3.61	5.58
18	15	3.64	5.86
17	15	3.75	4.62
16	15	3.7	7.67
15	15	3.37	5
14	15	3.71	5.66
13	15	3.71	5.79
12	15	3.75	5.12
11	15	3.09	5.47
10	15	3.37	6.44
