"year"	"block"	"plot"	"gen"	"yield"
1996	"B1"	2	"Colosseo"	6.73
1996	"B2"	110	"Colosseo"	6.96
1996	"B3"	181	"Colosseo"	5.35
1997	"B1"	2	"Colosseo"	6.26
1997	"B2"	110	"Colosseo"	7.01
1997	"B3"	181	"Colosseo"	6.11
1998	"B1"	17	"Colosseo"	6.75
1998	"B2"	110	"Colosseo"	6.82
1998	"B3"	256	"Colosseo"	6.52
1999	"B1"	18	"Colosseo"	7.18
1999	"B2"	141	"Colosseo"	7.18
1999	"B3"	283	"Colosseo"	6.59
2000	"B1"	29	"Colosseo"	5.99
2000	"B2"	63	"Colosseo"	6.63
2000	"B3"	13	"Colosseo"	6.7
2001	"B1"	3	"Colosseo"	6.41
2001	"B2"	34	"Colosseo"	7.11
2001	"B3"	80	"Colosseo"	7.7
2002	"B1"	57	"Colosseo"	4.31
2002	"B2"	61	"Colosseo"	4.73
2002	"B3"	11	"Colosseo"	5.64
1996	"B1"	1	"Creso"	6.02
1996	"B2"	137	"Creso"	5.34
1996	"B3"	152	"Creso"	5.44
1997	"B1"	1	"Creso"	5.54
1997	"B2"	137	"Creso"	6.04
1997	"B3"	152	"Creso"	6.69
1998	"B1"	95	"Creso"	6.3
1998	"B2"	196	"Creso"	5.98
1998	"B3"	287	"Creso"	6.11
1999	"B1"	57	"Creso"	7.05
1999	"B2"	143	"Creso"	7.44
1999	"B3"	213	"Creso"	6.9
2000	"B1"	43	"Creso"	5.83
2000	"B2"	77	"Creso"	5.72
2000	"B3"	26	"Creso"	6.71
2001	"B1"	1	"Creso"	6.07
2001	"B2"	35	"Creso"	6.49
2001	"B3"	66	"Creso"	6.8
2002	"B1"	60	"Creso"	3.99
2002	"B2"	10	"Creso"	4.82
2002	"B3"	42	"Creso"	4.17
1996	"B1"	50	"Duilio"	6.06
1996	"B2"	91	"Duilio"	5.57
1996	"B3"	153	"Duilio"	5.29
1997	"B1"	50	"Duilio"	8.34
1997	"B2"	91	"Duilio"	8.09
1997	"B3"	153	"Duilio"	7.74
1998	"B1"	48	"Duilio"	7.53
1998	"B2"	184	"Duilio"	7.22
1998	"B3"	228	"Duilio"	6.71
1999	"B1"	30	"Duilio"	7.83
1999	"B2"	115	"Duilio"	8.25
1999	"B3"	239	"Duilio"	7.9
2000	"B1"	44	"Duilio"	4.95
2000	"B2"	79	"Duilio"	5.3
2000	"B3"	25	"Duilio"	5.29
2001	"B1"	15	"Duilio"	7.25
2001	"B2"	47	"Duilio"	8.18
2001	"B3"	83	"Duilio"	8.21
2002	"B1"	29	"Duilio"	4.24
2002	"B2"	48	"Duilio"	4.1
2002	"B3"	81	"Duilio"	4.38
1996	"B1"	49	"Grazia"	6.24
1996	"B2"	138	"Grazia"	6.09
1996	"B3"	185	"Grazia"	6.47
1997	"B1"	18	"Grazia"	5.92
1997	"B2"	108	"Grazia"	7
1997	"B3"	155	"Grazia"	7.28
1998	"B1"	76	"Grazia"	6.74
1998	"B2"	153	"Grazia"	6.21
1998	"B3"	305	"Grazia"	6.11
1999	"B1"	60	"Grazia"	6.83
1999	"B2"	127	"Grazia"	7.3
1999	"B3"	254	"Grazia"	6.39
2000	"B1"	2	"Grazia"	5.11
2000	"B2"	37	"Grazia"	4.49
