"plot"	"row"	"col"	"germination"	"earnum"	"earwt"	"yield"	"stalks"
1	10	1	96	270	84	56	360
2	9	1	102	284	NA	NA	309
3	8	1	99	280	NA	NA	394
4	7	1	95	263	NA	NA	384
5	6	1	94	252	NA	NA	365
6	5	1	110	265	NA	NA	416
7	4	1	112	205	NA	NA	428
8	3	1	107	266	NA	NA	387
9	2	1	117	183	NA	NA	505
10	1	2	115	110	NA	NA	453
11	2	2	109	180	NA	NA	445
12	3	2	118	194	NA	NA	415
13	4	2	119	180	NA	NA	436
14	5	2	121	210	NA	NA	412
15	6	2	103	212	88	58	412
16	7	2	119	282	NA	NA	417
17	8	2	118	245	NA	NA	416
18	9	2	117	253	92	63	397
19	10	2	119	208	83	52	415
20	19	3	114	105	NA	NA	414
21	18	3	121	117	NA	NA	409
22	17	3	116	122	NA	NA	404
23	16	3	120	114	NA	NA	418
24	15	3	121	120	38	23	406
25	14	3	121	105	NA	NA	412
26	13	3	117	135	NA	NA	418
27	12	3	113	205	77	50	352
28	11	3	103	220	NA	NA	365
29	10	3	114	265	NA	NA	381
30	9	3	119	212	NA	NA	415
31	8	3	118	305	99	66	450
32	7	3	118	230	NA	NA	414
33	6	3	120	197	NA	NA	406
34	5	3	120	200	NA	NA	411
35	4	3	119	190	NA	NA	415
36	3	3	119	200	NA	NA	410
37	2	3	111	150	NA	NA	403
38	2	4	91	122	NA	NA	454
39	3	4	120	213	NA	NA	410
40	4	4	120	170	NA	NA	437
41	5	4	115	190	NA	NA	409
42	6	4	120	190	NA	NA	401
43	7	4	108	243	NA	NA	433
44	8	4	119	244	NA	NA	389
45	9	4	121	230	NA	NA	386
46	10	4	120	234	NA	NA	373
47	11	4	106	205	79	59	412
48	12	4	115	255	NA	NA	407
49	13	4	119	184	NA	NA	413
50	14	4	121	197	NA	NA	421
51	15	4	121	155	NA	NA	433
52	16	4	121	130	NA	NA	377
53	17	4	118	207	53	31	408
54	18	4	118	162	NA	NA	413
55	19	4	121	110	NA	NA	427
56	19	5	113	80	NA	NA	413
57	18	5	116	157	NA	NA	375
58	17	5	116	130	NA	NA	381
59	16	5	120	140	51	29	350
60	15	5	118	130	NA	NA	422
61	14	5	119	153	NA	NA	416
62	13	5	120	150	NA	NA	444
63	12	5	116	180	NA	NA	393
64	11	5	84	137	37	20	206
65	10	5	105	160	NA	NA	375
66	9	5	92	140	NA	NA	395
67	8	5	102	155	71	41	411
68	7	5	103	140	NA	NA	352
69	6	5	110	174	NA	NA	394
70	5	5	108	154	NA	NA	400
71	4	5	117	160	NA	NA	371
72	3	5	105	176	62	42	404
73	4	6	119	120	NA	NA	377
74	5	6	106	168	NA	NA	412
75	6	6	109	115	NA	NA	410
76	7	6	75	123	NA	NA	409
77	8	6	96	116	NA	NA	359
78	9	6	81	135	50	33	258
79	11	6	121	137	NA	NA	405
80	12	6	110	121	45	30	339
81	13	6	112	73	NA	NA	385
82	14	6	121	91	NA	NA	393
83	15	6	119	95	NA	NA	380
