"gen"	"env"	"straw"	"emergence"
264	"1970"	121	156
271	"1970"	90	155
277	"1970"	117	148
303	"1970"	86	159
590	"1970"	NA	NA
788	"1970"	NA	NA
789	"1970"	NA	NA
929	"1970"	NA	NA
988	"1970"	NA	NA
1189	"1970"	NA	NA
1567	"1970"	NA	NA
1571	"1970"	NA	NA
2079	"1970"	NA	NA
2098	"1970"	NA	NA
2194	"1970"	NA	NA
2208	"1970"	NA	NA
2217	"1970"	NA	NA
2495	"1970"	NA	NA
2499	"1970"	NA	NA
264	"1971"	90	146
271	"1971"	68	146
277	"1971"	89	137
303	"1971"	57	157
590	"1971"	27	157
788	"1971"	NA	NA
789	"1971"	NA	NA
929	"1971"	NA	NA
988	"1971"	NA	NA
1189	"1971"	NA	NA
1567	"1971"	NA	NA
1571	"1971"	NA	NA
2079	"1971"	NA	NA
2098	"1971"	NA	NA
2194	"1971"	NA	NA
2208	"1971"	NA	NA
2217	"1971"	NA	NA
2495	"1971"	NA	NA
2499	"1971"	NA	NA
264	"1972"	130	150
271	"1972"	98	152
277	"1972"	126	143
303	"1972"	78	154
590	"1972"	42	161
788	"1972"	NA	NA
789	"1972"	NA	NA
929	"1972"	NA	NA
988	"1972"	NA	NA
1189	"1972"	NA	NA
1567	"1972"	NA	NA
1571	"1972"	NA	NA
2079	"1972"	NA	NA
2098	"1972"	NA	NA
2194	"1972"	NA	NA
2208	"1972"	NA	NA
2217	"1972"	NA	NA
2495	"1972"	NA	NA
2499	"1972"	NA	NA
264	"1973"	NA	NA
271	"1973"	101	NA
277	"1973"	NA	NA
303	"1973"	NA	NA
590	"1973"	NA	NA
788	"1973"	80	NA
789	"1973"	96	NA
929	"1973"	NA	NA
988	"1973"	NA	NA
1189	"1973"	NA	NA
1567	"1973"	NA	NA
1571	"1973"	NA	NA
2079	"1973"	NA	NA
2098	"1973"	NA	NA
2194	"1973"	NA	NA
2208	"1973"	NA	NA
2217	"1973"	NA	NA
2495	"1973"	NA	NA
2499	"1973"	NA	NA
264	"1974"	NA	NA
271	"1974"	NA	NA
277	"1974"	NA	NA
303	"1974"	NA	NA
590	"1974"	38	163
788	"1974"	82	154
789	"1974"	112	147
929	"1974"	81	149
988	"1974"	124	165
1189	"1974"	120	154
1567	"1974"	NA	NA
1571	"1974"	NA	NA
2079	"1974"	NA	NA
2098	"1974"	NA	NA
2194	"1974"	NA	NA
2208	"1974"	NA	NA
2217	"1974"	NA	NA
2495	"1974"	NA	NA
2499	"1974"	NA	NA
264	"1975"	NA	NA
271	"1975"	NA	NA
277	"1975"	NA	NA
303	"1975"	NA	NA
590	"1975"	NA	NA
788	"1975"	91	160
789	"1975"	115	155
929	"1975"	83	157
988	"1975"	144	169
1189	"1975"	149	170
1567	"1975"	NA	NA
1571	"1975"	NA	NA
2079	"1975"	NA	NA
2098	"1975"	NA	NA
2194	"1975"	NA	NA
2208	"1975"	NA	NA
2217	"1975"	NA	NA
2495	"1975"	NA	NA
2499	"1975"	NA	NA
264	"1976"	NA	NA
271	"1976"	NA	NA
277	"1976"	NA	NA
303	"1976"	NA	NA
590	"1976"	NA	NA
788	"1976"	NA	NA
789	"1976"	NA	NA
929	"1976"	80	151
988	"1976"	NA	162
1189	"1976"	110	158
1567	"1976"	60	153
1571	"1976"	80	151
2079	"1976"	100	148
2098	"1976"	80	134
2194	"1976"	NA	NA
2208	"1976"	NA	NA
2217	"1976"	NA	NA
2495	"1976"	NA	NA
2499	"1976"	NA	NA
264	"1977"	NA	NA
271	"1977"	NA	NA
277	"1977"	NA	NA
303	"1977"	NA	NA
590	"1977"	NA	NA
788	"1977"	NA	NA
789	"1977"	NA	NA
929	"1977"	NA	NA
988	"1977"	130	168
1189	"1977"	145	168
1567	"1977"	NA	NA
1571	"1977"	NA	NA
2079	"1977"	85	161
2098	"1977"	75	143
2194	"1977"	75	161
2208	"1977"	50	157
2217	"1977"	100	161
2495	"1977"	NA	NA
2499	"1977"	NA	NA
264	"1978"	NA	NA
271	"1978"	NA	NA
277	"1978"	NA	NA
303	"1978"	NA	NA
590	"1978"	NA	NA
788	"1978"	NA	NA
789	"1978"	NA	NA
929	"1978"	NA	NA
988	"1978"	NA	167
1189	"1978"	NA	160
1567	"1978"	NA	NA
1571	"1978"	NA	NA
2079	"1978"	104	158
2098	"1978"	94	139
2194	"1978"	76	163
2208	"1978"	57	158
2217	"1978"	112	158
2495	"1978"	82	153
2499	"1978"	120	156
264	"1979"	NA	NA
271	"1979"	NA	NA
277	"1979"	NA	NA
303	"1979"	NA	NA
590	"1979"	NA	NA
788	"1979"	NA	NA
789	"1979"	NA	NA
929	"1979"	NA	NA
988	"1979"	NA	NA
1189	"1979"	NA	NA
1567	"1979"	65	166
1571	"1979"	75	169
2079	"1979"	NA	NA
2098	"1979"	NA	NA
2194	"1979"	85	169
2208	"1979"	55	162
2217	"1979"	98	164
2495	"1979"	75	159
2499	"1979"	110	162
264	"1980"	NA	NA
271	"1980"	NA	NA
277	"1980"	NA	NA
303	"1980"	NA	NA
590	"1980"	NA	NA
788	"1980"	NA	NA
789	"1980"	NA	NA
929	"1980"	NA	NA
988	"1980"	NA	NA
1189	"1980"	NA	NA
1567	"1980"	80	162
1571	"1980"	82	160
2079	"1980"	NA	NA
2098	"1980"	NA	NA
2194	"1980"	NA	NA
2208	"1980"	NA	NA
2217	"1980"	NA	NA
2495	"1980"	90	153
2499	"1980"	104	157
264	"1973a"	NA	150
271	"1973a"	NA	155
277	"1973a"	NA	141
303	"1973a"	NA	157
590	"1973a"	NA	162
788	"1973a"	NA	157
789	"1973a"	NA	152
929	"1973a"	NA	NA
988	"1973a"	NA	NA
1189	"1973a"	NA	NA
1567	"1973a"	NA	NA
1571	"1973a"	NA	NA
2079	"1973a"	NA	NA
2098	"1973a"	NA	NA
2194	"1973a"	NA	NA
2208	"1973a"	NA	NA
2217	"1973a"	NA	NA
2495	"1973a"	NA	NA
2499	"1973a"	NA	NA
264	"1973b"	NA	152
271	"1973b"	NA	152
277	"1973b"	NA	143
303	"1973b"	NA	159
590	"1973b"	NA	164
788	"1973b"	NA	157
789	"1973b"	NA	152
929	"1973b"	NA	NA
