"stage"	"defoliation"	"plant"	"rep"	"reproductive"	"bolls"	"height"	"nodes"	"weight"
"vegetative"	0	1	"R1"	5	5	73	16	33.16
"vegetative"	0	1	"R2"	4	4	63	17	28.675
"vegetative"	0	1	"R3"	4	4	65.5	14	31.485
"vegetative"	0	1	"R4"	6	5	85	15	28.925
"vegetative"	0	1	"R5"	5	5	72	15	36.43
"vegetative"	25	1	"R1"	5	5	77	15	34.105
"vegetative"	25	1	"R2"	5	5	74	17	30.01
"vegetative"	25	1	"R3"	6	5	59	10	37.338
"vegetative"	25	1	"R4"	5	5	81	14	27.93
"vegetative"	25	1	"R5"	5	5	75	13	29.32
"vegetative"	50	1	"R1"	4	4	70.5	13	25.228
"vegetative"	50	1	"R2"	4	4	79.5	16	26.205
"vegetative"	50	1	"R3"	5	5	65	13	33.327
"vegetative"	50	1	"R4"	4	4	75	15	26.75
"vegetative"	50	1	"R5"	5	5	65.5	12	33.2
"vegetative"	75	1	"R1"	5	5	65	13	30.18
"vegetative"	75	1	"R2"	3	3	79	17	27.306
"vegetative"	75	1	"R3"	3	2	75.5	13	27.277
"vegetative"	75	1	"R4"	5	4	73	14	28.305
"vegetative"	75	1	"R5"	4	4	72	12	32.03
"vegetative"	100	1	"R1"	5	5	71	13	24.323
"vegetative"	100	1	"R2"	2	2	78	19	20.875
"vegetative"	100	1	"R3"	2	2	71.5	14	20.755
"vegetative"	100	1	"R4"	5	5	80	17	16.235
"vegetative"	100	1	"R5"	2	2	73.5	15	22.2
"flowerbud"	0	1	"R1"	4	4	74	13	24.4
"flowerbud"	0	1	"R2"	4	4	74	14	30.015
"flowerbud"	0	1	"R3"	4	4	70	14	27.98
"flowerbud"	0	1	"R4"	5	5	75	15	32.437
"flowerbud"	0	1	"R5"	5	5	63	12	30.845
"flowerbud"	25	1	"R1"	5	5	64.5	12	28.815
"flowerbud"	25	1	"R2"	6	6	79.5	16	31.547
"flowerbud"	25	1	"R3"	4	4	66	14	26.453
"flowerbud"	25	1	"R4"	5	5	72	15	29.775
"flowerbud"	25	1	"R5"	4	4	70	17	27.7
"flowerbud"	50	1	"R1"	4	4	63	14	30.389
"flowerbud"	50	1	"R2"	4	4	74	15	26.957
"flowerbud"	50	1	"R3"	5	5	69	15	29.975
"flowerbud"	50	1	"R4"	5	5	64	14	35.43
"flowerbud"	50	1	"R5"	4	4	63	15	25.093
"flowerbud"	75	1	"R1"	6	5	74.5	15	34.501
"flowerbud"	75	1	"R2"	5	5	74	16	26.86
"flowerbud"	75	1	"R3"	4	4	70	16	20.5
"flowerbud"	75	1	"R4"	3	3	75	17	26.071
"flowerbud"	75	1	"R5"	2	2	57	16	24.929
"flowerbud"	100	1	"R1"	5	4	74	16	23.015
"flowerbud"	100	1	"R2"	5	4	87	17	25.007
"flowerbud"	100	1	"R3"	3	3	82	17	21.706
"flowerbud"	100	1	"R4"	3	3	71	18	22.449
"flowerbud"	100	1	"R5"	5	5	78	16	24.024
"blossom"	0	1	"R1"	4	4	60	15	27.681
"blossom"	0	1	"R2"	4	4	78.5	15	30.51
"blossom"	0	1	"R3"	5	5	76	17	29.555
"blossom"	0	1	"R4"	6	6	61	14	32.825
"blossom"	0	1	"R5"	5	5	63	15	23.2
"blossom"	25	1	"R1"	4	4	59	15	26.58
"blossom"	25	1	"R2"	4	2	72	18	15.6
"blossom"	25	1	"R3"	3	2	55.5	18	19.26
"blossom"	25	1	"R4"	4	4	69	15	26.174
"blossom"	25	1	"R5"	4	4	66	17	18.06
"blossom"	50	1	"R1"	4	2	73	13	23.666
"blossom"	50	1	"R2"	4	2	67	17	16.491
"blossom"	50	1	"R3"	4	4	63	15	23.31
"blossom"	50	1	"R4"	3	3	71	18	14.59
"blossom"	50	1	"R5"	4	4	74.5	20	25.425
"blossom"	75	1	"R1"	4	4	60	15	27.928
"blossom"	75	1	"R2"	4	3	43	10	15.475
"blossom"	75	1	"R3"	3	3	59	15	23.314
"blossom"	75	1	"R4"	3	3	59	16	20.62
