y	rep	row	col	trt
9	R1	1	1	T10
20.3	R1	1	2	T12
17.7	R1	1	3	T09
26.3	R1	1	4	T11
4.7	R1	2	1	T02
9	R1	2	2	T04
7.3	R1	2	3	T01
8.3	R1	2	4	T03
9	R1	3	1	T14
6.7	R1	3	2	T16
11.7	R1	3	3	T13
4.3	R1	3	4	T15
4	R1	4	1	T06
5	R1	4	2	T08
5.7	R1	4	3	T05
14.3	R1	4	4	T07
19	R2	1	1	T05
8.7	R2	1	2	T12
13	R2	1	3	T15
15.7	R2	1	4	T02
12	R2	2	1	T10
6	R2	2	2	T07
15.3	R2	2	3	T04
12	R2	2	4	T13
12.7	R2	3	1	T16
6.3	R2	3	2	T01
1.7	R2	3	3	T06
13	R2	3	4	T11
3.7	R2	4	1	T03
3.7	R2	4	2	T14
8	R2	4	3	T09
13.3	R2	4	4	T08
17	R3	1	1	T10
7	R3	1	2	T15
10.3	R3	1	3	T08
1.3	R3	1	4	T01
11.3	R3	2	1	T09
12.3	R3	2	2	T16
3	R3	2	3	T07
5.3	R3	2	4	T02
12.3	R3	3	1	T12
8.7	R3	3	2	T13
8	R3	3	3	T06
9.3	R3	3	4	T03
30.3	R3	4	1	T11
22.3	R3	4	2	T14
11	R3	4	3	T05
12.7	R3	4	4	T04
5	R4	1	1	T16
10.3	R4	1	2	T12
5.7	R4	1	3	T08
12.7	R4	1	4	T04
2.7	R4	2	1	T11
6.7	R4	2	2	T15
10.3	R4	2	3	T03
5.7	R4	2	4	T07
1	R4	3	1	T01
10.3	R4	3	2	T05
11.3	R4	3	3	T09
11.7	R4	3	4	T13
11	R4	4	1	T06
19	R4	4	2	T02
20.7	R4	4	3	T14
29.7	R4	4	4	T10
2	R5	1	1	T03
5	R5	1	2	T16
4	R5	1	3	T05
13.7	R5	1	4	T10
9.3	R5	2	1	T06
1.7	R5	2	2	T09
6.3	R5	2	3	T04
12.3	R5	2	4	T15
16.7	R5	3	1	T12
4.3	R5	3	2	T07
18.7	R5	3	3	T14
8.7	R5	3	4	T01
16.7	R5	4	1	T13
30	R5	4	2	T02
25.7	R5	4	3	T11
14	R5	4	4	T08
