rep	soil	fert	calcium	yield
R1	S1	F0	C0	4.91
R1	S1	F0	C1	4.63
R1	S1	F1	C0	4.76
R1	S1	F1	C1	5.04
R1	S1	F2	C0	5.38
R1	S1	F2	C1	6.21
R1	S1	F3	C0	5.6
R1	S1	F3	C1	5.08
R1	S2	F0	C0	4.94
R1	S2	F0	C1	3.98
R1	S2	F1	C0	4.64
R1	S2	F1	C1	5.26
R1	S2	F2	C0	5.28
R1	S2	F2	C1	5.01
R1	S2	F3	C0	5.45
R1	S2	F3	C1	5.62
R1	S3	F0	C0	5.2
R1	S3	F0	C1	4.45
R1	S3	F1	C0	5.05
R1	S3	F1	C1	5.03
R1	S3	F2	C0	5.01
R1	S3	F2	C1	4.63
R1	S3	F3	C0	5.8
R1	S3	F3	C1	5.9
R2	S1	F0	C0	6
R2	S1	F0	C1	5.39
R2	S1	F1	C0	4.95
R2	S1	F1	C1	5.39
R2	S1	F2	C0	6.18
R2	S1	F2	C1	5.94
R2	S1	F3	C0	6.58
R2	S1	F3	C1	6.25
R2	S2	F0	C0	5.86
R2	S2	F0	C1	5.41
R2	S2	F1	C0	5.54
R2	S2	F1	C1	5.41
R2	S2	F2	C0	5.28
R2	S2	F2	C1	6.67
R2	S2	F3	C0	6.65
R2	S2	F3	C1	5.94
R2	S3	F0	C0	5.45
R2	S3	F0	C1	5.12
R2	S3	F1	C0	4.73
R2	S3	F1	C1	4.62
R2	S3	F2	C0	5.06
R2	S3	F2	C1	5.75
R2	S3	F3	C0	6.39
R2	S3	F3	C1	5.62
R3	S1	F0	C0	4.96
R3	S1	F0	C1	5.63
R3	S1	F1	C0	5.47
R3	S1	F1	C1	5.31
R3	S1	F2	C0	6.18
R3	S1	F2	C1	6.31
R3	S1	F3	C0	5.95
R3	S1	F3	C1	6.14
R3	S2	F0	C0	5.71
R3	S2	F0	C1	5.37
R3	S2	F1	C0	6.21
R3	S2	F1	C1	5.83
R3	S2	F2	C0	6.28
R3	S2	F2	C1	6.55
R3	S2	F3	C0	6.39
R3	S2	F3	C1	5.57
R3	S3	F0	C0	4.6
R3	S3	F0	C1	4.9
R3	S3	F1	C0	4.88
R3	S3	F1	C1	4.73
R3	S3	F2	C0	5.89
R3	S3	F2	C1	6.2
R3	S3	F3	C0	5.68
R3	S3	F3	C1	5.72
R4	S1	F0	C0	5.79
R4	S1	F0	C1	5.33
R4	S1	F1	C0	5.13
R4	S1	F1	C1	5.18
R4	S1	F2	C0	5.86
R4	S1	F2	C1	5.98
R4	S1	F3	C0	5.55
R4	S1	F3	C1	4.32
R4	S2	F0	C0	5.61
R4	S2	F0	C1	5.15
R4	S2	F1	C0	4.82
R4	S2	F1	C1	5.06
R4	S2	F2	C0	5.67
R4	S2	F2	C1	5.54
R4	S2	F3	C0	5.19
R4	S2	F3	C1	4.46
R4	S3	F0	C0	5.13
R4	S3	F0	C1	4.9
R4	S3	F1	C0	4.88
R4	S3	F1	C1	5.18
R4	S3	F2	C0	5.45
R4	S3	F2	C1	5.8
R4	S3	F3	C0	5.12
R4	S3	F3	C1	4.42
