env	gen	yield	weight
E04	OP1	21.3	101.3
E05	OP1	30.1	105
E06	OP1	19	90
E07	OP1	36.4	96.6
E11	OP1	24.4	64.7
E14	OP1	NA	NA
E15	OP1	0	0
E20	OP1	8.7	79.2
E21	OP1	18.7	83.3
E27	OP1	17.6	116.8
E40	OP1	82.5	113.5
E41	OP1	93.9	93.9
E42	OP1	15	115.2
E43	OP1	95.8	83.8
E44	OP1	19.8	101
E50	OP1	3.1	45.2
E51	OP1	18.9	146.1
E53	OP1	11.9	185.1
E04	OP2	23.6	119.2
E05	OP2	26.1	128.2
E06	OP2	32.6	123.7
E07	OP2	25.6	124.5
E11	OP2	22	86.6
E14	OP2	7	93.3
E15	OP2	7.1	119.6
E20	OP2	7.1	89.1
E21	OP2	6.4	94.7
E27	OP2	17.7	153.1
E40	OP2	87.1	118.4
E41	OP2	62.7	117.7
E42	OP2	25.7	123.8
E43	OP2	96	117.2
E44	OP2	24.6	150
E50	OP2	4.4	58.5
E51	OP2	15	184.5
E53	OP2	8.6	174.5
E04	OP3	6.3	73.3
E05	OP3	14.5	55.4
E06	OP3	8.4	68.5
E07	OP3	14.3	49.6
E11	OP3	31.7	45.6
E14	OP3	NA	NA
E15	OP3	17	77.7
E20	OP3	1.5	73.2
E21	OP3	1.5	76
E27	OP3	12.2	76.9
E40	OP3	21.2	79.2
E41	OP3	35.8	75.4
E42	OP3	10.6	79.9
E43	OP3	66.6	56.5
E44	OP3	14.5	73.6
E50	OP3	3.3	36.9
E51	OP3	17.9	88.3
E53	OP3	9.6	203.9
E04	OP4	24.4	134.4
E05	OP4	24.1	189.4
E06	OP4	13.4	131
E07	OP4	28.9	135.5
E11	OP4	22.5	112.2
E14	OP4	11.1	141.8
E15	OP4	12.6	178.1
E20	OP4	10.8	100.5
E21	OP4	9.8	110.8
E27	OP4	7.3	215.2
E40	OP4	61.4	181.6
E41	OP4	77.2	182.3
E42	OP4	21	167
E43	OP4	88.1	167
E44	OP4	23.6	146.1
E50	OP4	0.4	48.5
E51	OP4	12.1	205.9
E53	OP4	12.3	229.6
E04	H5	28.8	118.2
E05	H5	28.1	136.4
E06	H5	6.8	105.9
E07	H5	16.9	116
E11	H5	27.7	78.2
E14	H5	8.9	132.3
E15	H5	6.4	115.5
E20	H5	4.8	84.9
E21	H5	13.4	91.5
E27	H5	17	160.3
E40	H5	90.3	117.8
E41	H5	93.2	116.6
E42	H5	19.7	133.8
E43	H5	94.2	115.9
E44	H5	26.6	118.5
E50	H5	1	61.6
E51	H5	19.8	155
E53	H5	10.9	200.6
E04	H6	28.1	119.6
E05	H6	34.7	140.2
E06	H6	23.7	128.7
E07	H6	11	113.6
E11	H6	34.2	124.1
E14	H6	9.8	108.9
E15	H6	10.5	133.1
E20	H6	11.7	80.7
E21	H6	10.1	105.4
E27	H6	18.5	156.9
E40	H6	87.6	128.8
E41	H6	102.9	133.8
E42	H6	33.1	150.1
E43	H6	85.1	137.7
E44	H6	29.1	116.4
E50	H6	2.8	72.9
E51	H6	21.9	170.8
E53	H6	14.3	216.7
E04	H7	32	151.8
E05	H7	33.4	173.7
E06	H7	0.6	44.6
E07	H7	20.5	144.6
E11	H7	22.4	132.9
E14	H7	10.9	152.8
E15	H7	0	0
E20	H7	5.8	97.8
E21	H7	18.9	141.7
E27	H7	18.2	179
E40	H7	95.7	163.8
E41	H7	120.2	156.9
E42	H7	28.7	160.1
E43	H7	75.9	152.1
E44	H7	38	160.9
E50	H7	2.3	66.8
E51	H7	25.4	202.3
E53	H7	12.2	172
E04	H8	26.8	165.1
E05	H8	33.1	204.6
E06	H8	7.3	140.6
E07	H8	18.1	144.3
E11	H8	26.2	143.1
E14	H8	17	153.8
E15	H8	13.1	165.5
E20	H8	10.5	101.9
E21	H8	21.3	126.2
E27	H8	13.3	194.3
E40	H8	90.5	160.9
E41	H8	122.6	159.5
E42	H8	27.9	166
E43	H8	108	181.9
E44	H8	38.4	148.1
E50	H8	1.7	75
E51	H8	20.7	235.5
E53	H8	18.2	199.4
E04	H9	34.6	135.8
E05	H9	29.2	122.3
E06	H9	22.7	141.8
E07	H9	17.2	113.3
E11	H9	32.1	115.3
E14	H9	13.9	118
E15	H9	0	0
E20	H9	12.2	92.1
E21	H9	23.1	118.8
E27	H9	20.3	155.5
E40	H9	90.4	125.9
E41	H9	100.4	112.4
E42	H9	38.5	148.9
E43	H9	95	146.8
E44	H9	26.9	124.7
E50	H9	4.2	72.4
E51	H9	NA	NA
E53	H9	13.6	172.9
E04	OP10	12.3	75
E05	OP10	19.7	80.2
E06	OP10	1.2	50.1
E07	OP10	12.6	76
E11	OP10	27.7	54.2
E14	OP10	5.1	70.5
E15	OP10	14.9	84
E20	OP10	0.4	79.2
E21	OP10	11.7	74.6
E27	OP10	11.8	82.6
E40	OP10	35.4	76.9
E41	OP10	67.7	59
E42	OP10	8.8	84.9
E43	OP10	77.4	59.2
E44	OP10	15.5	87.2
E50	OP10	2.3	36.2
E51	OP10	34.8	209
E53	OP10	16.9	79.3
E04	H11	34.5	132.1
E05	H11	34.1	140.9
E06	H11	0.9	36.8
E07	H11	12.5	97.8
E11	H11	25.2	103.8
E14	H11	7.5	113.5
E15	H11	9.2	130.6
E20	H11	9.5	93.7
E21	H11	15.8	110.5
E27	H11	15.7	174.6
E40	H11	107	137.9
E41	H11	136	128.9
E42	H11	28.8	144.3
E43	H11	101	128.5
E44	H11	41.2	135.4
E50	H11	1.3	52.1
E51	H11	22.8	203.8
E53	H11	12.2	211.7
E04	OP12	11.2	75.2
E05	OP12	19.7	64.7
E06	OP12	24.9	61.2
E07	OP12	13.8	52.9
E11	OP12	24.1	52.6
E14	OP12	NA	NA
E15	OP12	6.1	45
E20	OP12	2	58.6
E21	OP12	8	66
E27	OP12	14.3	63.5
E40	OP12	63.9	70.5
E41	OP12	28.8	65.6
E42	OP12	10	72.7
E43	OP12	54.9	47.1
E44	OP12	9.8	63.9
E50	OP12	3.4	26.9
E51	OP12	19.5	61.6
E53	OP12	15.2	191.8
E04	OP13	11.6	67.3
E05	OP13	24.3	66.9
E06	OP13	30.5	66.7
E07	OP13	8.2	43.4
E11	OP13	15.8	54.3
E14	OP13	59.2	104
E15	OP13	5.7	75.5
E20	OP13	4.3	63
E21	OP13	9.3	75.4
E27	OP13	9.1	67.5
E40	OP13	65.3	79.4
E41	OP13	32.3	75.1
E42	OP13	11.1	79.7
E43	OP13	73.6	63.7
E44	OP13	19.1	76.7
E50	OP13	8.2	42.4
E51	OP13	19.4	68.8
E53	OP13	21	192.8
E04	H14	17.5	136.6
E05	H14	13.4	125.5
E06	H14	9	147.4
E07	H14	14	114.6
E11	H14	29.9	98.9
E14	H14	71.7	153.7
E15	H14	10.8	170
E20	H14	0.3	81.9
E21	H14	14.2	100.6
E27	H14	16.3	170.9
E40	H14	70.8	135.7
E41	H14	138.8	131.7
E42	H14	20.7	162.4
E43	H14	59.8	138.8
E44	H14	16.2	79.2
E50	H14	1.6	39.3
E51	H14	28	231.2
E53	H14	8.9	176.6
E04	OP15	23.5	132.8
E05	OP15	31.8	142.9
E06	OP15	9.1	119
E07	OP15	11.9	78
E11	OP15	33	94.3
E14	OP15	74.5	151.3
E15	OP15	0	0
E20	OP15	5	89.4
E21	OP15	7.7	95.5
E27	OP15	21.5	150.8
E40	OP15	78.9	123.3
E41	OP15	134.6	114.2
E42	OP15	23.5	130.2
E43	OP15	79.1	105.4
E44	OP15	24.2	121.1
E50	OP15	0.8	66.5
E51	OP15	22.7	169.7
E53	OP15	13.1	217.3
