"rep"	"female"	"male"	"length"
"R1"	"F193"	"M17"	4.47
"R2"	"F193"	"M17"	4.32
"R3"	"F193"	"M17"	3.5
"R4"	"F193"	"M17"	3.58
"R1"	"F195"	"M17"	4.38
"R2"	"F195"	"M17"	3.32
"R3"	"F195"	"M17"	3.24
"R4"	"F195"	"M17"	3.55
"R1"	"F197"	"M17"	4.8
"R2"	"F197"	"M17"	4.74
"R3"	"F197"	"M17"	5.14
"R4"	"F197"	"M17"	4.21
"R1"	"F201"	"M17"	3.64
"R2"	"F201"	"M17"	2.86
"R3"	"F201"	"M17"	2.87
"R4"	"F201"	"M17"	2.56
"R1"	"F203"	"M17"	4.05
"R2"	"F203"	"M17"	3.73
"R3"	"F203"	"M17"	4.5
"R4"	"F203"	"M17"	4.33
"R1"	"F204"	"M17"	3.75
"R2"	"F204"	"M17"	2.34
"R3"	"F204"	"M17"	4.11
"R4"	"F204"	"M17"	2.62
"R1"	"F208"	"M17"	4.2
"R2"	"F208"	"M17"	3.31
"R3"	"F208"	"M17"	4.58
"R4"	"F208"	"M17"	3.82
"R1"	"F193"	"M19"	3.41
"R2"	"F193"	"M19"	2.46
"R3"	"F193"	"M19"	3.65
"R4"	"F193"	"M19"	2.97
"R1"	"F195"	"M19"	3.1
"R2"	"F195"	"M19"	2.19
"R3"	"F195"	"M19"	2.69
"R4"	"F195"	"M19"	2.97
"R1"	"F197"	"M19"	2.92
"R2"	"F197"	"M19"	2.32
"R3"	"F197"	"M19"	2.97
"R4"	"F197"	"M19"	2.18
"R1"	"F201"	"M19"	2.92
"R2"	"F201"	"M19"	3.1
"R3"	"F201"	"M19"	2.48
"R4"	"F201"	"M19"	2.52
"R1"	"F203"	"M19"	4.32
"R2"	"F203"	"M19"	4.14
"R3"	"F203"	"M19"	3.59
"R4"	"F203"	"M19"	3.85
"R1"	"F204"	"M19"	2.63
"R2"	"F204"	"M19"	2.36
"R3"	"F204"	"M19"	2.27
"R4"	"F204"	"M19"	2.68
"R1"	"F208"	"M19"	3.23
"R2"	"F208"	"M19"	2.72
"R3"	"F208"	"M19"	2.38
"R4"	"F208"	"M19"	2.45
"R1"	"F193"	"M22"	3.52
"R2"	"F193"	"M22"	4.17
"R3"	"F193"	"M22"	5.44
"R4"	"F193"	"M22"	3.81
"R1"	"F195"	"M22"	3.27
"R2"	"F195"	"M22"	3.43
"R3"	"F195"	"M22"	2.72
"R4"	"F195"	"M22"	3.38
"R1"	"F197"	"M22"	3.76
"R2"	"F197"	"M22"	3.38
"R3"	"F197"	"M22"	3.54
"R4"	"F197"	"M22"	3.38
"R1"	"F201"	"M22"	3.26
"R2"	"F201"	"M22"	4.38
"R3"	"F201"	"M22"	3.62
"R4"	"F201"	"M22"	3.75
"R1"	"F203"	"M22"	3.46
"R2"	"F203"	"M22"	3.21
"R3"	"F203"	"M22"	3.14
"R4"	"F203"	"M22"	3.11
"R1"	"F204"	"M22"	2.83
"R2"	"F204"	"M22"	3.78
"R3"	"F204"	"M22"	3.75
"R4"	"F204"	"M22"	3.29
"R1"	"F208"	"M22"	4.45
"R2"	"F208"	"M22"	3.04
"R3"	"F208"	"M22"	2.89
"R4"	"F208"	"M22"	4.2
"R1"	"F193"	"M58"	3.43
"R2"	"F193"	"M58"	3.36
"R3"	"F193"	"M58"	4.1
"R4"	"F193"	"M58"	3.63
"R1"	"F195"	"M58"	4.32
"R2"	"F195"	"M58"	3.23
"R3"	"F195"	"M58"	3.65
"R4"	"F195"	"M58"	3.08
"R1"	"F197"	"M58"	3.19
"R2"	"F197"	"M58"	3.73
"R3"	"F197"	"M58"	3.15
"R4"	"F197"	"M58"	3.87
"R1"	"F201"	"M58"	3.41
"R2"	"F201"	"M58"	2.96
"R3"	"F201"	"M58"	3.67
"R4"	"F201"	"M58"	2.37
"R1"	"F203"	"M58"	2.95
"R2"	"F203"	"M58"	3.17
"R3"	"F203"	"M58"	2.67
"R4"	"F203"	"M58"	2.84
"R1"	"F204"	"M58"	2.93
"R2"	"F204"	"M58"	3.2
"R3"	"F204"	"M58"	2.52
"R4"	"F204"	"M58"	3.13
"R1"	"F208"	"M58"	3.73
"R2"	"F208"	"M58"	3.31
"R3"	"F208"	"M58"	3.73
"R4"	"F208"	"M58"	3.3
