"row"	"col"	"yield"	"trial"
1	1	796	"T1"
2	1	753	"T1"
3	1	861	"T1"
4	1	944	"T1"
5	1	959	"T1"
6	1	953	"T1"
7	1	918	"T1"
8	1	883	"T1"
9	1	896	"T1"
10	1	858	"T1"
11	1	873	"T1"
12	1	823	"T1"
1	2	852	"T1"
2	2	764	"T1"
3	2	900	"T1"
4	2	896	"T1"
5	2	893	"T1"
6	2	952	"T1"
7	2	878	"T1"
8	2	960	"T1"
9	2	824	"T1"
10	2	862	"T1"
11	2	862	"T1"
12	2	775	"T1"
1	3	820	"T1"
2	3	700	"T1"
3	3	748	"T1"
4	3	884	"T1"
5	3	725	"T1"
6	3	871	"T1"
7	3	792	"T1"
8	3	863	"T1"
9	3	805	"T1"
10	3	740	"T1"
11	3	838	"T1"
12	3	717	"T1"
1	4	884	"T1"
2	4	793	"T1"
3	4	864	"T1"
4	4	888	"T1"
5	4	834	"T1"
6	4	924	"T1"
7	4	852	"T1"
8	4	920	"T1"
9	4	809	"T1"
10	4	868	"T1"
11	4	871	"T1"
12	4	795	"T1"
1	5	859	"T1"
2	5	818	"T1"
3	5	840	"T1"
4	5	873	"T1"
5	5	826	"T1"
6	5	841	"T1"
7	5	876	"T1"
8	5	855	"T1"
9	5	914	"T1"
10	5	862	"T1"
11	5	898	"T1"
12	5	899	"T1"
1	6	803	"T1"
2	6	734	"T1"
3	6	769	"T1"
4	6	707	"T1"
5	6	786	"T1"
6	6	834	"T1"
7	6	860	"T1"
8	6	940	"T1"
9	6	900	"T1"
10	6	875	"T1"
11	6	906	"T1"
12	6	880	"T1"
1	7	796	"T1"
2	7	821	"T1"
3	7	761	"T1"
4	7	714	"T1"
5	7	958	"T1"
6	7	911	"T1"
7	7	952	"T1"
8	7	932	"T1"
9	7	994	"T1"
10	7	873	"T1"
11	7	960	"T1"
12	7	969	"T1"
1	8	840	"T1"
2	8	828	"T1"
3	8	780	"T1"
4	8	864	"T1"
5	8	803	"T1"
6	8	883	"T1"
7	8	881	"T1"
8	8	892	"T1"
9	8	918	"T1"
10	8	870	"T1"
11	8	840	"T1"
12	8	784	"T1"
1	9	876	"T1"
2	9	817	"T1"
3	9	798	"T1"
4	9	784	"T1"
5	9	812	"T1"
6	9	952	"T1"
7	9	859	"T1"
8	9	945	"T1"
9	9	762	"T1"
10	9	782	"T1"
11	9	790	"T1"
12	9	715	"T1"
1	10	934	"T1"
2	10	859	"T1"
3	10	822	"T1"
4	10	845	"T1"
5	10	865	"T1"
6	10	906	"T1"
7	10	891	"T1"
8	10	952	"T1"
9	10	924	"T1"
10	10	846	"T1"
11	10	684	"T1"
12	10	924	"T1"
1	11	780	"T1"
2	11	816	"T1"
3	11	828	"T1"
4	11	864	"T1"
5	11	821	"T1"
6	11	854	"T1"
7	11	840	"T1"
8	11	912	"T1"
9	11	866	"T1"
10	11	945	"T1"
11	11	856	"T1"
12	11	768	"T1"
1	12	766	"T1"
2	12	718	"T1"
3	12	728	"T1"
4	12	810	"T1"
5	12	812	"T1"
6	12	792	"T1"
7	12	908	"T1"
8	12	771	"T1"
9	12	890	"T1"
10	12	800	"T1"
11	12	860	"T1"
12	12	692	"T1"
1	1	485	"T2"
2	1	528	"T2"
3	1	548	"T2"
4	1	522	"T2"
5	1	522	"T2"
6	1	514	"T2"
7	1	441	"T2"
8	1	458	"T2"
9	1	388	"T2"
10	1	376	"T2"
11	1	404	"T2"
12	1	479	"T2"
1	2	452	"T2"
2	2	540	"T2"
3	2	476	"T2"
4	2	428	"T2"
5	2	457	"T2"
6	2	451	"T2"
7	2	482	"T2"
8	2	525	"T2"
9	2	429	"T2"
10	2	468	"T2"
11	2	503	"T2"
12	2	450	"T2"
1	3	446	"T2"
2	3	458	"T2"
3	3	448	"T2"
4	3	420	"T2"
5	3	424	"T2"
6	3	444	"T2"
7	3	477	"T2"
8	3	430	"T2"
9	3	445	"T2"
10	3	472	"T2"
11	3	432	"T2"
12	3	492	"T2"
1	4	427	"T2"
2	4	398	"T2"
3	4	410	"T2"
4	4	435	"T2"
5	4	463	"T2"
6	4	438	"T2"
7	4	496	"T2"
8	4	468	"T2"
9	4	529	"T2"
10	4	457	"T2"
11	4	509	"T2"
12	4	430	"T2"
1	5	420	"T2"
2	5	486	"T2"
3	5	438	"T2"
4	5	477	"T2"
5	5	482	"T2"
6	5	433	"T2"
7	5	509	"T2"
8	5	543	"T2"
9	5	476	"T2"
10	5	504	"T2"
11	5	492	"T2"
12	5	453	"T2"
1	6	447	"T2"
2	6	442	"T2"
3	6	509	"T2"
4	6	483	"T2"
5	6	458	"T2"
6	6	518	"T2"
7	6	503	"T2"
8	6	455	"T2"
9	6	461	"T2"
10	6	416	"T2"
11	6	454	"T2"
12	6	450	"T2"
1	7	402	"T2"
2	7	509	"T2"
3	7	476	"T2"
4	7	472	"T2"
5	7	523	"T2"
6	7	466	"T2"
7	7	462	"T2"
8	7	456	"T2"
9	7	411	"T2"
10	7	481	"T2"
11	7	437	"T2"
12	7	476	"T2"
1	8	514	"T2"
2	8	522	"T2"
3	8	521	"T2"
4	8	572	"T2"
5	8	473	"T2"
6	8	509	"T2"
7	8	534	"T2"
8	8	454	"T2"
9	8	450	"T2"
10	8	448	"T2"
11	8	468	"T2"
12	8	496	"T2"
1	9	482	"T2"
2	9	518	"T2"
3	9	547	"T2"
4	9	536	"T2"
5	9	540	"T2"
6	9	476	"T2"
7	9	551	"T2"
8	9	448	"T2"
9	9	435	"T2"
10	9	501	"T2"
11	9	485	"T2"
12	9	526	"T2"
1	10	528	"T2"
2	10	532	"T2"
3	10	520	"T2"
4	10	553	"T2"
5	10	486	"T2"
6	10	528	"T2"
7	10	452	"T2"
8	10	460	"T2"
9	10	482	"T2"
10	10	449	"T2"
11	10	491	"T2"
12	10	486	"T2"
1	11	519	"T2"
2	11	535	"T2"
3	11	618	"T2"
4	11	566	"T2"
5	11	552	"T2"
6	11	512	"T2"
7	11	541	"T2"
8	11	536	"T2"
9	11	518	"T2"
10	11	505	"T2"
11	11	494	"T2"
12	11	532	"T2"
1	12	534	"T2"
2	12	522	"T2"
3	12	552	"T2"
4	12	555	"T2"
5	12	550	"T2"
6	12	535	"T2"
7	12	513	"T2"
8	12	552	"T2"
9	12	505	"T2"
10	12	532	"T2"
11	12	560	"T2"
12	12	580	"T2"
