"row"	"col"	"yield"	"ears"
1	1	17.5	28
1	10	20.8	35
1	11	15.6	28
1	12	15.7	25
1	13	15.7	26
1	14	17.9	30
1	15	17.6	32
1	16	17.2	31
1	17	14	24
1	18	13.2	22
1	19	14.1	25
1	2	19.1	31
1	20	17.5	30
1	21	14.6	25
1	22	15	26
1	23	17	29
1	24	14.1	23
1	3	15	25
1	4	11	21
1	5	20.6	34
1	6	16.4	27
1	7	18.1	29
1	8	18.5	30
1	9	17	26
10	1	19.7	30
10	10	22.9	39
10	11	18.4	31
10	12	16.4	28
10	13	17.8	28
10	14	20	37
10	15	17.4	28
10	16	20	34
10	17	22.4	39
10	18	18.6	30
10	19	20.6	35
10	2	23.8	37
10	20	23	39
10	21	22.8	38
10	22	18.8	30
10	23	19.4	33
10	24	24	41
10	3	23	36
10	4	17.4	27
10	5	21.6	38
10	6	21.8	37
10	7	20.2	33
10	8	24	39
10	9	21.2	35
11	1	22.8	39
11	10	16.4	31
11	11	12.6	29
11	12	14.2	28
11	13	12.8	23
11	14	19.4	37
11	15	11.6	22
11	16	11.8	25
11	17	15.8	32
11	18	11.9	22
11	19	15.4	30
11	2	18.6	33
11	20	11.4	28
11	21	18.4	36
11	22	15.4	28
11	23	14	27
11	24	11.4	22
11	3	17.4	34
11	4	18.7	37
11	5	13.8	29
11	6	19	39
11	7	10.8	20
11	8	19.8	39
11	9	17.4	32
12	1	19.8	34
12	10	15	23
12	11	14.4	24
12	12	12	20
12	13	15.4	25
12	14	14.6	24
12	15	13.2	22
12	16	12.8	22
12	17	13.6	25
12	18	15.8	29
12	19	16.2	28
12	2	19.2	38
12	20	14.2	27
12	21	15	26
12	22	17.7	32
12	23	20	35
12	24	18.1	30
12	3	14.6	27
12	4	14.5	27
12	5	15.8	35
12	6	13	27
12	7	20.6	34
12	8	17.4	29
12	9	16.2	27
2	1	26.6	45
2	10	20.6	32
2	11	12.4	21
2	12	15	25
2	13	16.8	25
2	14	18.2	30
2	15	16.2	28
2	16	12	20
2	17	17.2	29
2	18	18	31
2	19	11.8	19
2	2	15.8	25
2	20	20.1	39
2	21	17.1	27
2	22	17.4	32
2	23	17.2	29
2	24	17.6	26
2	3	25	40
2	4	23.5	40
2	5	22	36
2	6	17.8	29
2	7	12.2	18
2	8	16	23
2	9	17.4	28
3	1	18.2	30
3	10	17.2	28
3	11	16.6	29
3	12	15.8	27
3	13	18.7	32
3	14	18.3	32
3	15	17.2	28
3	16	17.7	32
3	17	19.6	33
3	18	18.6	33
3	19	17.2	29
3	2	23	38
3	20	16.2	27
3	21	18	23
3	22	18.2	30
3	23	15.8	26
3	24	16.2	27
3	3	22.3	36
3	4	20.4	33
3	5	23.9	34
3	6	18.4	32
3	7	17.6	29
3	8	24.4	31
3	9	17.6	30
4	1	21	35
4	10	18.2	31
4	11	14.4	23
4	12	17.4	27
4	13	16	26
4	14	15.4	26
4	15	15.6	26
4	16	16.8	29
4	17	13.7	24
4	18	14	24
4	19	17.2	29
4	2	19.8	32
4	20	18.8	35
4	21	18.2	31
4	22	18	31
4	23	20.4	30
4	24	19.8	34
4	3	18.4	31
4	4	19.2	32
4	5	19.6	35
4	6	17.6	31
4	7	19	31
4	8	19.4	31
4	9	22.1	37
5	1	20.7	31
5	10	13	27
5	11	18.9	21
5	12	15.8	33
5	13	20.8	25
5	14	13.4	35
5	15	16.2	22
5	16	15	28
5	17	11.8	26
5	18	18.4	22
5	19	15.4	34
5	2	21.6	31
5	20	15.7	25
5	21	18.2	25
5	22	12.6	26
5	23	12.8	22
5	24	22.5	22
5	3	19.8	42
5	4	19.1	33
5	5	14.8	33
5	6	21.3	24
5	7	19.1	38
5	8	16.4	32
5	9	17	24
6	1	22.5	36
6	10	23.2	28
6	11	19.8	40
6	12	14.8	32
6	13	15.6	23
6	14	20.2	23
6	15	16.4	33
6	16	19.2	26
6	17	15.4	31
6	18	19	26
6	19	19	30
6	2	21.4	37
6	20	23.3	32
6	21	18.6	39
6	22	19.2	31
6	23	18	33
6	24	22	30
6	3	20.1	32
6	4	19.8	32
6	5	16.8	41
6	6	23	31
6	7	22.8	38
6	8	14.5	36
6	9	17.6	23
7	1	21.8	36
7	10	18.8	30
7	11	16.8	27
7	12	22.4	36
7	13	16.6	25
7	14	18.8	21
7	15	20.8	34
7	16	19.4	33
7	17	20.7	32
7	18	20.6	34
7	19	16	27
7	2	31.4	35
7	20	19.6	32
7	21	18.4	30
7	22	23.4	38
7	23	15	22
7	24	17.2	26
7	3	19.6	31
7	4	22	34
7	5	23.2	39
7	6	21.8	36
7	7	19	30
7	8	20	34
7	9	21.6	37
8	1	19.6	38
8	10	21.2	26
8	11	19.2	32
8	12	15.2	29
8	13	15.2	25
8	14	17	27
8	15	17.4	28
8	16	17	27
8	17	21.2	33
8	18	13.4	23
8	19	17.4	31
8	2	20.2	33
8	20	21.8	36
8	21	18	29
8	22	17.4	28
8	23	20.2	33
8	24	18.8	29
8	3	19.8	30
8	4	16.8	26
8	5	19.8	35
8	6	20.4	33
8	7	18.2	30
8	8	16.4	26
8	9	22	33
9	1	19.2	35
9	10	17.2	27
9	11	18.8	33
9	12	20.8	33
9	13	16	25
9	14	18	30
9	15	19	32
9	16	20.8	35
9	17	20	35
9	18	18.6	32
9	19	21	30
9	2	21.8	34
9	20	21.2	39
9	21	19	35
9	22	20.9	32
9	23	20.4	39
9	24	22.7	36
9	3	19.8	33
9	4	21.5	34
9	5	22.1	39
9	6	21.4	35
9	7	19.6	32
9	8	22.4	37
9	9	23.8	41
