year	plot	grain	straw
1852	P02	1.92	3.87
1852	P03	0.97	1.78
1852	P05	1.18	2.21
1852	P06	1.45	2.91
1852	P07	1.83	4.27
1852	P08	1.88	4.25
1852	P09	1.74	3.97
1852	P10	1.49	3.14
1852	P11	1.6	3.36
1852	P12	1.68	3.64
1852	P13	1.66	3.65
1852	P14	1.7	4.01
1852	P15	1.67	3.72
1852	P16	1.96	5.21
1852	P17	1.74	4.04
1852	P18	1	1.93
1852	P19	1.77	3.81
1853	P02	1.26	3.78
1853	P03	0.45	1.73
1853	P05	0.67	2.29
1853	P06	1.15	3.12
1853	P07	1.53	4.19
1853	P08	1.55	4.42
1853	P09	0.75	2.61
1853	P10	0.86	2.65
1853	P11	1.17	2.93
1853	P12	1.49	4.13
1853	P13	1.53	4.27
1853	P14	1.5	4.05
1853	P15	1.4	3.99
1853	P16	1.7	5.56
1853	P17	0.59	2.28
1853	P18	1.33	4.02
1853	P19	1.3	3.6
1854	P02	3	4.99
1854	P03	1.61	2.51
1854	P05	1.74	2.82
1854	P06	2.48	4.43
1854	P07	3.3	6.22
1854	P08	3.52	6.87
1854	P09	2.77	4.7
1854	P10	2.66	4.52
1854	P11	3.15	5.7
1854	P12	3.31	6.15
1854	P13	3.23	6.13
1854	P14	3.26	6.15
1854	P15	3.14	5.7
1854	P16	3.66	7.47
1854	P17	3.18	5.7
1854	P18	1.7	2.69
1854	P19	2.99	5.24
1855	P02	2.51	4.31
1855	P03	1.26	2.03
1855	P05	1.29	2.03
1855	P06	2	3.29
1855	P07	2.37	4.52
1855	P08	2.28	4.58
1855	P09	1.98	4.01
1855	P10	1.73	3.24
1855	P11	1.56	3.16
1855	P12	2.3	4.23
1855	P13	2.26	4.13
1855	P14	2.3	4.25
1855	P15	2.37	4.51
1855	P16	2.36	5.34
1855	P17	1.31	2.12
1855	P18	2.41	4.61
1855	P19	2.2	4.32
1856	P02	2.55	4.84
1856	P03	1.37	2.37
1856	P05	1.35	2.32
1856	P06	1.95	3.44
1856	P07	2.55	5.02
1856	P08	2.75	5.76
1856	P09	2.07	3.94
1856	P10	1.81	3.35
1856	P11	2.21	3.9
1856	P12	2.34	4.24
1856	P13	2.27	4.14
1856	P14	2.44	4.66
1856	P15	2.22	4.08
1856	P16	2.73	6.16
1856	P17	2.2	3.94
1856	P18	1.27	2.21
1856	P19	2.31	3.99
1857	P02	2.9	3.72
1857	P03	1.43	1.75
1857	P05	1.64	1.88
1857	P06	2.47	3.09
1857	P07	3.19	4.24
1857	P08	3.47	4.9
1857	P09	2.79	3.84
1857	P10	2.24	2.95
1857	P11	2.71	3.29
1857	P12	3.07	4.05
1857	P13	3.06	4.12
1857	P14	3.07	4.1
1857	P15	3.05	4.18
1857	P16	3.54	5.26
1857	P17	1.81	2.24
1857	P18	2.85	3.82
1857	P19	2.91	3.58
1858	P02	2.82	4.3
1858	P03	1.32	1.89
1858	P05	1.35	1.78
1858	P06	2.06	2.96
1858	P07	2.79	4.52
1858	P08	3	5.23
1858	P09	2.16	3.93
1858	P10	1.8	2.66
1858	P11	2.28	3.26
1858	P12	2.7	4.11
1858	P13	2.68	4.13
1858	P14	2.72	4.17
1858	P15	2.65	4.04
1858	P16	3.04	5.39
1858	P17	2.43	3.63
1858	P18	1.57	2.23
1858	P19	2.44	3.57
1859	P02	2.54	5.39
1859	P03	1.23	2.47
1859	P05	1.43	2.64
1859	P06	2.05	4.26
1859	P07	2.35	5.31
1859	P08	2.28	6.14
1859	P09	1.8	4.97
1859	P10	1.52	3.45
1859	P11	1.86	3.98
1859	P12	2.34	5.21
1859	P13	2.31	5.35
1859	P14	2.31	5.3
1859	P15	2.32	5.47
1859	P16	2.26	6.57
1859	P17	1.35	2.72
1859	P18	2.22	5.15
1859	P19	2.13	4.51
1860	P02	2.09	3.86
1860	P03	0.84	1.67
1860	P05	1.03	1.82
1860	P06	1.42	2.56
1860	P07	1.8	3.44
1860	P08	1.99	4.31
1860	P09	1.69	4.43
1860	P10	1.1	2.56
1860	P11	1.44	2.91
1860	P12	1.81	3.54
1860	P13	1.78	3.38
1860	P14	1.76	3.45
1860	P15	1.75	3.34
1860	P16	2.1	4.66
1860	P17	1.66	3.18
1860	P18	1.06	1.94
1860	P19	1.61	3.07
1861	P02	2.47	3.48
1861	P03	0.89	1.49
1861	P05	1.19	1.74
