"year"	"row"	"col"	"yield"	"sugar"	"purity"
1930	1	1	45.3	14.6	85.4
1930	1	2	54	14.41	84.8
1930	1	3	47.7	13.85	81
1930	1	4	50.8	14.24	84.8
1930	1	5	43.3	14.22	83.6
1930	1	6	51.7	13.18	81.9
1930	1	7	47.4	13.66	82.3
1930	1	8	48.1	14.02	85.5
1930	1	9	53.9	14.14	84.2
1930	1	10	54.8	14.58	86.8
1930	2	1	47.8	14.22	84.6
1930	2	2	54.3	14.58	84.8
1930	2	3	47.2	14.29	86.1
1930	2	4	42.6	13.61	82
1930	2	5	41.7	13.66	82.8
1930	2	6	46.1	14.2	87.6
1930	2	7	45.3	13.76	83.4
1930	2	8	47.8	14.17	84.8
1930	2	9	47.3	14.07	85.8
1930	2	10	51.4	14.22	84.6
1930	3	1	46	14.31	84.7
1930	3	2	49.2	14.52	83
1930	3	3	48.5	14.99	85.7
1930	3	4	47.7	14.09	81.4
1930	3	5	46.1	13.76	83.9
1930	3	6	53.4	14.8	86
1930	3	7	49.3	13.9	84.2
1930	3	8	47.6	13.81	82.2
1930	3	9	54.8	14.51	85.4
1930	3	10	59.8	14.36	85.5
1930	4	1	47.3	14.58	84.3
1930	4	2	43.8	14.19	83
1930	4	3	53.4	14.85	88.4
1930	4	4	59.5	13.68	82.9
1930	4	5	40.8	13.37	81.5
1930	4	6	38.8	13.9	84.8
1930	4	7	47.3	13.97	85.2
1930	4	8	43.6	13.51	80.4
1930	4	9	47.6	14.41	85.8
1930	4	10	45.6	14.1	83.9
1930	5	1	43.7	14.14	86.5
1930	5	2	47.7	13.66	83.8
1930	5	3	50.7	14.4	84.2
1930	5	4	45.1	14.17	84.4
1930	5	5	51.5	13.83	82.3
1930	5	6	49	13.2	83
1930	5	7	42.6	14.22	87.2
1930	5	8	41.9	14.34	84.8
1930	5	9	45.5	14.36	85
1930	5	10	42.7	14.63	86.1
1930	6	1	48.1	14.84	86.3
1930	6	2	48.8	13.87	81.1
1930	6	3	57.7	14.41	85.8
1930	6	4	48.1	13.74	80.8
1930	6	5	44.8	14.41	86.3
1930	6	6	41.8	13.69	86.1
1930	6	7	45.7	13.68	83.9
1930	6	8	48.6	14.26	84.4
1930	6	9	49.3	15.19	88.3
1930	6	10	56.3	14.52	84.9
1930	7	1	45.6	15.38	86.4
1930	7	2	46	14.14	84.2
1930	7	3	42.7	13.44	80.5
1930	7	4	42.8	13.95	84
1930	7	5	51.5	13.35	81.4
1930	7	6	47.7	13.71	84.6
1930	7	7	48.8	13.2	83
1930	7	8	47.1	14.43	85.9
1930	7	9	49.4	15.87	89.2
1930	7	10	49.5	14.6	84.4
1930	8	1	48.7	14.82	84.7
1930	8	2	44.9	14.09	82.4
1930	8	3	46	14.38	84.1
1930	8	4	48.3	14.64	84.6
1930	8	5	39	14.29	85.1
1930	8	6	44.7	14.27	84.9
1930	8	7	48.5	13.97	85.2
1930	8	8	41.6	14.58	85.8
1930	8	9	38.3	14.24	83.3
