"year"	"row"	"col"	"yield"
1933	1	1	93
1933	2	1	96
1933	3	1	92
1933	4	1	112
1933	5	1	46
1933	6	1	82
1933	7	1	42
1933	8	1	69
1933	9	1	76
1933	10	1	92
1933	1	2	81
1933	2	2	62
1933	3	2	77
1933	4	2	89
1933	5	2	60
1933	6	2	66
1933	7	2	68
1933	8	2	64
1933	9	2	62
1933	10	2	60
1933	1	3	84
1933	2	3	75
1933	3	3	87
1933	4	3	97
1933	5	3	74
1933	6	3	58
1933	7	3	56
1933	8	3	65
1933	9	3	66
1933	10	3	65
1933	1	4	91
1933	2	4	76
1933	3	4	84
1933	4	4	87
1933	5	4	62
1933	6	4	52
1933	7	4	44
1933	8	4	53
1933	9	4	61
1933	10	4	53
1933	1	5	88
1933	2	5	90
1933	3	5	70
1933	4	5	85
1933	5	5	53
1933	6	5	61
1933	7	5	51
1933	8	5	55
1933	9	5	56
1933	10	5	66
1933	1	6	66
1933	2	6	88
1933	3	6	77
1933	4	6	77
1933	5	6	62
1933	6	6	53
1933	7	6	61
1933	8	6	50
1933	9	6	61
1933	10	6	62
1933	1	7	66
1933	2	7	68
1933	3	7	67
1933	4	7	83
1933	5	7	76
1933	6	7	64
1933	7	7	78
1933	8	7	48
1933	9	7	55
1933	10	7	58
1933	1	8	78
1933	2	8	66
1933	3	8	85
1933	4	8	85
1933	5	8	71
1933	6	8	67
1933	7	8	61
1933	8	8	56
1933	9	8	52
1933	10	8	53
1934	1	1	48.4
1934	2	1	44.8
1934	3	1	44.4
1934	4	1	48.8
1934	5	1	50.4
1934	6	1	48.4
1934	7	1	59.6
1934	8	1	59.6
1934	9	1	43.6
1934	10	1	54.4
1934	11	1	42.4
1934	12	1	44.4
1934	13	1	33.6
1934	14	1	38.4
1934	15	1	34
1934	16	1	37.6
1934	17	1	43.2
1934	18	1	40.8
1934	19	1	33.2
1934	20	1	48
1934	1	2	41.6
1934	2	2	46
1934	3	2	34.4
1934	4	2	42.8
1934	5	2	38.4
1934	6	2	43.2
1934	7	2	53.6
1934	8	2	45.2
1934	9	2	41.2
1934	10	2	43.6
1934	11	2	42.4
1934	12	2	32.8
1934	13	2	42
1934	14	2	35.2
1934	15	2	41.2
1934	16	2	49.6
1934	17	2	40
1934	18	2	40.8
1934	19	2	29.2
1934	20	2	46.8
1934	1	3	54
1934	2	3	55.2
1934	3	3	46
1934	4	3	44.4
1934	5	3	45.6
1934	6	3	44.4
1934	7	3	50.8
1934	8	3	38.4
1934	9	3	38
1934	10	3	34.8
1934	11	3	44.8
1934	12	3	36.8
1934	13	3	34.8
1934	14	3	33.6
1934	15	3	41.6
1934	16	3	36.8
1934	17	3	40
1934	18	3	48
1934	19	3	40.4
1934	20	3	41.6
1934	1	4	47.6
1934	2	4	45.6
1934	3	4	48
1934	4	4	40.4
1934	5	4	44
1934	6	4	44.4
1934	7	4	42.4
1934	8	4	38.8
1934	9	4	37.6
1934	10	4	43.6
1934	11	4	39.6
1934	12	4	44.8
1934	13	4	41.2
1934	14	4	36.4
1934	15	4	32.8
1934	16	4	40.4
1934	17	4	40.8
1934	18	4	45.6
1934	19	4	40
1934	20	4	46.8
1934	1	5	51.6
1934	2	5	48.4
1934	3	5	40
1934	4	5	41.2
1934	5	5	32.4
1934	6	5	39.2
1934	7	5	39.2
1934	8	5	33.6
1934	9	5	37.6
1934	10	5	39.2
1934	11	5	39.2
1934	12	5	27.2
1934	13	5	32
1934	14	5	34.4
1934	15	5	31.2
1934	16	5	37.2
1934	17	5	42.4
1934	18	5	58.8
1934	19	5	41.2
1934	20	5	50.8
1934	1	6	42.4
1934	2	6	39.6
1934	3	6	36.4
1934	4	6	39.6
1934	5	6	42.4
1934	6	6	33.6
1934	7	6	36.8
1934	8	6	38.8
1934	9	6	34
1934	10	6	36
1934	11	6	30.8
1934	12	6	27.2
1934	13	6	38.4
1934	14	6	30.8
1934	15	6	38.8
1934	16	6	36.8
1934	17	6	37.6
1934	18	6	50
1934	19	6	46.4
1934	20	6	55.2
1934	1	7	48.4
1934	2	7	44.4
1934	3	7	38.8
1934	4	7	41.6
1934	5	7	41.6
1934	6	7	36.4
1934	7	7	43.6
1934	8	7	36.8
1934	9	7	36
1934	10	7	43.2
1934	11	7	35.2
1934	12	7	37.6
1934	13	7	35.2
1934	14	7	34.8
1934	15	7	41.2
1934	16	7	36.4
1934	17	7	44.8
1934	18	7	48.4
1934	19	7	46.8
1934	20	7	50.8
1934	1	8	52.8
1934	2	8	56
1934	3	8	52.8
1934	4	8	54
1934	5	8	44
1934	6	8	42
1934	7	8	43.2
1934	8	8	44.8
1934	9	8	41.2
1934	10	8	48
1934	11	8	46.8
1934	12	8	39.2
1934	13	8	43.6
1934	14	8	39.6
1934	15	8	43.2
1934	16	8	40.8
1934	17	8	45.6
1934	18	8	52.8
1934	19	8	44
1934	20	8	38.8
