"loc"	"row"	"col"	"yield"
"L1"	1	1	2.68
"L1"	2	1	1.6
"L1"	3	1	2
"L1"	4	1	1.6
"L1"	5	1	3.74
"L1"	6	1	2.3
"L1"	7	1	1.94
"L1"	8	1	2.4
"L1"	9	1	2.4
"L1"	10	1	2.98
"L1"	11	1	3.1
"L1"	12	1	2.7
"L1"	13	1	2.8
"L1"	14	1	3.2
"L1"	15	1	2.4
"L1"	16	1	2.6
"L1"	17	1	4.7
"L1"	18	1	2.9
"L1"	19	1	3.6
"L1"	20	1	3.3
"L1"	21	1	4.06
"L1"	22	1	2.4
"L1"	23	1	2.36
"L1"	24	1	1.62
"L1"	25	1	1.7
"L1"	26	1	1.9
"L1"	27	1	2
"L1"	28	1	1.98
"L1"	29	1	1.16
"L1"	30	1	1.4
"L1"	31	1	2.4
"L1"	32	1	2.5
"L1"	33	1	2.1
"L1"	34	1	2.84
"L1"	35	1	2.6
"L1"	36	1	3.4
"L1"	37	1	3
"L1"	38	1	3.5
"L1"	39	1	2.92
"L1"	40	1	3.24
"L1"	41	1	2.34
"L1"	42	1	3.64
"L1"	43	1	1.86
"L1"	44	1	2.68
"L1"	45	1	2.24
"L1"	46	1	2.9
"L1"	47	1	3
"L1"	48	1	3.5
"L1"	49	1	2.74
"L1"	50	1	2.04
"L1"	51	1	2.88
"L1"	52	1	3.3
"L1"	53	1	3.04
"L1"	54	1	3.32
"L1"	55	1	2.7
"L1"	56	1	3.14
"L1"	57	1	4.08
"L1"	58	1	3.5
"L1"	59	1	2.98
"L1"	60	1	3.9
"L1"	61	1	3.6
"L1"	62	1	4.14
"L1"	63	1	3.6
"L1"	1	2	2.8
"L1"	2	2	1.4
"L1"	3	2	1.78
"L1"	4	2	1.8
"L1"	5	2	2.56
"L1"	6	2	2.9
"L1"	7	2	2.64
"L1"	8	2	2.3
"L1"	9	2	2.4
"L1"	10	2	3.2
"L1"	11	2	3.42
"L1"	12	2	2.94
"L1"	13	2	2.9
"L1"	14	2	4.1
"L1"	15	2	3
"L1"	16	2	3.3
"L1"	17	2	2.68
"L1"	18	2	2.14
"L1"	19	2	2
"L1"	20	2	3.4
"L1"	21	2	2.8
"L1"	22	2	2.26
"L1"	23	2	2.24
"L1"	24	2	1.1
"L1"	25	2	1.9
"L1"	26	2	1.8
"L1"	27	2	2.06
"L1"	28	2	1.7
"L1"	29	2	1.22
"L1"	30	2	1.9
"L1"	31	2	2.68
"L1"	32	2	1.6
"L1"	33	2	2.74
"L1"	34	2	2.8
"L1"	35	2	1.78
"L1"	36	2	3
"L1"	37	2	3.1
"L1"	38	2	2.8
"L1"	39	2	3.1
"L1"	40	2	2.9
"L1"	41	2	2.6
"L1"	42	2	3.5
"L1"	43	2	1.3
"L1"	44	2	1.44
"L1"	45	2	1.88
"L1"	46	2	2.12
"L1"	47	2	3.4
"L1"	48	2	1.8
"L1"	49	2	2.28
"L1"	50	2	1.7
"L1"	51	2	2.46
"L1"	52	2	3.1
"L1"	53	2	2.5
