"trial"	"row"	"col"	"yield"
"T1"	1	1	176
"T1"	2	1	235
"T1"	3	1	217
"T1"	4	1	234
"T1"	5	1	239
"T1"	6	1	216
"T1"	7	1	318
"T1"	8	1	190
"T1"	9	1	181
"T1"	10	1	225
"T1"	11	1	266
"T1"	12	1	297
"T1"	13	1	226
"T1"	14	1	283
"T1"	15	1	219
"T1"	16	1	267
"T1"	17	1	265
"T1"	18	1	216
"T1"	19	1	130
"T1"	20	1	148
"T1"	21	1	174
"T1"	22	1	246
"T1"	23	1	198
"T1"	24	1	194
"T1"	25	1	260
"T1"	26	1	245
"T1"	27	1	207
"T1"	28	1	203
"T1"	29	1	260
"T1"	30	1	204
"T1"	31	1	136
"T1"	32	1	243
"T1"	33	1	325
"T1"	34	1	106
"T1"	35	1	222
"T1"	36	1	228
"T1"	37	1	124
"T1"	38	1	288
"T1"	39	1	240
"T1"	40	1	181
"T1"	41	1	231
"T1"	42	1	193
"T1"	43	1	144
"T1"	44	1	208
"T1"	45	1	191
"T1"	46	1	166
"T1"	47	1	216
"T1"	48	1	282
"T1"	49	1	232
"T1"	50	1	284
"T1"	1	2	145
"T1"	2	2	176
"T1"	3	2	96
"T1"	4	2	205
"T1"	5	2	207
"T1"	6	2	212
"T1"	7	2	138
"T1"	8	2	136
"T1"	9	2	145
"T1"	10	2	166
"T1"	11	2	317
"T1"	12	2	143
"T1"	13	2	228
"T1"	14	2	245
"T1"	15	2	167
"T1"	16	2	157
"T1"	17	2	144
"T1"	18	2	190
"T1"	19	2	215
"T1"	20	2	191
"T1"	21	2	212
"T1"	22	2	297
"T1"	23	2	228
"T1"	24	2	213
"T1"	25	2	174
"T1"	26	2	87
"T1"	27	2	154
"T1"	28	2	212
"T1"	29	2	155
"T1"	30	2	160
"T1"	31	2	87
"T1"	32	2	129
"T1"	33	2	251
"T1"	34	2	295
"T1"	35	2	185
"T1"	36	2	235
"T1"	37	2	139
"T1"	38	2	97
"T1"	39	2	194
"T1"	40	2	175
"T1"	41	2	95
"T1"	42	2	105
"T1"	43	2	163
"T1"	44	2	271
"T1"	45	2	207
"T1"	46	2	117
"T1"	47	2	152
"T1"	48	2	148
"T1"	49	2	151
"T1"	50	2	150
"T1"	1	3	141
"T1"	2	3	207
"T1"	3	3	155
"T1"	4	3	211
"T1"	5	3	261
"T1"	6	3	197
"T1"	7	3	295
"T1"	8	3	161
"T1"	9	3	228
"T1"	10	3	300
"T1"	11	3	274
"T1"	12	3	249
"T1"	13	3	211
"T1"	14	3	235
"T1"	15	3	236
"T1"	16	3	140
"T1"	17	3	125
"T1"	18	3	67
"T1"	19	3	273
"T1"	20	3	184
"T1"	21	3	213
"T1"	22	3	278
"T1"	23	3	181
"T1"	24	3	263
"T1"	25	3	228
"T1"	26	3	142
"T1"	27	3	269
"T1"	28	3	287
"T1"	29	3	290
"T1"	30	3	226
"T1"	31	3	228
"T1"	32	3	213
"T1"	33	3	165
"T1"	34	3	208
"T1"	35	3	254
"T1"	36	3	161
"T1"	37	3	242
"T1"	38	3	280
"T1"	39	3	237
"T1"	40	3	185
"T1"	41	3	193
"T1"	42	3	160
"T1"	43	3	204
"T1"	44	3	228
"T1"	45	3	226
"T1"	46	3	128
"T1"	47	3	298
"T1"	48	3	293
"T1"	49	3	267
"T1"	50	3	278
"T1"	1	4	139
"T1"	2	4	138
"T1"	3	4	167
"T1"	4	4	218
"T1"	5	4	158
"T1"	6	4	173
"T1"	7	4	152
"T1"	8	4	191
"T1"	9	4	296
"T1"	10	4	160
"T1"	11	4	163
"T1"	12	4	245
"T1"	13	4	268
"T1"	14	4	252
"T1"	15	4	159
"T1"	16	4	275
"T1"	17	4	185
"T1"	18	4	203
"T1"	19	4	132
"T1"	20	4	234
"T1"	21	4	199
"T1"	22	4	276
"T1"	23	4	242
"T1"	24	4	159
"T1"	25	4	193
"T1"	26	4	241
"T1"	27	4	211
"T1"	28	4	243
"T1"	29	4	176
"T1"	30	4	272
"T1"	31	4	270
"T1"	32	4	352
"T1"	33	4	256
"T1"	34	4	220
"T1"	35	4	277
"T1"	36	4	295
"T1"	37	4	239
"T1"	38	4	273
"T1"	39	4	159
"T1"	40	4	244
"T1"	41	4	250
"T1"	42	4	261
"T1"	43	4	252
"T1"	44	4	185
"T1"	45	4	182
"T1"	46	4	195
"T1"	47	4	280
"T1"	48	4	196
"T1"	49	4	199
"T1"	50	4	183
"T2"	1	1	129
"T2"	2	1	72
"T2"	3	1	124
"T2"	4	1	95
"T2"	5	1	100
"T2"	6	1	63
"T2"	7	1	76
"T2"	8	1	153
"T2"	9	1	88
"T2"	10	1	58
"T2"	11	1	72
"T2"	12	1	178
"T2"	13	1	194
"T2"	14	1	193
"T2"	15	1	205
"T2"	16	1	212
"T2"	17	1	206
"T2"	18	1	171
"T2"	19	1	119
"T2"	20	1	155
"T2"	21	1	155
"T2"	22	1	251
"T2"	23	1	275
"T2"	24	1	278
"T2"	25	1	324
"T2"	26	1	190
"T2"	27	1	134
"T2"	28	1	189
"T2"	29	1	141
"T2"	30	1	180
"T2"	31	1	175
"T2"	32	1	238
"T2"	33	1	272
"T2"	34	1	206
"T2"	35	1	78
"T2"	36	1	58
"T2"	37	1	146
"T2"	38	1	171
"T2"	39	1	321
"T2"	40	1	275
"T2"	41	1	108
"T2"	42	1	53
"T2"	43	1	128
"T2"	44	1	88
"T2"	45	1	206
"T2"	46	1	104
"T2"	47	1	112
"T2"	48	1	52
"T2"	49	1	68
"T2"	50	1	82
"T2"	1	2	203
"T2"	2	2	95
"T2"	3	2	130
"T2"	4	2	94
"T2"	5	2	126
"T2"	6	2	71
"T2"	7	2	136
"T2"	8	2	46
"T2"	9	2	149
"T2"	10	2	116
"T2"	11	2	114
"T2"	12	2	215
"T2"	13	2	175
"T2"	14	2	220
"T2"	15	2	180
"T2"	16	2	234
"T2"	17	2	100
"T2"	18	2	169
"T2"	19	2	228
"T2"	20	2	269
"T2"	21	2	127
"T2"	22	2	122
"T2"	23	2	117
"T2"	24	2	91
"T2"	25	2	128
"T2"	26	2	221
"T2"	27	2	243
"T2"	28	2	295
"T2"	29	2	97
"T2"	30	2	286
"T2"	31	2	265
"T2"	32	2	317
"T2"	33	2	185
"T2"	34	2	194
"T2"	35	2	293
"T2"	36	2	136
"T2"	37	2	344
"T2"	38	2	126
"T2"	39	2	225
"T2"	40	2	333
"T2"	41	2	249
"T2"	42	2	128
"T2"	43	2	225
"T2"	44	2	185
"T2"	45	2	215
"T2"	46	2	171
"T2"	47	2	104
"T2"	48	2	151
"T2"	49	2	117
"T2"	50	2	144
"T2"	1	3	126
"T2"	2	3	71
"T2"	3	3	106
"T2"	4	3	87
"T2"	5	3	73
"T2"	6	3	153
"T2"	7	3	138
"T2"	8	3	92
"T2"	9	3	122
"T2"	10	3	149
"T2"	11	3	142
"T2"	12	3	197
"T2"	13	3	132
"T2"	14	3	131
"T2"	15	3	117
"T2"	16	3	127
"T2"	17	3	183
"T2"	18	3	106
"T2"	19	3	231
"T2"	20	3	110
"T2"	21	3	223
"T2"	22	3	320
"T2"	23	3	209
"T2"	24	3	194
"T2"	25	3	203
"T2"	26	3	240
"T2"	27	3	251
"T2"	28	3	76
"T2"	29	3	108
"T2"	30	3	148
"T2"	31	3	201
"T2"	32	3	204
"T2"	33	3	208
"T2"	34	3	272
"T2"	35	3	120
"T2"	36	3	220
"T2"	37	3	120
"T2"	38	3	148
"T2"	39	3	96
"T2"	40	3	166
"T2"	41	3	128
"T2"	42	3	234
"T2"	43	3	190
"T2"	44	3	317
"T2"	45	3	137
"T2"	46	3	134
"T2"	47	3	289
"T2"	48	3	306
"T2"	49	3	198
"T2"	50	3	127
"T2"	1	4	136
"T2"	2	4	249
"T2"	3	4	88
"T2"	4	4	57
"T2"	5	4	94
"T2"	6	4	93
"T2"	7	4	39
"T2"	8	4	55
"T2"	9	4	96
"T2"	10	4	123
"T2"	11	4	67
"T2"	12	4	106
"T2"	13	4	147
"T2"	14	4	123
"T2"	15	4	145
"T2"	16	4	114
"T2"	17	4	216
"T2"	18	4	250
"T2"	19	4	149
"T2"	20	4	92
"T2"	21	4	102
"T2"	22	4	338
"T2"	23	4	136
"T2"	24	4	175
"T2"	25	4	210
"T2"	26	4	129
"T2"	27	4	171
"T2"	28	4	108
"T2"	29	4	169
"T2"	30	4	142
"T2"	31	4	193
"T2"	32	4	184
"T2"	33	4	128
"T2"	34	4	123
"T2"	35	4	173
"T2"	36	4	169
"T2"	37	4	222
"T2"	38	4	289
"T2"	39	4	230
"T2"	40	4	219
"T2"	41	4	139
"T2"	42	4	173
"T2"	43	4	107
"T2"	44	4	116
"T2"	45	4	222
"T2"	46	4	83
"T2"	47	4	172
"T2"	48	4	209
"T2"	49	4	202
"T2"	50	4	172
"T2"	1	5	141
"T2"	2	5	109
"T2"	3	5	197
"T2"	4	5	97
"T2"	5	5	150
"T2"	6	5	173
"T2"	7	5	74
"T2"	8	5	117
"T2"	9	5	186
"T2"	10	5	136
"T2"	11	5	94
"T2"	12	5	160
"T2"	13	5	137
"T2"	14	5	182
"T2"	15	5	240
"T2"	16	5	258
"T2"	17	5	234
"T2"	18	5	190
"T2"	19	5	163
"T2"	20	5	316
"T2"	21	5	251
"T2"	22	5	317
"T2"	23	5	191
"T2"	24	5	122
"T2"	25	5	211
"T2"	26	5	82
"T2"	27	5	208
"T2"	28	5	168
"T2"	29	5	156
"T2"	30	5	156
"T2"	31	5	220
"T2"	32	5	224
"T2"	33	5	178
"T2"	34	5	197
"T2"	35	5	151
"T2"	36	5	135
"T2"	37	5	201
"T2"	38	5	242
"T2"	39	5	128
"T2"	40	5	113
"T2"	41	5	223
"T2"	42	5	163
"T2"	43	5	189
"T2"	44	5	246
"T2"	45	5	251
"T2"	46	5	172
"T2"	47	5	119
"T2"	48	5	207
"T2"	49	5	136
"T2"	50	5	220
"T2"	1	6	81
"T2"	2	6	47
"T2"	3	6	154
"T2"	4	6	156
"T2"	5	6	163
"T2"	6	6	181
"T2"	7	6	229
"T2"	8	6	106
"T2"	9	6	160
"T2"	10	6	226
"T2"	11	6	253
"T2"	12	6	229
"T2"	13	6	225
"T2"	14	6	208
"T2"	15	6	402
"T2"	16	6	241
"T2"	17	6	212
"T2"	18	6	161
"T2"	19	6	230
"T2"	20	6	192
"T2"	21	6	126
"T2"	22	6	107
"T2"	23	6	153
"T2"	24	6	265
"T2"	25	6	145
"T2"	26	6	253
"T2"	27	6	97
"T2"	28	6	248
"T2"	29	6	189
"T2"	30	6	112
"T2"	31	6	114
"T2"	32	6	216
"T2"	33	6	266
"T2"	34	6	182
"T2"	35	6	135
"T2"	36	6	179
"T2"	37	6	144
"T2"	38	6	149
"T2"	39	6	72
"T2"	40	6	187
"T2"	41	6	56
"T2"	42	6	164
"T2"	43	6	246
"T2"	44	6	211
"T2"	45	6	255
"T2"	46	6	185
"T2"	47	6	191
"T2"	48	6	113
"T2"	49	6	118
"T2"	50	6	163
"T2"	1	7	88
"T2"	2	7	240
"T2"	3	7	160
"T2"	4	7	201
"T2"	5	7	109
"T2"	6	7	324
"T2"	7	7	192
"T2"	8	7	221
"T2"	9	7	311
"T2"	10	7	373
"T2"	11	7	201
"T2"	12	7	192
"T2"	13	7	193
"T2"	14	7	293
"T2"	15	7	339
"T2"	16	7	168
"T2"	17	7	210
"T2"	18	7	204
"T2"	19	7	299
"T2"	20	7	299
"T2"	21	7	155
"T2"	22	7	270
"T2"	23	7	179
"T2"	24	7	208
"T2"	25	7	233
"T2"	26	7	144
"T2"	27	7	115
"T2"	28	7	304
"T2"	29	7	63
"T2"	30	7	131
"T2"	31	7	212
"T2"	32	7	87
"T2"	33	7	135
"T2"	34	7	97
"T2"	35	7	261
"T2"	36	7	259
"T2"	37	7	155
"T2"	38	7	133
"T2"	39	7	375
"T2"	40	7	217
"T2"	41	7	78
"T2"	42	7	203
"T2"	43	7	194
"T2"	44	7	79
"T2"	45	7	285
"T2"	46	7	194
"T2"	47	7	243
"T2"	48	7	189
"T2"	49	7	241
"T2"	50	7	213
"T2"	1	8	144
"T2"	2	8	121
"T2"	3	8	142
"T2"	4	8	284
"T2"	5	8	143
"T2"	6	8	197
"T2"	7	8	275
"T2"	8	8	207
"T2"	9	8	206
"T2"	10	8	319
"T2"	11	8	249
"T2"	12	8	188
"T2"	13	8	157
"T2"	14	8	326
"T2"	15	8	127
"T2"	16	8	244
"T2"	17	8	197
"T2"	18	8	132
"T2"	19	8	220
"T2"	20	8	214
"T2"	21	8	216
"T2"	22	8	116
"T2"	23	8	132
"T2"	24	8	105
"T2"	25	8	196
"T2"	26	8	148
"T2"	27	8	262
"T2"	28	8	170
"T2"	29	8	239
"T2"	30	8	166
"T2"	31	8	97
"T2"	32	8	193
"T2"	33	8	209
"T2"	34	8	111
"T2"	35	8	57
"T2"	36	8	199
"T2"	37	8	187
"T2"	38	8	243
"T2"	39	8	171
"T2"	40	8	122
"T2"	41	8	212
"T2"	42	8	55
"T2"	43	8	178
"T2"	44	8	180
"T2"	45	8	231
"T2"	46	8	172
"T2"	47	8	196
"T2"	48	8	209
"T2"	49	8	172
"T2"	50	8	151
"T2"	1	9	225
"T2"	2	9	167
"T2"	3	9	233
"T2"	4	9	230
"T2"	5	9	170
"T2"	6	9	203
"T2"	7	9	193
"T2"	8	9	245
"T2"	9	9	285
"T2"	10	9	286
"T2"	11	9	154
"T2"	12	9	206
"T2"	13	9	151
"T2"	14	9	158
"T2"	15	9	232
"T2"	16	9	220
"T2"	17	9	188
"T2"	18	9	279
"T2"	19	9	130
"T2"	20	9	237
"T2"	21	9	150
"T2"	22	9	194
"T2"	23	9	293
"T2"	24	9	199
"T2"	25	9	230
"T2"	26	9	76
"T2"	27	9	231
"T2"	28	9	155
"T2"	29	9	211
"T2"	30	9	79
"T2"	31	9	118
"T2"	32	9	194
"T2"	33	9	124
"T2"	34	9	128
"T2"	35	9	59
"T2"	36	9	201
"T2"	37	9	215
"T2"	38	9	289
"T2"	39	9	299
"T2"	40	9	191
"T2"	41	9	119
"T2"	42	9	183
"T2"	43	9	149
"T2"	44	9	213
"T2"	45	9	172
"T2"	46	9	315
"T2"	47	9	124
"T2"	48	9	215
"T2"	49	9	133
"T2"	50	9	137
"T2"	1	10	80
"T2"	2	10	71
"T2"	3	10	20
"T2"	4	10	124
"T2"	5	10	175
"T2"	6	10	171
"T2"	7	10	115
"T2"	8	10	143
"T2"	9	10	175
"T2"	10	10	211
"T2"	11	10	39
"T2"	12	10	177
"T2"	13	10	260
"T2"	14	10	256
"T2"	15	10	186
"T2"	16	10	194
"T2"	17	10	137
"T2"	18	10	201
"T2"	19	10	159
"T2"	20	10	94
"T2"	21	10	170
"T2"	22	10	172
"T2"	23	10	90
"T2"	24	10	265
"T2"	25	10	132
"T2"	26	10	268
"T2"	27	10	193
"T2"	28	10	112
"T2"	29	10	43
"T2"	30	10	80
"T2"	31	10	59
"T2"	32	10	87
"T2"	33	10	74
"T2"	34	10	132
"T2"	35	10	224
"T2"	36	10	180
"T2"	37	10	239
"T2"	38	10	102
"T2"	39	10	247
"T2"	40	10	105
"T2"	41	10	90
"T2"	42	10	195
"T2"	43	10	232
"T2"	44	10	44
"T2"	45	10	135
"T2"	46	10	60
"T2"	47	10	96
"T2"	48	10	21
"T2"	49	10	162
"T2"	50	10	73
