"yield"	"block"	"spacing"	"density"
0	"B1"	4	0.5
1.39	"B1"	4	2
2.4	"B1"	4	8
2.56	"B1"	4	20
2.48	"B1"	4	32
0.81	"B1"	8	0.5
1.66	"B1"	8	2
2.33	"B1"	8	8
2.56	"B1"	8	20
2.53	"B1"	8	32
0.69	"B1"	16	0.5
1.5	"B1"	16	2
2.01	"B1"	16	8
2.56	"B1"	16	20
2.3	"B1"	16	32
0.92	"B1"	32	0.5
1.56	"B1"	32	2
1.95	"B1"	32	8
1.87	"B1"	32	20
2.01	"B1"	32	32
0.69	"B2"	4	0.5
1.79	"B2"	4	2
2.6	"B2"	4	8
2.89	"B2"	4	20
2.76	"B2"	4	32
1.25	"B2"	8	0.5
2.22	"B2"	8	2
2.63	"B2"	8	8
2.69	"B2"	8	20
2.98	"B2"	8	32
0.69	"B2"	16	0.5
1.95	"B2"	16	2
2.37	"B2"	16	8
3.04	"B2"	16	20
2.71	"B2"	16	32
1.01	"B2"	32	0.5
1.95	"B2"	32	2
2.17	"B2"	32	8
2.4	"B2"	32	20
2.48	"B2"	32	32
1.18	"B3"	4	0.5
2.22	"B3"	4	2
2.67	"B3"	4	8
2.71	"B3"	4	20
3.14	"B3"	4	32
1.01	"B3"	8	0.5
2.4	"B3"	8	2
2.98	"B3"	8	8
3.21	"B3"	8	20
2.89	"B3"	8	32
1.75	"B3"	16	0.5
2.63	"B3"	16	2
2.56	"B3"	16	8
2.83	"B3"	16	20
2.8	"B3"	16	32
0.92	"B3"	32	0.5
2.22	"B3"	32	2
2.46	"B3"	32	8
2.53	"B3"	32	20
2.56	"B3"	32	32
