"row"	"column"	"yield"
15	1	256
14	1	198
13	1	218
12	1	227
11	1	243
10	1	235
9	1	198
8	1	233
7	1	194
6	1	229
5	1	241
4	1	211
3	1	178
2	1	219
1	1	258
15	2	260
14	2	234
13	2	202
12	2	243
11	2	269
10	2	267
9	2	261
8	2	273
7	2	244
6	2	263
5	2	243
4	2	236
3	2	189
2	2	235
1	2	270
15	3	281
14	3	264
13	3	234
12	3	278
11	3	292
10	3	298
9	3	251
8	3	265
7	3	216
6	3	234
5	3	228
4	3	263
3	3	214
2	3	246
1	3	283
15	4	267
14	4	196
13	4	221
12	4	227
11	4	273
10	4	275
9	4	236
8	4	251
7	4	229
6	4	248
5	4	225
4	4	236
3	4	192
2	4	217
1	4	256
15	5	221
14	5	251
13	5	217
12	5	286
11	5	304
10	5	283
9	5	254
8	5	232
7	5	238
6	5	263
5	5	232
4	5	228
3	5	210
2	5	241
1	5	268
15	6	274
14	6	252
13	6	294
12	6	264
11	6	301
10	6	249
9	6	268
8	6	284
7	6	260
6	6	259
5	6	247
4	6	240
3	6	233
2	6	240
1	6	292
15	7	272
14	7	216
13	7	280
12	7	258
11	7	277
10	7	285
9	7	268
8	7	268
7	7	256
6	7	257
5	7	230
4	7	214
3	7	218
2	7	239
1	7	275
15	8	278
14	8	275
13	8	253
12	8	240
11	8	285
10	8	289
9	8	304
8	8	283
7	8	284
6	8	248
5	8	240
4	8	244
3	8	224
2	8	236
1	8	304
15	9	274
14	9	285
13	9	268
12	9	236
11	9	262
10	9	291
9	9	276
8	9	302
7	9	266
6	9	230
5	9	235
4	9	217
3	9	246
2	9	255
1	9	310
15	10	256
14	10	241
13	10	239
12	10	240
11	10	242
10	10	286
9	10	267
8	10	279
7	10	263
6	10	240
5	10	222
4	10	232
3	10	231
2	10	273
1	10	292
15	11	271
14	11	276
13	11	264
12	11	243
11	11	261
10	11	297
9	11	272
8	11	307
7	11	300
6	11	253
5	11	247
4	11	244
3	11	235
2	11	260
1	11	292
15	12	259
14	12	250
13	12	236
12	12	224
11	12	224
10	12	292
9	12	286
8	12	280
7	12	290
6	12	271
5	12	227
4	12	222
3	12	230
2	12	230
1	12	298
15	13	218
14	13	216
13	13	226
12	13	229
11	13	203
10	13	236
9	13	265
8	13	248
7	13	255
6	13	224
5	13	207
4	13	183
3	13	223
2	13	222
1	13	296
15	14	259
14	14	190
13	14	218
12	14	210
11	14	213
10	14	243
9	14	226
8	14	266
7	14	257
6	14	255
5	14	224
4	14	194
3	14	223
2	14	232
1	14	286
15	15	250
14	15	229
13	15	247
12	15	231
11	15	236
10	15	264
9	15	260
8	15	271
7	15	265
6	15	271
5	15	248
4	15	227
3	15	234
2	15	260
1	15	294
15	16	242
14	16	183
13	16	231
12	16	227
11	16	204
10	16	245
9	16	215
8	16	222
7	16	224
6	16	224
5	16	205
4	16	200
3	16	199
2	16	254
1	16	283
15	17	252
14	17	206
13	17	221
12	17	218
11	17	203
10	17	236
9	17	236
8	17	243
7	17	206
6	17	248
5	17	234
4	17	198
3	17	203
2	17	232
1	17	300
15	18	233
14	18	240
13	18	209
12	18	202
11	18	246
10	18	273
9	18	236
8	18	268
7	18	221
6	18	269
5	18	256
4	18	219
3	18	216
2	18	254
1	18	245
15	19	236
14	19	232
13	19	173
12	19	228
11	19	214
10	19	251
9	19	199
8	19	261
7	19	231
6	19	240
5	19	239
4	19	216
3	19	200
2	19	262
1	19	306
15	20	257
14	20	214
13	20	197
12	20	216
11	20	214
10	20	236
9	20	219
8	20	238
7	20	238
6	20	236
5	20	170
4	20	224
3	20	184
2	20	227
1	20	262
15	21	266
14	21	230
13	21	212
12	21	224
11	21	217
10	21	230
9	21	243
8	21	252
7	21	266
6	21	235
5	21	187
4	21	205
3	21	213
2	21	228
1	21	312
15	22	246
14	22	213
13	22	234
12	22	191
11	22	198
10	22	221
9	22	186
8	22	225
7	22	253
6	22	222
5	22	193
4	22	178
3	22	195
2	22	208
1	22	252
15	23	246
14	23	245
13	23	266
12	23	221
11	23	228
10	23	239
9	23	234
8	23	224
7	23	234
6	23	222
5	23	205
4	23	197
3	23	202
2	23	248
1	23	297
15	24	258
14	24	218
13	24	232
12	24	205
11	24	232
10	24	244
9	24	209
8	24	223
7	24	239
6	24	227
5	24	215
4	24	200
3	24	154
2	24	240
1	24	266
15	25	238
14	25	226
13	25	227
12	25	182
11	25	164
10	25	218
9	25	218
8	25	230
7	25	221
6	25	216
5	25	207
4	25	186
3	25	145
2	25	242
1	25	251
15	26	252
14	26	251
13	26	227
12	26	212
11	26	185
10	26	210
9	26	227
8	26	241
7	26	249
6	26	236
5	26	213
4	26	198
3	26	205
2	26	234
1	26	248
15	27	253
14	27	276
13	27	264
12	27	264
11	27	260
10	27	249
9	27	284
8	27	296
7	27	290
6	27	234
5	27	212
4	27	222
3	27	232
2	27	255
1	27	286
15	28	247
14	28	240
13	28	209
12	28	184
11	28	225
10	28	208
9	28	240
8	28	242
7	28	223
6	28	204
5	28	164
4	28	201
3	28	193
2	28	193
1	28	220
15	29	275
14	29	217
13	29	249
12	29	238
11	29	239
10	29	257
9	29	281
8	29	285
7	29	264
6	29	240
5	29	227
4	29	217
3	29	210
2	29	232
1	29	259
15	30	256
14	30	211
13	30	234
12	30	235
11	30	218
10	30	279
9	30	270
8	30	248
7	30	262
6	30	239
5	30	211
4	30	211
3	30	211
2	30	224
1	30	257
15	31	254
14	31	228
13	31	232
12	31	213
11	31	205
10	31	210
9	31	245
8	31	241
7	31	220
6	31	227
5	31	194
4	31	202
3	31	190
2	31	226
1	31	244
15	32	234
14	32	251
13	32	209
12	32	219
11	32	210
10	32	226
9	32	227
8	32	204
7	32	231
6	32	208
5	32	169
4	32	214
3	32	197
2	32	218
1	32	241
15	33	270
14	33	270
13	33	255
12	33	252
11	33	216
10	33	239
9	33	274
8	33	246
7	33	287
6	33	262
5	33	241
4	33	264
3	33	240
2	33	245
1	33	284
15	34	269
14	34	254
13	34	218
12	34	206
11	34	183
10	34	223
9	34	204
8	34	251
7	34	224
6	34	241
5	34	209
4	34	214
3	34	206
2	34	224
1	34	230
15	35	260
14	35	270
13	35	238
12	35	266
11	35	238
10	35	273
9	35	236
8	35	276
7	35	257
6	35	268
5	35	246
4	35	253
3	35	245
2	35	257
1	35	264
15	36	256
14	36	256
13	36	253
12	36	231
11	36	236
10	36	232
9	36	228
8	36	274
7	36	248
6	36	272
5	36	272
4	36	258
3	36	247
2	36	276
1	36	266
15	37	249
14	37	238
13	37	246
12	37	243
11	37	225
10	37	188
9	37	254
8	37	274
7	37	251
6	37	249
5	37	252
4	37	245
3	37	240
2	37	263
1	37	262
15	38	244
14	38	239
13	38	261
12	38	254
11	38	230
10	38	270
9	38	212
8	38	259
7	38	252
6	38	221
5	38	252
4	38	263
3	38	224
2	38	229
1	38	252
15	39	276
14	39	266
13	39	275
12	39	274
11	39	254
10	39	182
9	39	275
8	39	286
7	39	280
6	39	251
5	39	252
4	39	266
3	39	279
2	39	266
1	39	270
15	40	265
14	40	237
13	40	234
12	40	240
11	40	248
10	40	261
9	40	249
8	40	285
7	40	285
6	40	242
5	40	224
4	40	250
3	40	232
2	40	253
1	40	242
15	41	300
14	41	270
13	41	238
12	41	261
11	41	252
10	41	256
9	41	289
8	41	296
7	41	320
6	41	266
5	41	239
4	41	263
3	41	248
2	41	271
1	41	258
15	42	256
14	42	259
13	42	228
12	42	246
11	42	240
10	42	237
9	42	211
8	42	265
7	42	291
6	42	255
5	42	250
4	42	277
3	42	231
2	42	267
1	42	251
15	43	255
14	43	233
13	43	235
12	43	235
11	43	237
10	43	258
9	43	245
8	43	268
7	43	285
6	43	244
5	43	216
4	43	240
3	43	237
2	43	231
1	43	261
15	44	264
14	44	256
13	44	243
12	44	225
11	44	239
10	44	234
9	44	232
8	44	260
7	44	309
6	44	274
5	44	238
4	44	239
3	44	193
2	44	213
1	44	228
15	45	289
14	45	290
13	45	264
12	45	226
11	45	262
10	45	292
9	45	280
8	45	284
7	45	323
6	45	285
5	45	257
4	45	249
3	45	222
2	45	238
1	45	257
15	46	292
14	46	267
13	46	232
12	46	202
11	46	240
10	46	222
9	46	232
8	46	196
7	46	298
6	46	267
5	46	207
4	46	238
3	46	233
2	46	242
1	46	248
15	47	306
14	47	283
13	47	271
12	47	226
11	47	272
10	47	276
9	47	281
8	47	273
7	47	319
6	47	293
5	47	253
4	47	267
3	47	236
2	47	266
1	47	281
15	48	295
14	48	306
13	48	262
12	48	248
11	48	258
10	48	249
9	48	280
8	48	271
7	48	329
6	48	294
5	48	271
4	48	265
3	48	246
2	48	272
1	48	255
