"y"	"trt"	"period"	"cow"
70.8	"T1"	"P1"	"C3336"
65.5	"T2"	"P2"	"C3336"
60.1	"T1"	"P3"	"C3336"
96.2	"T1"	"P1"	"C3300"
85.1	"T4"	"P2"	"C3300"
82.3	"T1"	"P3"	"C3300"
74.7	"T1"	"P1"	"C636"
72.3	"T3"	"P2"	"C636"
65.8	"T1"	"P3"	"C636"
75.5	"T2"	"P1"	"C3415"
68.5	"T4"	"P2"	"C3415"
66.3	"T2"	"P3"	"C3415"
69.1	"T2"	"P1"	"C3259"
62.6	"T3"	"P2"	"C3259"
57.7	"T2"	"P3"	"C3259"
76.7	"T2"	"P1"	"C603"
70.5	"T1"	"P2"	"C603"
69	"T2"	"P3"	"C603"
78.4	"T3"	"P1"	"C3497"
71.9	"T1"	"P2"	"C3497"
62	"T3"	"P3"	"C3497"
58.5	"T3"	"P1"	"C3175"
63.8	"T2"	"P2"	"C3175"
50.4	"T3"	"P3"	"C3175"
64.4	"T3"	"P1"	"C617"
66.1	"T4"	"P2"	"C617"
60.4	"T3"	"P3"	"C617"
77.7	"T4"	"P1"	"C3476"
79.1	"T3"	"P2"	"C3476"
73.3	"T4"	"P3"	"C3476"
61.9	"T4"	"P1"	"C3428"
53.3	"T1"	"P2"	"C3428"
36.5	"T4"	"P3"	"C3428"
60.1	"T4"	"P1"	"C632"
56.5	"T2"	"P2"	"C632"
44.9	"T4"	"P3"	"C632"
