yield	block	gen	fung	row	bed
5.89	B1	G54	F1	1	1
6.17	B1	G44	F1	1	2
5.68	B1	G68	F1	1	3
5.85	B1	G59	F1	1	4
5.8	B1	G61	F1	1	5
6.01	B1	G67	F1	1	6
5.89	B1	G45	F1	1	7
4.53	B1	G10	F2	1	8
5.32	B1	G27	F2	1	9
5.36	B1	G60	F2	1	10
5.1	B1	G53	F2	1	11
5.51	B1	G57	F2	1	12
5.15	B1	G58	F2	1	13
5.3	B1	G48	F2	1	14
5.65	B2	G22	F1	1	15
5.38	B2	G45	F1	1	16
5.36	B2	G21	F1	1	17
5.71	B2	G36	F1	1	18
5.83	B2	G27	F1	1	19
5.48	B2	G68	F1	1	20
5.55	B2	G64	F1	1	21
4.83	B2	G27	F2	1	22
4.43	B2	G05	F2	1	23
4.72	B2	G45	F2	1	24
4.85	B2	G43	F2	1	25
5.08	B2	G70	F2	1	26
4.82	B2	G63	F2	1	27
4.73	B2	G55	F2	1	28
5.86	B3	G36	F1	1	29
5.41	B3	G65	F1	1	30
5.58	B3	G33	F1	1	31
5.18	B3	G38	F1	1	32
5.65	B3	G56	F1	1	33
5.39	B3	G44	F1	1	34
5.46	B3	G29	F1	1	35
4.68	B3	G12	F2	1	36
4.71	B3	G09	F2	1	37
4.64	B3	G37	F2	1	38
4.56	B3	G17	F2	1	39
4.62	B3	G10	F2	1	40
4.57	B3	G34	F2	1	41
4.63	B3	G43	F2	1	42
4.88	B4	G41	F2	1	43
4.53	B4	G24	F2	1	44
5.1	B4	G65	F2	1	45
4.96	B4	G11	F2	1	46
5.02	B4	G47	F2	1	47
4.69	B4	G28	F2	1	48
5.11	B4	G12	F2	1	49
5.5	B4	G13	F1	1	50
4.91	B4	G14	F1	1	51
5.47	B4	G22	F1	1	52
5.02	B4	G46	F1	1	53
5.13	B4	G02	F1	1	54
5.38	B4	G67	F1	1	55
5.25	B4	G52	F1	1	56
6.08	B1	G37	F1	2	1
6.23	B1	G23	F1	2	2
6.19	B1	G69	F1	2	3
5.96	B1	G51	F1	2	4
5.74	B1	G15	F1	2	5
5.97	B1	G50	F1	2	6
5.86	B1	G53	F1	2	7
5.67	B1	G33	F2	2	8
5.28	B1	G50	F2	2	9
5.04	B1	G21	F2	2	10
5.44	B1	G07	F2	2	11
5.46	B1	G37	F2	2	12
5.95	B1	G54	F2	2	13
4.67	B1	G01	F2	2	14
5.66	B2	G51	F1	2	15
5.88	B2	G48	F1	2	16
4.4	B2	G04	F1	2	17
