"yield"	"rep"	"parent1"	"parent2"	"cross"
104.86	"R1"	"P1"	"P1"	"P1:P1"
88.66	"R1"	"P1"	"P2"	"P1:P2"
109.76	"R1"	"P1"	"P3"	"P1:P3"
128.1	"R1"	"P1"	"P4"	"P1:P4"
128.36	"R1"	"P1"	"P5"	"P1:P5"
74.4	"R1"	"P1"	"P6"	"P1:P6"
88.7	"R1"	"P2"	"P1"	"P2:P1"
88.02	"R1"	"P2"	"P2"	"P2:P2"
110.16	"R1"	"P2"	"P3"	"P2:P3"
101.26	"R1"	"P2"	"P4"	"P2:P4"
91.52	"R1"	"P2"	"P5"	"P2:P5"
59.06	"R1"	"P2"	"P6"	"P2:P6"
75.28	"R1"	"P3"	"P1"	"P3:P1"
112.48	"R1"	"P3"	"P2"	"P3:P2"
77.94	"R1"	"P3"	"P3"	"P3:P3"
114.44	"R1"	"P3"	"P4"	"P3:P4"
96.88	"R1"	"P3"	"P5"	"P3:P5"
109.86	"R1"	"P3"	"P6"	"P3:P6"
124.26	"R1"	"P4"	"P1"	"P4:P1"
92.18	"R1"	"P4"	"P2"	"P4:P2"
98.08	"R1"	"P4"	"P3"	"P4:P3"
80.82	"R1"	"P4"	"P4"	"P4:P4"
86.2	"R1"	"P4"	"P5"	"P4:P5"
103.14	"R1"	"P4"	"P6"	"P4:P6"
109.74	"R1"	"P5"	"P1"	"P5:P1"
109.94	"R1"	"P5"	"P2"	"P5:P2"
89.56	"R1"	"P5"	"P3"	"P5:P3"
80.96	"R1"	"P5"	"P4"	"P5:P4"
59.96	"R1"	"P5"	"P5"	"P5:P5"
98.46	"R1"	"P5"	"P6"	"P5:P6"
72.92	"R1"	"P6"	"P1"	"P6:P1"
58.56	"R1"	"P6"	"P2"	"P6:P2"
104.18	"R1"	"P6"	"P3"	"P6:P3"
109.44	"R1"	"P6"	"P4"	"P6:P4"
81.58	"R1"	"P6"	"P5"	"P6:P5"
96.44	"R1"	"P6"	"P6"	"P6:P6"
84.32	"R2"	"P1"	"P1"	"P1:P1"
105.04	"R2"	"P1"	"P2"	"P1:P2"
78.22	"R2"	"P1"	"P3"	"P1:P3"
123.84	"R2"	"P1"	"P4"	"P1:P4"
119.84	"R2"	"P1"	"P5"	"P1:P5"
70.86	"R2"	"P1"	"P6"	"P1:P6"
69.1	"R2"	"P2"	"P1"	"P2:P1"
106.52	"R2"	"P2"	"P2"	"P2:P2"
116.26	"R2"	"P2"	"P3"	"P2:P3"
80.22	"R2"	"P2"	"P4"	"P2:P4"
113.96	"R2"	"P2"	"P5"	"P2:P5"
65.52	"R2"	"P2"	"P6"	"P2:P6"
124.74	"R2"	"P3"	"P1"	"P3:P1"
92.76	"R2"	"P3"	"P2"	"P3:P2"
71.34	"R2"	"P3"	"P3"	"P3:P3"
119.96	"R2"	"P3"	"P4"	"P3:P4"
100.86	"R2"	"P3"	"P5"	"P3:P5"
98.16	"R2"	"P3"	"P6"	"P3:P6"
132.48	"R2"	"P4"	"P1"	"P4:P1"
82.16	"R2"	"P4"	"P2"	"P4:P2"
90.94	"R2"	"P4"	"P3"	"P4:P3"
106.54	"R2"	"P4"	"P4"	"P4:P4"
76.36	"R2"	"P4"	"P5"	"P4:P5"
109.66	"R2"	"P4"	"P6"	"P4:P6"
99.56	"R2"	"P5"	"P1"	"P5:P1"
117.52	"R2"	"P5"	"P2"	"P5:P2"
94.56	"R2"	"P5"	"P3"	"P5:P3"
71.98	"R2"	"P5"	"P4"	"P5:P4"
52.48	"R2"	"P5"	"P5"	"P5:P5"
73.1	"R2"	"P5"	"P6"	"P5:P6"
76.28	"R2"	"P6"	"P1"	"P6:P1"
86.72	"R2"	"P6"	"P2"	"P6:P2"
100.24	"R2"	"P6"	"P3"	"P6:P3"
97.74	"R2"	"P6"	"P4"	"P6:P4"
95.52	"R2"	"P6"	"P5"	"P6:P5"
98.82	"R2"	"P6"	"P6"	"P6:P6"
76.92	"R3"	"P1"	"P1"	"P1:P1"
80.8	"R3"	"P1"	"P2"	"P1:P2"
74.52	"R3"	"P1"	"P3"	"P1:P3"
92.56	"R3"	"P1"	"P4"	"P1:P4"
103.24	"R3"	"P1"	"P5"	"P1:P5"
60.94	"R3"	"P1"	"P6"	"P1:P6"
76.8	"R3"	"P2"	"P1"	"P2:P1"
89.52	"R3"	"P2"	"P2"	"P2:P2"
99.76	"R3"	"P2"	"P3"	"P2:P3"
82.84	"R3"	"P2"	"P4"	"P2:P4"
87.26	"R3"	"P2"	"P5"	"P2:P5"
81.62	"R3"	"P2"	"P6"	"P2:P6"
94.56	"R3"	"P3"	"P1"	"P3:P1"
90.62	"R3"	"P3"	"P2"	"P3:P2"
77.52	"R3"	"P3"	"P3"	"P3:P3"
84.76	"R3"	"P3"	"P4"	"P3:P4"
86.88	"R3"	"P3"	"P5"	"P3:P5"
