"row"	"col"	"year"	"yield"
1	1	"1929"	99.3
2	1	"1929"	98.8
3	1	"1929"	82.3
4	1	"1929"	77.8
5	1	"1929"	79.6
6	1	"1929"	75.9
7	1	"1929"	81.1
8	1	"1929"	78.5
9	1	"1929"	68.6
10	1	"1929"	70.7
11	1	"1929"	77
12	1	"1929"	82.6
1	2	"1929"	99.6
2	2	"1929"	77.5
3	2	"1929"	90.3
4	2	"1929"	83.6
5	2	"1929"	82.9
6	2	"1929"	86.5
7	2	"1929"	72.7
8	2	"1929"	78.4
9	2	"1929"	68.9
10	2	"1929"	67
11	2	"1929"	73.7
12	2	"1929"	94.2
1	3	"1929"	106.2
2	3	"1929"	94.5
3	3	"1929"	91.6
4	3	"1929"	88.5
5	3	"1929"	88.2
6	3	"1929"	87.5
7	3	"1929"	81.1
8	3	"1929"	78
9	3	"1929"	79.2
10	3	"1929"	72.7
11	3	"1929"	73.1
12	3	"1929"	88.7
1	4	"1929"	90.2
2	4	"1929"	82.7
3	4	"1929"	85
4	4	"1929"	90.7
5	4	"1929"	81.8
6	4	"1929"	87.8
7	4	"1929"	80
8	4	"1929"	73.1
9	4	"1929"	87.5
10	4	"1929"	75.2
11	4	"1929"	86.8
12	4	"1929"	92.5
1	1	"1931"	78
2	1	"1931"	78
3	1	"1931"	75
4	1	"1931"	75
5	1	"1931"	67
6	1	"1931"	68
7	1	"1931"	72
8	1	"1931"	66
9	1	"1931"	68
10	1	"1931"	70
11	1	"1931"	71
12	1	"1931"	66
1	2	"1931"	83
2	2	"1931"	80
3	2	"1931"	77
4	2	"1931"	70
5	2	"1931"	70
6	2	"1931"	77
7	2	"1931"	70
8	2	"1931"	66
9	2	"1931"	66
10	2	"1931"	56
11	2	"1931"	73
12	2	"1931"	64
1	3	"1931"	78
2	3	"1931"	83
3	3	"1931"	79
4	3	"1931"	86
5	3	"1931"	81
6	3	"1931"	72
7	3	"1931"	77
8	3	"1931"	62
9	3	"1931"	71
10	3	"1931"	67
11	3	"1931"	64
12	3	"1931"	79
1	4	"1931"	84
2	4	"1931"	85
3	4	"1931"	79
4	4	"1931"	73
5	4	"1931"	78
6	4	"1931"	72
7	4	"1931"	80
8	4	"1931"	65
9	4	"1931"	71
10	4	"1931"	66
11	4	"1931"	74
12	4	"1931"	77
