"gen"	"env"	"rep"	"y"
"G01"	"LD"	"R1"	1e-04
"G01"	"LD"	"R2"	1e-04
"G01"	"CM"	"R1"	0.2
"G01"	"CM"	"R2"	0.1
"G01"	"PG"	"R1"	0.01
"G01"	"PG"	"R2"	0.01
"G01"	"GS"	"R1"	1e-04
"G01"	"GS"	"R2"	0.01
"G01"	"PM"	"R1"	1e-04
"G01"	"PM"	"R2"	0.01
"G01"	"SP"	"R1"	1e-04
"G01"	"SP"	"R2"	0.01
"G01"	"JT"	"R1"	1e-04
"G01"	"JT"	"R2"	1e-04
"G01"	"GO"	"R1"	1e-04
"G01"	"GO"	"R2"	1e-04
"G01"	"PL"	"R1"	1e-04
"G01"	"PL"	"R2"	1e-04
"G02"	"LD"	"R1"	1e-04
"G02"	"LD"	"R2"	0.01
"G02"	"CM"	"R1"	0.1
"G02"	"CM"	"R2"	0.2
"G02"	"PG"	"R1"	0.01
"G02"	"PG"	"R2"	0.01
"G02"	"GS"	"R1"	1e-04
"G02"	"GS"	"R2"	1e-04
"G02"	"PM"	"R1"	1e-04
"G02"	"PM"	"R2"	0.01
"G02"	"SP"	"R1"	1e-04
"G02"	"SP"	"R2"	0.01
"G02"	"JT"	"R1"	1e-04
"G02"	"JT"	"R2"	1e-04
"G02"	"GO"	"R1"	1e-04
"G02"	"GO"	"R2"	1e-04
"G02"	"PL"	"R1"	0.01
"G02"	"PL"	"R2"	1e-04
"G03"	"LD"	"R1"	0.01
"G03"	"LD"	"R2"	1e-04
"G03"	"CM"	"R1"	0.2
"G03"	"CM"	"R2"	0.3
"G03"	"PG"	"R1"	0.01
"G03"	"PG"	"R2"	0.01
"G03"	"GS"	"R1"	1e-04
"G03"	"GS"	"R2"	0.01
"G03"	"PM"	"R1"	0.1
"G03"	"PM"	"R2"	0.01
"G03"	"SP"	"R1"	1e-04
"G03"	"SP"	"R2"	1e-04
"G03"	"JT"	"R1"	1e-04
"G03"	"JT"	"R2"	1e-04
"G03"	"GO"	"R1"	1e-04
"G03"	"GO"	"R2"	0.01
"G03"	"PL"	"R1"	1e-04
"G03"	"PL"	"R2"	1e-04
"G04"	"LD"	"R1"	1e-04
"G04"	"LD"	"R2"	0.01
"G04"	"CM"	"R1"	0.1
"G04"	"CM"	"R2"	0.1
"G04"	"PG"	"R1"	0.01
"G04"	"PG"	"R2"	0.1
"G04"	"GS"	"R1"	1e-04
"G04"	"GS"	"R2"	1e-04
"G04"	"PM"	"R1"	1e-04
"G04"	"PM"	"R2"	0.01
"G04"	"SP"	"R1"	1e-04
"G04"	"SP"	"R2"	1e-04
"G04"	"JT"	"R1"	1e-04
"G04"	"JT"	"R2"	1e-04
"G04"	"GO"	"R1"	1e-04
"G04"	"GO"	"R2"	1e-04
"G04"	"PL"	"R1"	1e-04
"G04"	"PL"	"R2"	1e-04
"G34"	"LD"	"R1"	1e-04
"G34"	"LD"	"R2"	0.01
"G34"	"CM"	"R1"	0.1
"G34"	"CM"	"R2"	0.1
"G34"	"PG"	"R1"	0.1
"G34"	"PG"	"R2"	0.01
"G34"	"GS"	"R1"	0.01
"G34"	"GS"	"R2"	0.01
"G34"	"PM"	"R1"	1e-04
"G34"	"PM"	"R2"	0.01
"G34"	"SP"	"R1"	1e-04
"G34"	"SP"	"R2"	1e-04
"G34"	"JT"	"R1"	1e-04
"G34"	"JT"	"R2"	0.01
"G34"	"GO"	"R1"	1e-04
"G34"	"GO"	"R2"	1e-04
"G34"	"PL"	"R1"	1e-04
"G34"	"PL"	"R2"	1e-04
"G14"	"LD"	"R1"	1e-04
"G14"	"LD"	"R2"	1e-04
"G14"	"CM"	"R1"	0.3
"G14"	"CM"	"R2"	0.3
"G14"	"PG"	"R1"	0.1
"G14"	"PG"	"R2"	0.01
"G14"	"GS"	"R1"	1e-04
"G14"	"GS"	"R2"	1e-04
"G14"	"PM"	"R1"	1e-04
"G14"	"PM"	"R2"	0.01
"G14"	"SP"	"R1"	1e-04
"G14"	"SP"	"R2"	1e-04
"G14"	"JT"	"R1"	1e-04
"G14"	"JT"	"R2"	1e-04
"G14"	"GO"	"R1"	1e-04
"G14"	"GO"	"R2"	1e-04
"G14"	"PL"	"R1"	1e-04
"G14"	"PL"	"R2"	1e-04
"G15"	"LD"	"R1"	1e-04
"G15"	"LD"	"R2"	1e-04
"G15"	"CM"	"R1"	0.01
"G15"	"CM"	"R2"	0.1
"G15"	"PG"	"R1"	0.01
"G15"	"PG"	"R2"	0.01
"G15"	"GS"	"R1"	1e-04
"G15"	"GS"	"R2"	0.01
"G15"	"PM"	"R1"	1e-04
"G15"	"PM"	"R2"	0.01
"G15"	"SP"	"R1"	1e-04
"G15"	"SP"	"R2"	1e-04
"G15"	"JT"	"R1"	0
"G15"	"JT"	"R2"	0.01
"G15"	"GO"	"R1"	1e-04
"G15"	"GO"	"R2"	1e-04
"G15"	"PL"	"R1"	1e-04
"G15"	"PL"	"R2"	1e-04
"G16"	"LD"	"R1"	1e-04
"G16"	"LD"	"R2"	1e-04
"G16"	"CM"	"R1"	0.1
"G16"	"CM"	"R2"	0.1
"G16"	"PG"	"R1"	0.01
"G16"	"PG"	"R2"	0.01
"G16"	"GS"	"R1"	1e-04
"G16"	"GS"	"R2"	1e-04
"G16"	"PM"	"R1"	0.01
"G16"	"PM"	"R2"	0.1
"G16"	"SP"	"R1"	1e-04
"G16"	"SP"	"R2"	0.01
"G16"	"JT"	"R1"	0.01
"G16"	"JT"	"R2"	1e-04
"G16"	"GO"	"R1"	1e-04
"G16"	"GO"	"R2"	1e-04
"G16"	"PL"	"R1"	1e-04
"G16"	"PL"	"R2"	0.01
"G17"	"LD"	"R1"	1e-04
"G17"	"LD"	"R2"	1e-04
"G17"	"CM"	"R1"	0.6
"G17"	"CM"	"R2"	0.6
