"row"	"col"	"year"	"yield"
1	1	"1924"	2960
1	2	"1924"	3060
1	3	"1924"	3280
1	4	"1924"	2570
1	5	"1924"	2000
1	6	"1924"	1800
1	7	"1924"	3340
1	8	"1924"	3500
1	9	"1924"	3550
1	10	"1924"	4400
1	11	"1924"	3430
1	12	"1924"	4010
1	13	"1924"	3090
1	14	"1924"	2000
1	15	"1924"	2200
1	16	"1924"	3020
1	17	"1924"	3100
1	18	"1924"	3560
1	19	"1924"	3200
2	1	"1924"	1910
2	2	"1924"	1970
2	3	"1924"	2630
2	4	"1924"	2810
2	5	"1924"	3470
2	6	"1924"	3230
2	7	"1924"	4590
2	8	"1924"	2770
2	9	"1924"	3560
2	10	"1924"	4140
2	11	"1924"	3640
2	12	"1924"	2590
2	13	"1924"	2690
2	14	"1924"	2310
2	15	"1924"	2650
2	16	"1924"	1790
2	17	"1924"	2680
2	18	"1924"	2880
2	19	"1924"	2660
3	1	"1924"	2470
3	2	"1924"	2530
3	3	"1924"	1250
3	4	"1924"	2970
3	5	"1924"	3460
3	6	"1924"	2970
3	7	"1924"	3160
3	8	"1924"	4350
3	9	"1924"	3140
3	10	"1924"	2940
3	11	"1924"	3250
3	12	"1924"	2930
3	13	"1924"	2160
3	14	"1924"	1550
3	15	"1924"	2700
3	16	"1924"	2510
3	17	"1924"	2560
3	18	"1924"	2150
3	19	"1924"	2140
1	1	"1925"	2280
1	2	"1925"	2750
1	3	"1925"	2700
1	4	"1925"	2380
1	5	"1925"	2300
1	6	"1925"	2310
1	7	"1925"	2580
1	8	"1925"	2540
1	9	"1925"	2360
1	10	"1925"	2380
1	11	"1925"	2430
1	12	"1925"	2410
1	13	"1925"	2390
1	14	"1925"	2620
1	15	"1925"	2870
1	16	"1925"	2730
1	17	"1925"	2730
1	18	"1925"	2800
1	19	"1925"	2670
2	1	"1925"	2420
2	2	"1925"	2660
2	3	"1925"	2320
2	4	"1925"	2410
2	5	"1925"	2510
2	6	"1925"	2460
2	7	"1925"	2460
2	8	"1925"	2430
2	9	"1925"	2480
2	10	"1925"	2370
2	11	"1925"	2650
2	12	"1925"	2710
2	13	"1925"	2540
2	14	"1925"	2560
2	15	"1925"	2640
2	16	"1925"	2680
2	17	"1925"	2630
2	18	"1925"	2900
2	19	"1925"	2860
3	1	"1925"	2240
3	2	"1925"	2750
3	3	"1925"	2200
3	4	"1925"	2380
3	5	"1925"	2350
3	6	"1925"	2600
3	7	"1925"	2300
3	8	"1925"	2450
3	9	"1925"	2500
3	10	"1925"	2560
3	11	"1925"	2740
3	12	"1925"	2540
3	13	"1925"	2860
3	14	"1925"	2670
3	15	"1925"	2940
3	16	"1925"	2900
3	17	"1925"	2890
3	18	"1925"	2950
3	19	"1925"	2590
1	1	"1926"	2810
1	2	"1926"	3080
1	3	"1926"	2230
1	4	"1926"	2440
1	5	"1926"	3040
1	6	"1926"	3070
1	7	"1926"	2920
1	8	"1926"	2910
1	9	"1926"	3030
1	10	"1926"	3070
1	11	"1926"	2700
1	12	"1926"	2870
1	13	"1926"	2590
1	14	"1926"	2430
1	15	"1926"	1910
1	16	"1926"	2550
1	17	"1926"	2580
1	18	"1926"	1580
1	19	"1926"	1170
