year	crop	row	col	yield
1930	barley	1	1	880
1930	barley	2	1	715
1930	barley	3	1	970
1930	barley	4	1	410
1930	barley	5	1	585
1930	barley	6	1	630
1930	barley	7	1	680
1930	barley	8	1	855
1930	barley	9	1	1010
1930	barley	10	1	890
1930	barley	11	1	805
1930	barley	12	1	1040
1930	barley	13	1	570
1930	barley	14	1	790
1930	barley	15	1	920
1930	barley	16	1	895
1930	barley	17	1	810
1930	barley	18	1	935
1930	barley	19	1	900
1930	barley	20	1	755
1930	barley	21	1	670
1930	barley	22	1	780
1930	barley	23	1	885
1930	barley	24	1	940
1930	barley	25	1	880
1930	barley	26	1	955
1930	barley	1	2	595
1930	barley	2	2	515
1930	barley	3	2	850
1930	barley	4	2	865
1930	barley	5	2	740
1930	barley	6	2	685
1930	barley	7	2	615
1930	barley	8	2	970
1930	barley	9	2	635
1930	barley	10	2	810
1930	barley	11	2	635
1930	barley	12	2	725
1930	barley	13	2	810
1930	barley	14	2	635
1930	barley	15	2	750
1930	barley	16	2	770
1930	barley	17	2	775
1930	barley	18	2	675
1930	barley	19	2	720
1930	barley	20	2	600
1930	barley	21	2	720
1930	barley	22	2	700
1930	barley	23	2	740
1930	barley	24	2	680
1930	barley	25	2	575
1930	barley	26	2	765
1930	barley	1	3	835
1930	barley	2	3	530
1930	barley	3	3	755
1930	barley	4	3	760
1930	barley	5	3	810
1930	barley	6	3	820
1930	barley	7	3	930
1930	barley	8	3	830
1930	barley	9	3	890
1930	barley	10	3	935
1930	barley	11	3	850
1930	barley	12	3	910
1930	barley	13	3	870
1930	barley	14	3	960
1930	barley	15	3	890
1930	barley	16	3	870
1930	barley	17	3	800
1930	barley	18	3	830
1930	barley	19	3	870
1930	barley	20	3	930
1930	barley	21	3	800
1930	barley	22	3	810
1930	barley	23	3	960
1930	barley	24	3	700
1930	barley	25	3	630
1930	barley	26	3	850
1930	barley	1	4	635
1930	barley	2	4	540
1930	barley	3	4	525
1930	barley	4	4	500
1930	barley	5	4	680
1930	barley	6	4	775
1930	barley	7	4	810
1930	barley	8	4	765
1930	barley	9	4	830
1930	barley	10	4	745
1930	barley	11	4	755
1930	barley	12	4	765
1930	barley	13	4	900
1930	barley	14	4	885
1930	barley	15	4	765
1930	barley	16	4	720
1930	barley	17	4	625
1930	barley	18	4	750
1930	barley	19	4	725
1930	barley	20	4	695
1930	barley	21	4	670
1930	barley	22	4	790
1930	barley	23	4	690
1930	barley	24	4	825
1930	barley	25	4	610
1930	barley	26	4	810
1930	barley	1	5	615
1930	barley	2	5	720
1930	barley	3	5	510
1930	barley	4	5	500
1930	barley	5	5	510
1930	barley	6	5	570
1930	barley	7	5	695
1930	barley	8	5	775
1930	barley	9	5	585
1930	barley	10	5	675
1930	barley	11	5	625
1930	barley	12	5	710
1930	barley	13	5	785
1930	barley	14	5	715
1930	barley	15	5	745
1930	barley	16	5	840
1930	barley	17	5	865
1930	barley	18	5	635
1930	barley	19	5	625
1930	barley	20	5	815
1930	barley	21	5	760
1930	barley	22	5	810
1930	barley	23	5	755
1930	barley	24	5	665
1930	barley	25	5	625
1930	barley	26	5	725
1930	barley	1	6	645
1930	barley	2	6	530
1930	barley	3	6	565
1930	barley	4	6	735
1930	barley	5	6	675
1930	barley	6	6	665
1930	barley	7	6	635
1930	barley	8	6	665
1930	barley	9	6	545
1930	barley	10	6	615
1930	barley	11	6	525
1930	barley	12	6	660
1930	barley	13	6	705
1930	barley	14	6	630
1930	barley	15	6	595
1930	barley	16	6	720
1930	barley	17	6	785
1930	barley	18	6	760
1930	barley	19	6	665
1930	barley	20	6	690
1930	barley	21	6	750
1930	barley	22	6	705
1930	barley	23	6	680
1930	barley	24	6	650
1930	barley	25	6	695
1930	barley	26	6	710
1930	barley	1	7	635
1930	barley	2	7	655
1930	barley	3	7	575
1930	barley	4	7	655
1930	barley	5	7	510
1930	barley	6	7	610
1930	barley	7	7	875
1930	barley	8	7	740
1930	barley	9	7	500
1930	barley	10	7	495
1930	barley	11	7	485
1930	barley	12	7	525
1930	barley	13	7	650
1930	barley	14	7	710
1930	barley	15	7	515
1930	barley	16	7	780
1930	barley	17	7	770
1930	barley	18	7	790
1930	barley	19	7	465
1930	barley	20	7	785
1930	barley	21	7	610
1930	barley	22	7	820
1930	barley	23	7	630
1930	barley	24	7	615
1930	barley	25	7	850
1930	barley	26	7	920
1930	barley	1	8	730
1930	barley	2	8	480
1930	barley	3	8	570
1930	barley	4	8	465
1930	barley	5	8	580
1930	barley	6	8	705
1930	barley	7	8	750
1930	barley	8	8	900
1930	barley	9	8	615
1930	barley	10	8	720
1930	barley	11	8	795
1930	barley	12	8	750
1930	barley	13	8	745
1930	barley	14	8	955
1930	barley	15	8	1030
1930	barley	16	8	805
1930	barley	17	8	630
1930	barley	18	8	720
1930	barley	19	8	660
1930	barley	20	8	650
1930	barley	21	8	610
1930	barley	22	8	850
1930	barley	23	8	635
1930	barley	24	8	700
1930	barley	25	8	775
1930	barley	26	8	730
1930	barley	1	9	610
1930	barley	2	9	470
1930	barley	3	9	535
1930	barley	4	9	380
1930	barley	5	9	280
1930	barley	6	9	480
1930	barley	7	9	540
1930	barley	8	9	650
1930	barley	9	9	630
1930	barley	10	9	525
1930	barley	11	9	470
1930	barley	12	9	700
1930	barley	13	9	710
1930	barley	14	9	730
1930	barley	15	9	785
1930	barley	16	9	650
1930	barley	17	9	630
1930	barley	18	9	700
1930	barley	19	9	690
1930	barley	20	9	535
1930	barley	21	9	650
1930	barley	22	9	675
1930	barley	23	9	850
1930	barley	24	9	675
1930	barley	25	9	730
1930	barley	26	9	710
1930	barley	1	10	455
1930	barley	2	10	470
1930	barley	3	10	690
1930	barley	4	10	610
1930	barley	5	10	430
1930	barley	6	10	580
1930	barley	7	10	705
1930	barley	8	10	675
1930	barley	9	10	510
1930	barley	10	10	495
1930	barley	11	10	320
1930	barley	12	10	610
1930	barley	13	10	790
1930	barley	14	10	685
1930	barley	15	10	670
1930	barley	16	10	610
1930	barley	17	10	785
1930	barley	18	10	790
1930	barley	19	10	670
1930	barley	20	10	430
1930	barley	21	10	415
1930	barley	22	10	590
1930	barley	23	10	590
1930	barley	24	10	460
1930	barley	25	10	425
1930	barley	26	10	680
1930	barley	1	11	535
1930	barley	2	11	490
1930	barley	3	11	600
1930	barley	4	11	565
1930	barley	5	11	490
1930	barley	6	11	525
1930	barley	7	11	640
1930	barley	8	11	615
1930	barley	9	11	475
1930	barley	10	11	540
1930	barley	11	11	570
1930	barley	12	11	580
1930	barley	13	11	580
1930	barley	14	11	670
1930	barley	15	11	440
1930	barley	16	11	610
1930	barley	17	11	705
1930	barley	18	11	525
1930	barley	19	11	620
1930	barley	20	11	460
1930	barley	21	11	630
1930	barley	22	11	550
1930	barley	23	11	490
1930	barley	24	11	450
1930	barley	25	11	380
1930	barley	26	11	600
1930	barley	1	12	525
1930	barley	2	12	565
1930	barley	3	12	685
1930	barley	4	12	625
1930	barley	5	12	670
1930	barley	6	12	555
1930	barley	7	12	490
1930	barley	8	12	545
1930	barley	9	12	520
1930	barley	10	12	300
1930	barley	11	12	460
1930	barley	12	12	565
1930	barley	13	12	580
1930	barley	14	12	625
1930	barley	15	12	375
1930	barley	16	12	800
1930	barley	17	12	565
1930	barley	18	12	605
