"row"	"col"	"rep"	"gen"	"yield"
1	1	1	"Ck1"	16
2	1	1	"G01"	14.5
3	1	1	"G02"	14
4	1	1	"G03"	13.7
5	1	1	"G04"	11.7
6	1	1	"Ck2"	16
7	1	1	"G05"	17.5
8	1	1	"G06"	11.9
9	1	1	"G07"	12.9
10	1	1	"G08"	14.3
11	1	1	"Ck3"	15
12	1	1	"G09"	11.8
13	1	1	"G10"	12.6
14	1	1	"G11"	9
15	1	1	"G12"	11.3
16	1	1	"Ck3"	11.1
17	1	1	"G13"	12.8
18	1	1	"G14"	10.1
19	1	1	"G15"	13.1
20	1	1	"G16"	8.2
21	1	1	"Ck4"	11.1
22	1	1	"G17"	7.3
23	1	1	"G18"	7.3
24	1	1	"G19"	4.1
25	1	1	"G20"	6
26	1	2	"Ck1"	6
27	1	2	"G01"	6.9
28	1	2	"G02"	5.2
29	1	2	"G03"	8.8
30	1	2	"G04"	6.4
31	1	2	"Ck2"	7
32	1	2	"G05"	7
33	1	2	"G06"	5.2
34	1	2	"G07"	5.7
35	1	2	"G08"	6.2
36	1	2	"Ck3"	7.8
37	1	2	"G09"	6
38	1	2	"G10"	11.9
1	2	2	"G11"	12.7
2	2	2	"G12"	17.9
3	2	2	"Ck3"	8
4	2	2	"G13"	15.8
5	2	2	"G14"	13.3
6	2	2	"G15"	16.1
7	2	2	"G16"	10
8	2	2	"Ck4"	14
9	2	2	"G17"	10.4
10	2	2	"G18"	12.2
11	2	2	"G19"	13
12	2	2	"G20"	11.5
13	2	3	"Ck1"	11
14	2	3	"G01"	11.3
15	2	3	"G02"	7.8
16	2	3	"G03"	8.7
17	2	3	"G04"	9
18	2	3	"Ck2"	12
19	2	3	"G05"	10.2
20	2	3	"G06"	9.5
21	2	3	"G07"	7.6
22	2	3	"G08"	7.9
23	2	3	"Ck3"	8
24	2	3	"G09"	7.3
25	2	3	"G10"	7.1
26	2	3	"G11"	9.2
27	2	3	"G12"	8.4
28	2	3	"Ck3"	10
29	2	3	"G13"	8.1
30	2	3	"G14"	8.5
31	2	3	"G15"	8.6
32	2	3	"G16"	7.8
33	2	3	"Ck4"	10
34	2	3	"G17"	8.4
35	2	3	"G18"	9.3
36	2	3	"G19"	9
37	2	3	"G20"	9.7
38	2	4	"Ck1"	12
1	3	4	"G01"	10.3
2	3	4	"G02"	10.9
3	3	4	"G03"	8
4	3	4	"G04"	10.2
5	3	4	"Ck2"	12
6	3	4	"G05"	11.2
7	3	4	"G06"	11.9
8	3	4	"G07"	8
9	3	4	"G08"	8.7
10	3	4	"Ck3"	12
11	3	4	"G09"	10
12	3	4	"G10"	10.9
13	3	4	"G11"	9.4
14	3	4	"G12"	11
15	3	4	"Ck3"	7.8
16	3	4	"G13"	9.5
17	3	4	"G14"	8.5
18	3	4	"G15"	8.9
19	3	4	"G16"	5.4
20	3	4	"Ck4"	7
21	3	4	"G17"	5.3
22	3	4	"G18"	8.4
23	3	4	"G19"	8.9
24	3	4	"G20"	10
25	3	5	"Ck1"	8
26	3	5	"G01"	7.4
27	3	5	"G02"	7.7
28	3	5	"G03"	6.1
29	3	5	"G04"	5.9
30	3	5	"Ck2"	6
31	3	5	"G05"	3
32	3	5	"G06"	6.6
33	3	5	"G07"	5.1
34	3	5	"G08"	6.2
35	3	5	"Ck3"	9
36	3	5	"G09"	10.3
37	3	5	"G10"	10.2
38	3	5	"G11"	9.4
1	4	5	"G12"	12.4
2	4	5	"Ck3"	13
3	4	5	"G13"	10.8
4	4	5	"G14"	9
5	4	5	"G15"	10.4
6	4	5	"G16"	9.8
7	4	5	"Ck4"	11
8	4	5	"G17"	9.4
9	4	5	"G18"	8.3
10	4	5	"G19"	9.9
11	4	5	"G20"	7.4
12	4	6	"Ck1"	9
13	4	6	"G01"	9.4
14	4	6	"G02"	8.1
15	4	6	"G03"	8.5
16	4	6	"G04"	11.3
17	4	6	"Ck2"	10
18	4	6	"G05"	7.2
19	4	6	"G06"	9.1
20	4	6	"G07"	10
21	4	6	"G08"	7.1
22	4	6	"Ck3"	8
23	4	6	"G09"	10
24	4	6	"G10"	8.1
25	4	6	"G11"	6.9
26	4	6	"G12"	9.4
27	4	6	"Ck3"	8.9
28	4	6	"G13"	8.2
29	4	6	"G14"	8.2
30	4	6	"G15"	7.3
31	4	6	"G16"	4.9
32	4	6	"Ck4"	5
33	4	6	"G17"	6.4
34	4	6	"G18"	6.9
35	4	6	"G19"	7.1
36	4	6	"G20"	6.5
37	4	7	"Ck1"	9
38	4	7	"G01"	11.3
1	5	7	"G02"	8.4
2	5	7	"G03"	10.3
3	5	7	"G04"	8.8
4	5	7	"Ck2"	11
5	5	7	"G05"	8.1
6	5	7	"G06"	8.5
7	5	7	"G07"	9
8	5	7	"G08"	9
9	5	7	"Ck3"	9
10	5	7	"G09"	10.3
11	5	7	"G10"	10.7
12	5	7	"G11"	10.7
13	5	7	"G12"	11.3
14	5	7	"Ck3"	11
15	5	7	"G13"	8.5
16	5	7	"G14"	8.7
17	5	7	"G15"	10.1
18	5	7	"G16"	6.2
19	5	7	"Ck4"	10
20	5	7	"G17"	6.6
21	5	7	"G18"	8.4
22	5	7	"G19"	10.4
23	5	7	"G20"	7.8
24	5	8	"Ck1"	10
25	5	8	"G01"	7.9
26	5	8	"G02"	7.5
27	5	8	"G03"	9
28	5	8	"G04"	6.3
29	5	8	"Ck2"	8
30	5	8	"G05"	13.2
31	5	8	"G06"	6.8
32	5	8	"G07"	8.1
33	5	8	"G08"	7.9
34	5	8	"Ck3"	9
35	5	8	"G09"	10.3
36	5	8	"G10"	9
37	5	8	"G11"	6.2
38	5	8	"G12"	10.6
1	6	8	"Ck3"	7.8
2	6	8	"G13"	9.6
3	6	8	"G14"	7.7
4	6	8	"G15"	8.8
5	6	8	"G16"	8
6	6	8	"Ck4"	9
7	6	8	"G17"	6.8
8	6	8	"G18"	7.5
9	6	8	"G19"	7.2
10	6	8	"G20"	5.5
11	6	9	"Ck1"	7
12	6	9	"G01"	7
13	6	9	"G02"	6
14	6	9	"G03"	8.1
15	6	9	"G04"	6.7
16	6	9	"Ck2"	6
17	6	9	"G05"	5.5
18	6	9	"G06"	2.5
19	6	9	"G07"	5.6
20	6	9	"G08"	7.2
21	6	9	"Ck3"	8
22	6	9	"G09"	7.5
23	6	9	"G10"	9.1
24	6	9	"G11"	6
25	6	9	"G12"	7.7
26	6	9	"Ck3"	7
27	6	9	"G13"	7.5
28	6	9	"G14"	8.3
29	6	9	"G15"	6.7
30	6	9	"G16"	6
31	6	9	"Ck4"	7
32	6	9	"G17"	9
33	6	9	"G18"	8.3
34	6	9	"G19"	7
35	6	9	"G20"	4.5
36	6	10	"Ck1"	7
37	6	10	"G01"	4.5
38	6	10	"G02"	11.9
1	7	10	"G03"	9.5
2	7	10	"G04"	8.8
3	7	10	"Ck2"	9
4	7	10	"G05"	8.5
5	7	10	"G06"	5.1
6	7	10	"G07"	7.3
7	7	10	"G08"	6
8	7	10	"Ck3"	6
9	7	10	"G09"	5.8
10	7	10	"G10"	6.5
11	7	10	"G11"	3
12	7	10	"G12"	5.2
13	7	10	"Ck3"	7
14	7	10	"G13"	6.7
15	7	10	"G14"	4.7
16	7	10	"G15"	5.5
17	7	10	"G16"	3.8
18	7	10	"Ck4"	5
19	7	10	"G17"	5.1
20	7	10	"G18"	6.5
21	7	10	"G19"	6.7
22	7	10	"G20"	5.7
23	7	11	"Ck1"	8
24	7	11	"G01"	7.1
25	7	11	"G02"	5.8
26	7	11	"G03"	7.5
27	7	11	"G04"	6.6
28	7	11	"Ck2"	7
29	7	11	"G05"	6.6
30	7	11	"G06"	5.6
31	7	11	"G07"	5
32	7	11	"G08"	4.9
33	7	11	"Ck3"	7
34	7	11	"G09"	6.8
35	7	11	"G10"	7.7
36	7	11	"G11"	5.1
37	7	11	"G12"	10
38	7	11	"Ck3"	13
1	8	11	"G13"	10.2
2	8	11	"G14"	12.3
3	8	11	"G15"	11.9
4	8	11	"G16"	8.1
5	8	11	"Ck4"	8
6	8	11	"G17"	6.8
7	8	11	"G18"	6.4
8	8	11	"G19"	6.3
9	8	11	"G20"	6.2
10	8	12	"Ck1"	5
11	8	12	"G01"	7.5
12	8	12	"G02"	6.9
