county	crop	animal	area
adams	130743	118514	563.52733350559
antelope	147408	192425	859.21380473453
arthur	NA	NA	706.532084879684
banner	12994	54281	788.929071644735
blaine	3355	25321	711.378233360828
boone	105018	195196	661.368671016812
boxbutte	96369	92419	1071.39897966173
boyd	11410	35479	563.749154331732
brown	20059	144938	1235.6548677511
buffalo	150954	108720	987.940443932539
burt	92177	53696	506.426430252375
butler	121187	61387	612.583802926007
cass	88160	9992	582.064962420746
cedar	116051	151975	744.468746106578
chase	125240	63829	901.411314967303
cherry	13908	128588	5988.98633679989
cheyenne	67402	84482	1155.58927237527
clay	129318	132332	597.959979861173
colfax	76080	174697	431.78235289029
cuming	124112	732501	562.018491820199
custer	195716	318054	2567.68550718899
dakota	55253	8178	262.958508576206
dawes	11550	34286	1418.39144613263
dawson	151365	437181	1031.36534667575
deuel	NA	NA	424.122641373935
dixon	56698	86610	507.491390056694
dodge	129409	120988	524.575473831852
douglas	43844	2497	345.279920703131
dundy	73973	71658	931.145895018824
fillmore	151911	71863	596.961524291721
franklin	60559	17735	575.77403145154
frontier	54163	43786	951.924282107664
furnas	66781	75166	707.174788136028
gage	108486	65319	815.571711915488
garden	29149	51987	1744.16257521315
garfield	8017	53101	580.745903877014
gosper	54338	19706	456.597633488809
grant	103	16522	780.973376036912
greeley	40191	71361	569.935406079087
hall	117623	111317	537.02110014136
hamilton	155747	79746	534.824287254695
harlan	79575	54772	592.48689153796
hayes	52821	62648	713.62310152076
hitchcock	38032	20724	706.722644703015
holt	184957	188666	2415.89934119285
hooker	82	10892	707.246008487213
howard	54323	91121	558.354435301401
jefferson	77938	53760	568.249337021812
johnson	25015	18981	355.920946306308
kearney	134540	129742	506.693404756321
keith	82043	60087	1103.83351872643
keyapaha	9719	38736	752.487690472229
kimball	28732	7056	970.791264097263
knox	64420	162126	1182.61387510853
lancaster	98824	27085	828.485766638994
lincoln	196778	235090	2608.81212765201
logan	13927	17500	567.184339427587
loup	3229	22867	570.141709272236
mcpherson	968	23006	879.476156323244
madison	93642	126906	564.867156007007
merrick	95055	102945	517.200726912133
morrill	62453	182958	1440.20888441521
nance	52134	47189	460.883168516048
nemaha	59564	12569	425.130985119877
nuckolls	67409	40645	556.700108770927
otoe	80189	23411	627.20612870944
pawnee	33342	13661	409.663415218135
perkins	111127	24388	900.055118237227
phelps	144690	325531	530.831684058332
pierce	84316	94621	589.064930126183
platte	142820	270309	671.244522700768
polk	99459	155280	460.078651112591
redwillow	67869	98137	736.709173509185
richardson	66406	31508	577.887179491977
rock	20214	56943	1014.22802887238
saline	91503	25283	592.9210160253
sarpy	35126	32978	237.190364245346
saunders	136360	94470	760.861518133095
scottsbluff	66236	148273	747.563176818092
seward	118078	103868	595.161347949352
sheridan	30655	63810	2432.94472422946
sherman	41988	31225	575.12776794524
sioux	13637	95293	2101.73990786282
stanton	55775	78903	425.185596325118
thayer	101509	63798	547.367719400464
thomas	NA	NA	709.887096217893
thurston	60364	93378	392.915694060771
valley	48404	89839	592.40422695476
washington	65452	65983	410.374422102418
wayne	88237	89675	461.944090701818
webster	52865	88080	542.586243507293
wheeler	16001	180358	570.161404999777
york	165893	112543	578.241009396809
