gen	maturity	year	loc	yield
HaiHe	122	2002	BS	13.29
HaiHe	122	2003	BS	12.28
Tun004	122	2002	BS	11.66
Tun004	122	2003	BS	9.09
ND84	123	2002	BS	11.94
ND84	123	2003	BS	7.46
R313	128	2002	BS	9.57
R313	128	2003	BS	8.83
R314	128	2002	BS	9.84
R314	128	2003	BS	8.06
YY196	125	2002	BS	12.22
YY196	125	2003	BS	8.35
YR1	126	2002	BS	12.8
YR1	126	2003	BS	9.53
SB21-3	121	2002	BS	13.62
SB21-3	121	2003	BS	8.38
QC3	121	2002	BS	11.15
QC3	121	2003	BS	7.25
5307	122	2002	BS	11.72
5307	122	2003	BS	8.25
LD10	123	2002	BS	14.08
LD10	123	2003	BS	10.73
ZZY6	124	2002	BS	11.14
ZZY6	124	2003	BS	8.68
XHD892ck	126	2002	BS	10.83
XHD892ck	126	2003	BS	7.42
HaiHe	122	2002	CX	13.41
HaiHe	122	2003	CX	12.73
Tun004	122	2002	CX	12.15
Tun004	122	2003	CX	12.18
ND84	123	2002	CX	12.08
ND84	123	2003	CX	12.94
R313	128	2002	CX	9.98
R313	128	2003	CX	9.2
R314	128	2002	CX	10.65
R314	128	2003	CX	11.28
YY196	125	2002	CX	9.48
YY196	125	2003	CX	10.56
YR1	126	2002	CX	12.68
YR1	126	2003	CX	10.67
SB21-3	121	2002	CX	11.83
SB21-3	121	2003	CX	11.15
QC3	121	2002	CX	10.33
QC3	121	2003	CX	9.4
5307	122	2002	CX	9.68
5307	122	2003	CX	10
LD10	123	2002	CX	12.32
LD10	123	2003	CX	12.28
ZZY6	124	2002	CX	11.92
ZZY6	124	2003	CX	11.6
XHD892ck	126	2002	CX	10.73
XHD892ck	126	2003	CX	10.12
HaiHe	122	2002	KM	13.97
HaiHe	122	2003	KM	15.94
Tun004	122	2002	KM	11.73
Tun004	122	2003	KM	14.11
ND84	123	2002	KM	11.53
ND84	123	2003	KM	14.51
R313	128	2002	KM	11.67
R313	128	2003	KM	14.22
R314	128	2002	KM	12.87
R314	128	2003	KM	14.89
YY196	125	2002	KM	12.6
YY196	125	2003	KM	14.21
YR1	126	2002	KM	13.63
YR1	126	2003	KM	16.04
SB21-3	121	2002	KM	11.6
SB21-3	121	2003	KM	13.51
QC3	121	2002	KM	10.27
QC3	121	2003	KM	12.34
5307	122	2002	KM	11.33
5307	122	2003	KM	12.72
LD10	123	2002	KM	13.5
LD10	123	2003	KM	15.09
ZZY6	124	2002	KM	11.53
ZZY6	124	2003	KM	14.36
XHD892ck	126	2002	KM	11.47
XHD892ck	126	2003	KM	13.38
HaiHe	122	2002	LJ	11.96
HaiHe	122	2003	LJ	11.65
Tun004	122	2002	LJ	8.95
Tun004	122	2003	LJ	11.95
ND84	123	2002	LJ	7.95
ND84	123	2003	LJ	9
R313	128	2002	LJ	9.04
R313	128	2003	LJ	10.52
R314	128	2002	LJ	7.66
R314	128	2003	LJ	13.32
YY196	125	2002	LJ	7.51
YY196	125	2003	LJ	10.43
YR1	126	2002	LJ	6.12
YR1	126	2003	LJ	11.58
SB21-3	121	2002	LJ	7.96
SB21-3	121	2003	LJ	8.25
QC3	121	2002	LJ	7.1
QC3	121	2003	LJ	9.12
5307	122	2002	LJ	7.63
5307	122	2003	LJ	9.42
LD10	123	2002	LJ	10.45
LD10	123	2003	LJ	12.37
ZZY6	124	2002	LJ	8.7
ZZY6	124	2003	LJ	10.18
XHD892ck	126	2002	LJ	8.75
XHD892ck	126	2003	LJ	10.82
HaiHe	122	2002	LP	11.32
HaiHe	122	2003	LP	10
Tun004	122	2002	LP	11
Tun004	122	2003	LP	8.64
ND84	123	2002	LP	11.02
ND84	123	2003	LP	8.2
R313	128	2002	LP	13.54
R313	128	2003	LP	7.84
R314	128	2002	LP	11.32
R314	128	2003	LP	8.56
YY196	125	2002	LP	10.2
YY196	125	2003	LP	7.98
YR1	126	2002	LP	12.24
YR1	126	2003	LP	7.98
SB21-3	121	2002	LP	11.3
SB21-3	121	2003	LP	8.06
QC3	121	2002	LP	9.42
QC3	121	2003	LP	6.7
5307	122	2002	LP	10.08
5307	122	2003	LP	7.12
LD10	123	2002	LP	11.82
LD10	123	2003	LP	10.78
ZZY6	124	2002	LP	10.34
ZZY6	124	2003	LP	9.62
XHD892ck	126	2002	LP	10.42
XHD892ck	126	2003	LP	8.76
HaiHe	122	2002	QJ	13.43
HaiHe	122	2003	QJ	11.41
Tun004	122	2002	QJ	12.04
Tun004	122	2003	QJ	9.74
ND84	123	2002	QJ	10.27
ND84	123	2003	QJ	11.28
R313	128	2002	QJ	13.86
R313	128	2003	QJ	7.31
R314	128	2002	QJ	12.83
R314	128	2003	QJ	11.32
YY196	125	2002	QJ	11.21
YY196	125	2003	QJ	11.78
YR1	126	2002	QJ	13.28
YR1	126	2003	QJ	10.71
SB21-3	121	2002	QJ	12.7
SB21-3	121	2003	QJ	10.43
QC3	121	2002	QJ	13.5
QC3	121	2003	QJ	10.3
5307	122	2002	QJ	12.77
5307	122	2003	QJ	10.75
LD10	123	2002	QJ	12.67
LD10	123	2003	QJ	13.23
ZZY6	124	2002	QJ	12.86
ZZY6	124	2003	QJ	11.03
XHD892ck	126	2002	QJ	10.25
XHD892ck	126	2003	QJ	10.63
HaiHe	122	2002	SL	8.89
HaiHe	122	2003	SL	14.56
Tun004	122	2002	SL	7.77
Tun004	122	2003	SL	12.19
ND84	123	2002	SL	7.8
ND84	123	2003	SL	11.38
R313	128	2002	SL	6.94
R313	128	2003	SL	11.02
R314	128	2002	SL	9.03
R314	128	2003	SL	11.89
YY196	125	2002	SL	7.79
YY196	125	2003	SL	12.22
YR1	126	2002	SL	9.37
YR1	126	2003	SL	13.57
SB21-3	121	2002	SL	8.79
SB21-3	121	2003	SL	11.83
QC3	121	2002	SL	7.25
QC3	121	2003	SL	12.19
5307	122	2002	SL	8.12
5307	122	2003	SL	11.08
LD10	123	2002	SL	9.19
LD10	123	2003	SL	13.83
ZZY6	124	2002	SL	7.87
ZZY6	124	2003	SL	12.48
XHD892ck	126	2002	SL	9
XHD892ck	126	2003	SL	11.73
HaiHe	122	2002	YJ	7.02
HaiHe	122	2003	YJ	6.54
Tun004	122	2002	YJ	7.38
Tun004	122	2003	YJ	7.02
ND84	123	2002	YJ	7.62
ND84	123	2003	YJ	7.26
R313	128	2002	YJ	7.68
R313	128	2003	YJ	7.56
R314	128	2002	YJ	7.44
R314	128	2003	YJ	7.62
YY196	125	2002	YJ	6.42
YY196	125	2003	YJ	6.12
YR1	126	2002	YJ	6.9
YR1	126	2003	YJ	6.36
SB21-3	121	2002	YJ	7.74
SB21-3	121	2003	YJ	8.58
QC3	121	2002	YJ	6.96
QC3	121	2003	YJ	5.94
5307	122	2002	YJ	7.26
5307	122	2003	YJ	6.66
LD10	123	2002	YJ	8.94
LD10	123	2003	YJ	9.06
ZZY6	124	2002	YJ	7.2
ZZY6	124	2003	YJ	6.9
XHD892ck	126	2002	YJ	7.68
XHD892ck	126	2003	YJ	7.56
HaiHe	122	2002	YX	15.88
HaiHe	122	2003	YX	13.94
Tun004	122	2002	YX	13.66
Tun004	122	2003	YX	12.25
ND84	123	2002	YX	13.1
ND84	123	2003	YX	12.67
R313	128	2002	YX	11.56
R313	128	2003	YX	10.86
R314	128	2002	YX	11.51
R314	128	2003	YX	11.56
YY196	125	2002	YX	13.6
YY196	125	2003	YX	11.43
YR1	126	2002	YX	12.32
YR1	126	2003	YX	11.07
SB21-3	121	2002	YX	14.33
SB21-3	121	2003	YX	12.27
QC3	121	2002	YX	12.88
QC3	121	2003	YX	11.49
5307	122	2002	YX	14.87
5307	122	2003	YX	11.01
LD10	123	2002	YX	13.49
LD10	123	2003	YX	13.33
ZZY6	124	2002	YX	12.58
ZZY6	124	2003	YX	11.21
XHD892ck	126	2002	YX	11.24
XHD892ck	126	2003	YX	11.32
HaiHe	122	2002	ZT	12.38
HaiHe	122	2003	ZT	13.34
Tun004	122	2002	ZT	10.34
Tun004	122	2003	ZT	11.15
ND84	123	2002	ZT	10.4
ND84	123	2003	ZT	12.15
R313	128	2002	ZT	9.82
R313	128	2003	ZT	10.04
R314	128	2002	ZT	9.78
R314	128	2003	ZT	9.97
YY196	125	2002	ZT	14.1
YY196	125	2003	ZT	12.3
YR1	126	2002	ZT	10.68
YR1	126	2003	ZT	11.07
SB21-3	121	2002	ZT	10.94
SB21-3	121	2003	ZT	12.24
QC3	121	2002	ZT	9.16
QC3	121	2003	ZT	12.13
5307	122	2002	ZT	12.84
5307	122	2003	ZT	12.65
LD10	123	2002	ZT	12.34
LD10	123	2003	ZT	11.9
ZZY6	124	2002	ZT	9.16
ZZY6	124	2003	ZT	11.55
XHD892ck	126	2002	ZT	11.5
XHD892ck	126	2003	ZT	12.08
