"row"	"col"	"yield"	"year"
1	1	389	1933
2	1	302	1933
3	1	261	1933
4	1	337	1933
5	1	314.5	1933
6	1	356	1933
7	1	384	1933
8	1	330	1933
9	1	338	1933
10	1	311.5	1933
11	1	346.5	1933
12	1	323	1933
13	1	351.5	1933
14	1	402.5	1933
15	1	346	1933
16	1	393.5	1933
17	1	320	1933
18	1	328	1933
19	1	336	1933
20	1	327	1933
21	1	352.5	1933
22	1	358	1933
23	1	357	1933
24	1	337.5	1933
25	1	312.5	1933
26	1	362	1933
27	1	290	1933
28	1	318	1933
29	1	315.5	1933
30	1	325	1933
31	1	354	1933
32	1	340	1933
33	1	355	1933
34	1	373	1933
35	1	314	1933
36	1	341	1933
37	1	295	1933
38	1	328	1933
39	1	295	1933
40	1	307	1933
41	1	339	1933
42	1	365	1933
43	1	360	1933
44	1	372	1933
45	1	304	1933
46	1	332	1933
47	1	317	1933
48	1	380	1933
49	1	366.5	1933
50	1	357.5	1933
51	1	325	1933
52	1	391	1933
53	1	313.5	1933
54	1	337	1933
55	1	326	1933
56	1	393	1933
57	1	395	1933
58	1	230	1933
59	1	363	1933
60	1	375	1933
61	1	347.5	1933
62	1	312	1933
63	1	277	1933
64	1	275.5	1933
65	1	378	1933
66	1	315	1933
67	1	329	1933
68	1	333	1933
69	1	356	1933
70	1	333	1933
71	1	321.5	1933
72	1	291.5	1933
73	1	315.5	1933
74	1	348.5	1933
75	1	318	1933
76	1	269.5	1933
77	1	276	1933
78	1	316.5	1933
79	1	337.5	1933
80	1	266.5	1933
81	1	312	1933
82	1	319	1933
83	1	400	1933
84	1	328.5	1933
85	1	325	1933
86	1	321	1933
87	1	315	1933
88	1	278	1933
89	1	309	1933
90	1	326	1933
91	1	314.5	1933
92	1	320	1933
93	1	336	1933
94	1	333	1933
95	1	345	1933
96	1	354	1933
97	1	345	1933
98	1	322.5	1933
99	1	293	1933
100	1	313.5	1933
101	1	291.5	1933
102	1	331	1933
103	1	351.5	1933
104	1	315	1933
105	1	276.5	1933
106	1	276	1933
107	1	280	1933
108	1	297.5	1933
109	1	279.5	1933
110	1	332.5	1933
111	1	212.5	1933
112	1	356	1933
113	1	330	1933
114	1	315	1933
115	1	300	1933
116	1	263	1933
117	1	310.5	1933
118	1	343.5	1933
119	1	256	1933
120	1	328	1933
121	1	270	1933
122	1	266.5	1933
123	1	231	1933
124	1	287.5	1933
125	1	294	1933
126	1	262.5	1933
127	1	307	1933
128	1	264.5	1933
129	1	319.5	1933
130	1	315	1933
131	1	280	1933
132	1	313.5	1933
133	1	291.5	1933
134	1	293.5	1933
135	1	339.5	1933
136	1	248.5	1933
1	2	382	1933
2	2	369	1933
3	2	328	1933
4	2	310	1933
5	2	341	1933
6	2	371	1933
7	2	353.5	1933
8	2	377.5	1933
9	2	362.5	1933
10	2	346	1933
11	2	335	1933
12	2	402.5	1933
13	2	314	1933
14	2	333.5	1933
15	2	364	1933
16	2	303.5	1933
17	2	387	1933
18	2	337.5	1933
19	2	368	1933
20	2	335	1933
21	2	322.5	1933
22	2	352.5	1933
23	2	330	1933
24	2	366.5	1933
25	2	339.5	1933
26	2	306	1933
27	2	412	1933
28	2	363.5	1933
29	2	353	1933
30	2	337	1933
31	2	360	1933
32	2	330.5	1933
33	2	370	1933
34	2	393	1933
35	2	353	1933
36	2	351	1933
37	2	362	1933
38	2	355	1933
39	2	324	1933
40	2	364	1933
41	2	340	1933
42	2	360	1933
43	2	363	1933
44	2	346.5	1933
45	2	369	1933
46	2	289	1933
47	2	285	1933
48	2	305	1933
49	2	350.5	1933
50	2	340	1933
51	2	338.5	1933
52	2	324	1933
53	2	315	1933
54	2	308	1933
55	2	305	1933
56	2	319.5	1933
57	2	294.5	1933
58	2	288	1933
59	2	330	1933
60	2	317	1933
61	2	358	1933
62	2	271	1933
63	2	327.5	1933
64	2	300	1933
65	2	345	1933
66	2	280	1933
67	2	327	1933
68	2	340	1933
69	2	323	1933
70	2	303	1933
71	2	337	1933
72	2	310	1933
73	2	320.5	1933
74	2	300	1933
75	2	286	1933
76	2	327	1933
77	2	365	1933
78	2	378	1933
79	2	362	1933
80	2	366	1933
81	2	374	1933
82	2	403.5	1933
83	2	308.5	1933
84	2	270	1933
85	2	288.5	1933
86	2	325	1933
87	2	280	1933
88	2	333	1933
89	2	286	1933
90	2	325	1933
91	2	288	1933
92	2	343.5	1933
93	2	315.5	1933
94	2	315	1933
95	2	347	1933
96	2	303	1933
97	2	262.5	1933
98	2	272	1933
99	2	261	1933
100	2	289.5	1933
101	2	265	1933
102	2	271	1933
103	2	290	1933
104	2	266.5	1933
105	2	232.5	1933
106	2	285	1933
107	2	252	1933
108	2	268.5	1933
109	2	285	1933
110	2	285	1933
111	2	242	1933
112	2	340	1933
113	2	292	1933
114	2	277	1933
115	2	280	1933
116	2	256.5	1933
117	2	228	1933
118	2	214	1933
119	2	236.5	1933
120	2	257	1933
121	2	216	1933
122	2	199	1933
123	2	207	1933
124	2	234.5	1933
125	2	261.5	1933
126	2	303	1933
127	2	279.5	1933
128	2	253.5	1933
129	2	262	1933
130	2	245.5	1933
131	2	236.5	1933
132	2	265	1933
133	2	197	1933
134	2	229	1933
135	2	225	1933
136	2	210	1933
1	3	360	1933
2	3	415.5	1933
3	3	306	1933
4	3	319.5	1933
5	3	342.5	1933
6	3	345	1933
7	3	368	1933
8	3	402	1933
9	3	340	1933
10	3	345.5	1933
11	3	389	1933
12	3	324.5	1933
13	3	375	1933
14	3	351	1933
15	3	377	1933
16	3	363	1933
17	3	402.5	1933
18	3	387.5	1933
19	3	302	1933
20	3	365	1933
21	3	344	1933
22	3	325	1933
23	3	343.5	1933
24	3	371	1933
25	3	348	1933
26	3	338	1933
27	3	357.5	1933
28	3	349.5	1933
29	3	398.5	1933
30	3	359	1933
31	3	387	1933
32	3	370	1933
33	3	393.5	1933
34	3	333.5	1933
35	3	388.5	1933
36	3	385	1933
37	3	387	1933
38	3	351	1933
39	3	364.5	1933
40	3	379	1933
41	3	301.5	1933
42	3	275.5	1933
43	3	348.5	1933
44	3	360	1933
45	3	261	1933
46	3	312.5	1933
47	3	348.5	1933
48	3	341.5	1933
49	3	332.5	1933
50	3	299	1933
51	3	349.5	1933
52	3	311.5	1933
53	3	286.5	1933
54	3	264	1933
55	3	301	1933
56	3	311.5	1933
57	3	359	1933
58	3	321	1933
59	3	371	1933
60	3	333	1933
61	3	356	1933
62	3	318	1933
63	3	326.5	1933
64	3	340	1933
65	3	340.5	1933
66	3	346	1933
67	3	315	1933
68	3	313.5	1933
69	3	413	1933
70	3	328.5	1933
71	3	339.5	1933
72	3	345	1933
73	3	340	1933
74	3	332.5	1933
75	3	292.5	1933
76	3	285	1933
77	3	388	1933
78	3	310	1933
79	3	334	1933
80	3	322.5	1933
81	3	361.5	1933
82	3	334	1933
83	3	284.5	1933
84	3	315.5	1933
85	3	332	1933
86	3	312	1933
87	3	305	1933
88	3	338	1933
89	3	341	1933
90	3	343.5	1933
91	3	330	1933
92	3	340	1933
93	3	313	1933
94	3	258	1933
95	3	342	1933
96	3	287.5	1933
97	3	293	1933
98	3	298.5	1933
99	3	206	1933
100	3	274.5	1933
101	3	242.5	1933
102	3	279	1933
103	3	309.5	1933
104	3	335	1933
105	3	285	1933
106	3	279.5	1933
107	3	243	1933
108	3	303	1933
109	3	324	1933
110	3	325	1933
111	3	315	1933
112	3	335	1933
113	3	314.5	1933
114	3	259.5	1933
115	3	310	1933
116	3	294	1933
117	3	215	1933
118	3	280	1933
119	3	260	1933
120	3	292.5	1933
121	3	306.5	1933
122	3	262	1933
123	3	294.5	1933
124	3	258.5	1933
125	3	295.5	1933
126	3	293	1933
127	3	304.5	1933
128	3	233	1933
129	3	259.5	1933
130	3	271	1933
131	3	293	1933
132	3	266	1933
133	3	230	1933
134	3	226	1933
135	3	216	1933
136	3	205.5	1933
1	4	306.5	1933
2	4	320	1933
3	4	239.5	1933
4	4	367.5	1933
5	4	322	1933
6	4	280	1933
7	4	303	1933
8	4	445.5	1933
9	4	356	1933
10	4	343.5	1933
11	4	321.5	1933
12	4	372	1933
13	4	420	1933
14	4	405.5	1933
15	4	333	1933
16	4	326	1933
17	4	342.5	1933
18	4	305	1933
19	4	400	1933
20	4	332	1933
21	4	330.5	1933
22	4	349	1933
23	4	319.5	1933
24	4	299.5	1933
25	4	324	1933
26	4	331	1933
27	4	305.5	1933
28	4	354.5	1933
29	4	348.5	1933
30	4	289	1933
31	4	338	1933
32	4	342	1933
33	4	319.5	1933
34	4	376	1933
35	4	378.5	1933
36	4	358	1933
37	4	363	1933
38	4	358	1933
39	4	351	1933
40	4	323	1933
41	4	326.5	1933
42	4	351	1933
43	4	357	1933
44	4	343	1933
45	4	360	1933
46	4	289.5	1933
47	4	343.5	1933
48	4	381	1933
49	4	365	1933
50	4	350	1933
51	4	361.5	1933
52	4	331	1933
53	4	331	1933
54	4	385	1933
55	4	310	1933
56	4	361	1933
57	4	342	1933
58	4	284	1933
59	4	298.5	1933
60	4	306	1933
61	4	307	1933
62	4	305	1933
63	4	330	1933
64	4	364	1933
65	4	364	1933
66	4	322	1933
67	4	347	1933
68	4	301.5	1933
69	4	422	1933
70	4	376	1933
71	4	297	1933
72	4	295	1933
73	4	333.5	1933
74	4	345	1933
75	4	317.5	1933
76	4	316.5	1933
77	4	308	1933
78	4	345	1933
79	4	342	1933
80	4	330.5	1933
81	4	425	1933
82	4	335.5	1933
83	4	357.5	1933
84	4	341	1933
85	4	374	1933
86	4	343	1933
87	4	308	1933
88	4	332	1933
89	4	328.5	1933
90	4	339	1933
91	4	306	1933
92	4	286	1933
93	4	313.5	1933
94	4	308	1933
95	4	328	1933
96	4	269	1933
97	4	322.5	1933
98	4	356	1933
99	4	295	1933
100	4	336.5	1933
101	4	321	1933
102	4	298.5	1933
103	4	340.5	1933
104	4	315.5	1933
105	4	285	1933
106	4	319.5	1933
107	4	328.5	1933
108	4	280.5	1933
109	4	343	1933
110	4	333.5	1933
111	4	255	1933
112	4	277.5	1933
113	4	342.5	1933
114	4	300	1933
115	4	288	1933
116	4	319	1933
117	4	308	1933
118	4	328.5	1933
119	4	294	1933
120	4	367.5	1933
121	4	325	1933
122	4	340.5	1933
123	4	343	1933
124	4	347	1933
125	4	277	1933
126	4	304.5	1933
127	4	285.5	1933
128	4	290	1933
129	4	306	1933
130	4	269	1933
131	4	250	1933
132	4	300	1933
133	4	298	1933
134	4	277	1933
135	4	304	1933
136	4	281	1933
1	5	264	1933
2	5	293	1933
3	5	305	1933
4	5	288	1933
5	5	265	1933
6	5	242.5	1933
7	5	322	1933
8	5	313.5	1933
9	5	376	1933
10	5	334.5	1933
11	5	357	1933
12	5	372.5	1933
13	5	392	1933
14	5	327.5	1933
15	5	326	1933
16	5	338.5	1933
17	5	320.5	1933
18	5	311	1933
19	5	325	1933
20	5	270	1933
21	5	242	1933
22	5	315	1933
23	5	315	1933
24	5	310.5	1933
25	5	309	1933
26	5	259.5	1933
27	5	312	1933
28	5	257	1933
29	5	286	1933
30	5	287.5	1933
31	5	350.5	1933
32	5	321.5	1933
33	5	317.5	1933
34	5	328.5	1933
35	5	364	1933
36	5	293	1933
37	5	315	1933
38	5	343.5	1933
39	5	322	1933
40	5	316	1933
41	5	394.5	1933
42	5	357	1933
43	5	336	1933
44	5	388.5	1933
45	5	359	1933
46	5	346	1933
47	5	372	1933
48	5	352	1933
49	5	330	1933
50	5	350	1933
51	5	319	1933
52	5	322.5	1933
53	5	350	1933
54	5	341.5	1933
55	5	242	1933
56	5	308	1933
57	5	339	1933
58	5	313.5	1933
59	5	304.5	1933
60	5	309.5	1933
61	5	295	1933
62	5	313	1933
63	5	158	1933
64	5	427	1933
65	5	315	1933
66	5	361	1933
67	5	354.5	1933
68	5	337	1933
69	5	353.5	1933
70	5	315	1933
71	5	335	1933
72	5	339	1933
73	5	337	1933
74	5	327.5	1933
75	5	270	1933
76	5	324.5	1933
77	5	307	1933
78	5	305	1933
79	5	323	1933
80	5	267	1933
81	5	383	1933
82	5	326	1933
83	5	355	1933
84	5	375	1933
85	5	325.5	1933
86	5	300	1933
87	5	343	1933
88	5	386	1933
89	5	385	1933
90	5	362	1933
91	5	356.5	1933
92	5	286	1933
93	5	328	1933
94	5	296.5	1933
95	5	359	1933
96	5	361	1933
97	5	325	1933
98	5	327	1933
99	5	271.5	1933
100	5	368.5	1933
101	5	317.5	1933
102	5	342	1933
103	5	273.5	1933
104	5	310	1933
105	5	330	1933
106	5	397.5	1933
107	5	395	1933
108	5	373.5	1933
109	5	357.5	1933
110	5	372	1933
111	5	318.5	1933
112	5	318	1933
113	5	296	1933
114	5	327.5	1933
115	5	331	1933
116	5	335.5	1933
117	5	322.5	1933
118	5	302	1933
119	5	337.5	1933
120	5	383	1933
121	5	323	1933
122	5	330	1933
123	5	312	1933
124	5	338	1933
125	5	312	1933
126	5	323.5	1933
127	5	310	1933
128	5	284	1933
129	5	264	1933
130	5	251	1933
131	5	228.5	1933
132	5	250	1933
133	5	225.5	1933
134	5	232	1933
135	5	220	1933
136	5	290	1933
1	6	321	1933
2	6	293	1933
3	6	295.5	1933
4	6	344	1933
5	6	331.5	1933
6	6	350.5	1933
7	6	363.5	1933
8	6	366.5	1933
9	6	380	1933
10	6	339	1933
11	6	353.5	1933
12	6	334	1933
13	6	374.5	1933
14	6	311.5	1933
15	6	366.5	1933
16	6	352.5	1933
17	6	299	1933
18	6	360.5	1933
19	6	354.5	1933
20	6	269	1933
21	6	361	1933
22	6	350	1933
23	6	305	1933
24	6	305	1933
25	6	283	1933
26	6	358.5	1933
27	6	367	1933
28	6	289	1933
29	6	350	1933
30	6	316.5	1933
31	6	281	1933
32	6	314.5	1933
33	6	290.5	1933
34	6	335.5	1933
35	6	310	1933
36	6	369.5	1933
37	6	319.5	1933
38	6	334	1933
39	6	316	1933
40	6	345	1933
41	6	361.5	1933
42	6	363	1933
43	6	366	1933
44	6	360.5	1933
45	6	260	1933
46	6	362	1933
47	6	304.5	1933
48	6	339	1933
