gen	env	yield
G01	E01	2.7
G02	E01	2.77
G03	E01	3.13
G04	E01	3.34
G05	E01	3.4
G06	E01	2.8
G07	E01	2.73
G08	E01	2.77
G09	E01	2.78
G10	E01	3
G01	E02	2.32
G02	E02	2.56
G03	E02	3.72
G04	E02	3.38
G05	E02	3.1
G06	E02	2.31
G07	E02	2.66
G08	E02	2.48
G09	E02	3.23
G10	E02	2.76
G01	E03	2.35
G02	E03	2.65
G03	E03	3.47
G04	E03	2.52
G05	E03	2.73
G06	E03	1.99
G07	E03	2.02
G08	E03	2.53
G09	E03	2.7
G10	E03	1.59
G01	E04	1.86
G02	E04	2.03
G03	E04	2.66
G04	E04	2.48
G05	E04	2.55
G06	E04	1.79
G07	E04	2.24
G09	E04	2.61
G10	E04	2.07
G01	E05	4.76
G02	E05	4.77
G03	E05	6.08
G04	E05	5.54
G05	E05	5.72
G06	E05	4.39
G07	E05	5.07
G09	E05	6.24
G10	E05	5.04
G01	E06	5.13
G02	E06	4.24
G03	E06	5.74
G04	E06	5.46
G05	E06	5.71
G06	E06	4.69
G07	E06	5.12
G08	E06	4.93
G09	E06	5.77
G10	E06	4.56
G01	E07	2.37
G02	E07	2.31
G03	E07	2.45
G04	E07	2.47
G05	E07	2.64
G06	E07	2.05
G07	E07	2.05
G08	E07	2.37
G09	E07	2.56
G10	E07	2.27
G01	E08	3.18
G02	E08	3.27
G03	E08	4.16
G04	E08	3.74
G05	E08	3.69
G06	E08	3.13
G07	E08	3.3
G09	E08	3.82
G10	E08	3.39
G01	E09	3.6
G02	E09	3.33
G05	E09	4
G06	E09	2.53
G07	E09	3.3
G08	E09	3
G09	E09	4.03
G10	E09	3.25
G01	E10	3.99
G02	E10	3.86
G03	E10	4.95
G04	E10	4.48
G05	E10	4.66
G09	E10	4.91
G10	E10	3.79
G01	E11	2.51
G02	E11	3.25
G05	E11	2.77
G06	E11	2.78
G07	E11	2.8
G08	E11	2.72
G09	E11	2.94
G01	E12	4.71
G02	E12	4.1
G05	E12	5.56
G06	E12	4.79
G07	E12	5.15
G09	E12	5.41
G01	E13	2.46
G02	E13	2.97
G05	E13	2.21
G06	E13	3.12
G07	E13	2.28
G09	E13	2.88
G01	E14	2.98
G02	E14	2.91
G05	E14	2.61
G06	E14	2.86
G07	E14	2.49
G09	E14	2.57
G01	E15	4.06
G02	E15	4.25
G05	E15	4.15
G06	E15	3.97
G07	E15	4.34
G01	E16	2.55
G02	E16	2.35
G05	E16	2.15
G06	E16	2.7
G07	E16	1.81
G09	E16	2.44
G01	E17	4.1
G02	E17	3.95
G05	E17	4.25
G06	E17	4.4
G07	E17	3.54
G09	E17	4.27
