"loc"	"row"	"col"	"yield"
"Lethbridge"	1	1	12.2
"Lethbridge"	2	1	10
"Lethbridge"	3	1	11.5
"Lethbridge"	4	1	10.6
"Lethbridge"	5	1	12.2
"Lethbridge"	6	1	13.5
"Lethbridge"	7	1	11.2
"Lethbridge"	8	1	11.2
"Lethbridge"	9	1	13.3
"Lethbridge"	10	1	10.1
"Lethbridge"	11	1	10
"Lethbridge"	12	1	10.8
"Lethbridge"	13	1	7.4
"Lethbridge"	14	1	10.3
"Lethbridge"	15	1	10.3
"Lethbridge"	16	1	10.4
"Lethbridge"	17	1	8.7
"Lethbridge"	18	1	11.9
"Lethbridge"	19	1	9.6
"Lethbridge"	20	1	9.6
"Lethbridge"	21	1	8
"Lethbridge"	22	1	9.1
"Lethbridge"	23	1	9.6
"Lethbridge"	24	1	11.1
"Lethbridge"	25	1	11.7
"Lethbridge"	26	1	11.9
"Lethbridge"	27	1	7
"Lethbridge"	28	1	11.2
"Lethbridge"	29	1	8.9
"Lethbridge"	30	1	8.4
"Lethbridge"	31	1	10.2
"Lethbridge"	32	1	8.8
"Lethbridge"	1	2	10
"Lethbridge"	2	2	9.6
"Lethbridge"	3	2	12.4
"Lethbridge"	4	2	10.1
"Lethbridge"	5	2	8.6
"Lethbridge"	6	2	10.2
"Lethbridge"	7	2	10
"Lethbridge"	8	2	13
"Lethbridge"	9	2	10.7
"Lethbridge"	10	2	10.6
"Lethbridge"	11	2	8.1
"Lethbridge"	12	2	9
"Lethbridge"	13	2	9
"Lethbridge"	14	2	8.7
"Lethbridge"	15	2	8.9
"Lethbridge"	16	2	7.9
"Lethbridge"	17	2	8.9
"Lethbridge"	18	2	7.5
"Lethbridge"	19	2	7
"Lethbridge"	20	2	7.5
"Lethbridge"	21	2	8.8
"Lethbridge"	22	2	10.2
"Lethbridge"	23	2	8.9
"Lethbridge"	24	2	9.6
"Lethbridge"	25	2	8.5
"Lethbridge"	26	2	11.5
"Lethbridge"	27	2	10.6
"Lethbridge"	28	2	9
"Lethbridge"	29	2	6.8
"Lethbridge"	30	2	4.6
"Lethbridge"	31	2	9.8
"Lethbridge"	32	2	9.1
"Lethbridge"	1	3	12
"Lethbridge"	2	3	12.3
"Lethbridge"	3	3	10.6
"Lethbridge"	4	3	10
"Lethbridge"	5	3	8.1
"Lethbridge"	6	3	9.4
"Lethbridge"	7	3	10
"Lethbridge"	8	3	13
"Lethbridge"	9	3	10.1
"Lethbridge"	10	3	12.1
"Lethbridge"	11	3	8.7
"Lethbridge"	12	3	7.5
"Lethbridge"	13	3	6.5
"Lethbridge"	14	3	8.4
"Lethbridge"	15	3	8.2
"Lethbridge"	16	3	7.7
"Lethbridge"	17	3	8.3
"Lethbridge"	18	3	6.4
"Lethbridge"	19	3	9.6
"Lethbridge"	20	3	8.6
"Lethbridge"	21	3	7.1
"Lethbridge"	22	3	9.1
"Lethbridge"	23	3	8
"Lethbridge"	24	3	8.8
"Lethbridge"	25	3	10.9
"Lethbridge"	26	3	10
"Lethbridge"	27	3	8.6
"Lethbridge"	28	3	9.3
"Lethbridge"	29	3	8.1
"Lethbridge"	30	3	4.9
"Lethbridge"	31	3	9.8
"Lethbridge"	32	3	9.3
"Lethbridge"	1	4	6.6
"Lethbridge"	2	4	11.6
"Lethbridge"	3	4	11
"Lethbridge"	4	4	9.7
"Lethbridge"	5	4	9.3
"Lethbridge"	6	4	12.2
"Lethbridge"	7	4	9.7
"Lethbridge"	8	4	10.8
"Lethbridge"	9	4	10
"Lethbridge"	10	4	9.5
"Lethbridge"	11	4	9.1
"Lethbridge"	12	4	6.4
"Lethbridge"	13	4	9.4
"Lethbridge"	14	4	6.6
"Lethbridge"	15	4	8.2
"Lethbridge"	16	4	7.4
"Lethbridge"	17	4	6.4
"Lethbridge"	18	4	8.4
"Lethbridge"	19	4	7.9
"Lethbridge"	20	4	9
"Lethbridge"	21	4	9
"Lethbridge"	22	4	4.7
"Lethbridge"	23	4	9.1
"Lethbridge"	24	4	8.4
"Lethbridge"	25	4	8.8
"Lethbridge"	26	4	7.9
"Lethbridge"	27	4	5.2
"Lethbridge"	28	4	8.8
"Lethbridge"	29	4	8.6
"Lethbridge"	30	4	7.7
"Lethbridge"	31	4	8.8
"Lethbridge"	32	4	7.8
"Lethbridge"	1	5	15.2
"Lethbridge"	2	5	12.2
"Lethbridge"	3	5	10.6
"Lethbridge"	4	5	10.9
"Lethbridge"	5	5	10.7
"Lethbridge"	6	5	11.1
"Lethbridge"	7	5	9.4
"Lethbridge"	8	5	11.1
