rep	nitro	management	gen	yield	col	row
R1	0	Minimum	V1	3.32	2	12
R1	0	Minimum	V2	6.101	2	10
R1	0	Minimum	V3	5.355	2	11
R1	0	Optimum	V1	3.766	3	12
R1	0	Optimum	V2	5.096	3	11
R1	0	Optimum	V3	7.442	3	10
R1	0	Intensive	V1	4.66	1	11
R1	0	Intensive	V2	6.573	1	12
R1	0	Intensive	V3	7.018	1	10
R1	50	Minimum	V1	3.188	1	15
R1	50	Minimum	V2	5.595	1	13
R1	50	Minimum	V3	6.706	1	14
R1	50	Optimum	V1	3.625	3	13
R1	50	Optimum	V2	6.357	3	14
R1	50	Optimum	V3	8.592	3	15
R1	50	Intensive	V1	5.232	2	14
R1	50	Intensive	V2	7.016	2	13
R1	50	Intensive	V3	8.48	2	15
R1	80	Minimum	V1	5.468	1	2
R1	80	Minimum	V2	5.442	1	1
R1	80	Minimum	V3	8.452	1	3
R1	80	Optimum	V1	5.759	2	3
R1	80	Optimum	V2	6.398	2	1
R1	80	Optimum	V3	8.662	2	2
R1	80	Intensive	V1	6.215	3	2
R1	80	Intensive	V2	6.953	3	1
R1	80	Intensive	V3	9.112	3	3
R1	110	Minimum	V1	4.246	2	6
R1	110	Minimum	V2	6.209	2	4
R1	110	Minimum	V3	8.042	2	5
R1	110	Optimum	V1	5.255	1	6
R1	110	Optimum	V2	6.992	1	5
R1	110	Optimum	V3	9.08	1	4
R1	110	Intensive	V1	6.829	3	5
R1	110	Intensive	V2	7.565	3	4
R1	110	Intensive	V3	9.66	3	6
R1	140	Minimum	V1	3.132	3	7
R1	140	Minimum	V2	6.86	3	8
R1	140	Minimum	V3	9.314	3	9
R1	140	Optimum	V1	5.389	2	9
R1	140	Optimum	V2	6.857	2	8
R1	140	Optimum	V3	9.224	2	7
R1	140	Intensive	V1	5.217	1	9
R1	140	Intensive	V2	7.254	1	7
R1	140	Intensive	V3	10.36	1	8
R2	0	Minimum	V1	3.864	6	14
R2	0	Minimum	V2	5.122	6	15
R2	0	Minimum	V3	5.536	6	13
R2	0	Optimum	V1	4.311	4	15
R2	0	Optimum	V2	4.873	4	14
R2	0	Optimum	V3	6.462	4	13
R2	0	Intensive	V1	5.915	5	15
R2	0	Intensive	V2	5.495	5	14
R2	0	Intensive	V3	8.02	5	13
R2	50	Minimum	V1	4.752	6	6
R2	50	Minimum	V2	6.78	6	5
R2	50	Minimum	V3	6.546	6	4
R2	50	Optimum	V1	4.809	5	4
R2	50	Optimum	V2	5.925	5	6
R2	50	Optimum	V3	7.646	5	5
