"expt"	"row"	"col"	"yield"
"E5"	1	1	579
"E5"	2	1	445
"E5"	3	1	465
"E5"	4	1	455
"E5"	5	1	390
"E5"	6	1	444
"E5"	7	1	376
"E5"	8	1	433
"E5"	9	1	426
"E5"	10	1	475
"E5"	11	1	360
"E5"	12	1	335
"E5"	13	1	391
"E5"	14	1	340
"E5"	15	1	429
"E5"	16	1	419
"E5"	17	1	436
"E5"	18	1	405
"E5"	19	1	396
"E5"	20	1	571
"E5"	1	2	684
"E5"	2	2	472
"E5"	3	2	435
"E5"	4	2	452
"E5"	5	2	424
"E5"	6	2	408
"E5"	7	2	428
"E5"	8	2	440
"E5"	9	2	391
"E5"	10	2	470
"E5"	11	2	450
"E5"	12	2	343
"E5"	13	2	452
"E5"	14	2	424
"E5"	15	2	438
"E5"	16	2	435
"E5"	17	2	500
"E5"	18	2	550
"E5"	19	2	435
"E5"	20	2	720
"E5"	1	3	789
"E5"	2	3	431
"E5"	3	3	445
"E5"	4	3	405
"E5"	5	3	344
"E5"	6	3	375
"E5"	7	3	335
"E5"	8	3	382
"E5"	9	3	350
"E5"	10	3	386
"E5"	11	3	405
"E5"	12	3	364
"E5"	13	3	342
"E5"	14	3	409
"E5"	15	3	456
"E5"	16	3	445
"E5"	17	3	405
"E5"	18	3	390
"E5"	19	3	487
"E5"	20	3	508
"E5"	1	4	619
"E5"	2	4	529
"E5"	3	4	438
"E5"	4	4	446
"E5"	5	4	481
"E5"	6	4	393
"E5"	7	4	379
"E5"	8	4	422
"E5"	9	4	401
"E5"	10	4	428
"E5"	11	4	488
"E5"	12	4	433
"E5"	13	4	352
"E5"	14	4	363
"E5"	15	4	380
"E5"	16	4	482
"E5"	17	4	474
"E5"	18	4	535
"E5"	19	4	492
"E5"	20	4	608
"E5"	1	5	658
"E5"	2	5	438
"E5"	3	5	470
"E5"	4	5	417
"E5"	5	5	401
"E5"	6	5	407
"E5"	7	5	364
"E5"	8	5	465
"E5"	9	5	431
