"env"	"gen"	"yield"
"E01"	"G1"	3622
"E02"	"G1"	3728
"E03"	"G1"	5554
"E04"	"G1"	4566
"E05"	"G1"	4380
"E06"	"G1"	6437
"E07"	"G1"	2832
"E08"	"G1"	6011
"E09"	"G1"	4647
"E10"	"G1"	3100
"E11"	"G1"	4433
"E12"	"G1"	6873
"E13"	"G1"	6721
"E14"	"G1"	5849
"E15"	"G1"	4601
"E16"	"G1"	5010
"E17"	"G1"	4415
"E18"	"G1"	3344
"E19"	"G1"	1632
"E20"	"G1"	4587
"E01"	"G2"	3426
"E02"	"G2"	3919
"E03"	"G2"	4937
"E04"	"G2"	4963
"E05"	"G2"	5201
"E06"	"G2"	6036
"E07"	"G2"	2515
"E08"	"G2"	5278
"E09"	"G2"	4714
"E10"	"G2"	2972
"E11"	"G2"	4349
"E12"	"G2"	7571
"E13"	"G2"	5627
"E14"	"G2"	5932
"E15"	"G2"	4126
"E16"	"G2"	5196
"E17"	"G2"	4211
"E18"	"G2"	4415
"E19"	"G2"	2282
"E20"	"G2"	4396
"E01"	"G3"	3446
"E02"	"G3"	4082
"E03"	"G3"	5117
"E04"	"G3"	5136
"E05"	"G3"	4178
"E06"	"G3"	6459
"E07"	"G3"	3529
"E08"	"G3"	4731
"E09"	"G3"	5448
"E10"	"G3"	2785
"E11"	"G3"	4526
"E12"	"G3"	7727
"E13"	"G3"	6294
"E14"	"G3"	5886
"E15"	"G3"	4537
"E16"	"G3"	5455
"E17"	"G3"	4749
"E18"	"G3"	4295
"E19"	"G3"	3059
"E20"	"G3"	5018
"E01"	"G4"	3720
"E02"	"G4"	4539
"E03"	"G4"	4543
"E04"	"G4"	6030
"E05"	"G4"	5672
"E06"	"G4"	6678
"E07"	"G4"	2998
"E08"	"G4"	2516
"E09"	"G4"	4864
"E10"	"G4"	2843
"E11"	"G4"	7117
"E12"	"G4"	8385
"E13"	"G4"	7332
"E14"	"G4"	6439
"E15"	"G4"	6331
"E16"	"G4"	6351
"E17"	"G4"	5161
"E18"	"G4"	5618
"E19"	"G4"	2233
"E20"	"G4"	4988
"E01"	"G5"	3165
"E02"	"G5"	4079
"E03"	"G5"	6173
"E04"	"G5"	5831
"E05"	"G5"	5414
"E06"	"G5"	6882
"E07"	"G5"	3556
"E08"	"G5"	2732
"E09"	"G5"	5588
"E10"	"G5"	2688
"E11"	"G5"	5995
"E12"	"G5"	8106
"E13"	"G5"	7174
"E14"	"G5"	6359
"E15"	"G5"	6328
"E16"	"G5"	6070
"E17"	"G5"	5454
"E18"	"G5"	4498
"E19"	"G5"	3073
"E20"	"G5"	5776
"E01"	"G6"	4116
"E02"	"G6"	4878
"E03"	"G6"	5205
"E04"	"G6"	5980
"E05"	"G6"	5591
"E06"	"G6"	6916
"E07"	"G6"	3949
"E08"	"G6"	2983
"E09"	"G6"	5603
"E10"	"G6"	3024
"E11"	"G6"	6150
"E12"	"G6"	7637
"E13"	"G6"	7262
"E14"	"G6"	6380
"E15"	"G6"	5961
"E16"	"G6"	5730
"E17"	"G6"	5807
"E18"	"G6"	5333
"E19"	"G6"	3011
"E20"	"G6"	5088
"E01"	"G7"	3354
"E02"	"G7"	4767
"E03"	"G7"	5389
"E04"	"G7"	4342
"E05"	"G7"	4277
"E06"	"G7"	6745
"E07"	"G7"	3537
"E08"	"G7"	4206
"E09"	"G7"	4318
"E10"	"G7"	2889
"E11"	"G7"	5052
"E12"	"G7"	7444
"E13"	"G7"	5544
"E14"	"G7"	5820
"E15"	"G7"	4346
"E16"	"G7"	5013
"E17"	"G7"	3862
"E18"	"G7"	5276
"E19"	"G7"	3211
"E20"	"G7"	4056
"E01"	"G8"	4529
"E02"	"G8"	3393
"E03"	"G8"	5248
"E04"	"G8"	4442
"E05"	"G8"	4476
"E06"	"G8"	4986
"E07"	"G8"	3088
"E08"	"G8"	4484
"E09"	"G8"	4001
"E10"	"G8"	3353
"E11"	"G8"	3713
"E12"	"G8"	5816
"E13"	"G8"	4117
"E14"	"G8"	5522
"E15"	"G8"	4321
"E16"	"G8"	4551
"E17"	"G8"	5243
"E18"	"G8"	2940
"E19"	"G8"	2634
"E20"	"G8"	4806
"E01"	"G9"	3136
"E02"	"G9"	4500
"E03"	"G9"	3780
"E04"	"G9"	5781
"E05"	"G9"	5407
"E06"	"G9"	5610
"E07"	"G9"	3061
"E08"	"G9"	3309
"E09"	"G9"	5553
"E10"	"G9"	2774
"E11"	"G9"	6430
"E12"	"G9"	8091
"E13"	"G9"	6920
"E14"	"G9"	6282
"E15"	"G9"	4889
"E16"	"G9"	5278
"E17"	"G9"	4989
"E18"	"G9"	5244
"E19"	"G9"	2735
"E20"	"G9"	4822
