"loc"	"block"	"tree"	"family"	"height"
"Vellanikkara"	"B1"	"T1"	"F1"	142
"Vellanikkara"	"B1"	"T2"	"F1"	95
"Vellanikkara"	"B1"	"T3"	"F1"	138
"Vellanikkara"	"B1"	"T4"	"F1"	53
"Vellanikkara"	"B1"	"T4"	"F1"	95
"Vellanikkara"	"B1"	"T6"	"F1"	128
"Nailambur"	"B1"	"T1"	"F1"	24
"Nailambur"	"B1"	"T2"	"F1"	58
"Nailambur"	"B1"	"T3"	"F1"	32
"Nailambur"	"B1"	"T4"	"F1"	27
"Nailambur"	"B1"	"T4"	"F1"	60
"Nailambur"	"B1"	"T6"	"F1"	75
"Vellanikkara"	"B2"	"T1"	"F1"	185
"Vellanikkara"	"B2"	"T2"	"F1"	117
"Vellanikkara"	"B2"	"T3"	"F1"	135
"Vellanikkara"	"B2"	"T4"	"F1"	155
"Vellanikkara"	"B2"	"T4"	"F1"	152
"Vellanikkara"	"B2"	"T6"	"F1"	111
"Nailambur"	"B2"	"T1"	"F1"	87
"Nailambur"	"B2"	"T2"	"F1"	102
"Nailambur"	"B2"	"T3"	"F1"	74
"Nailambur"	"B2"	"T4"	"F1"	102
"Nailambur"	"B2"	"T4"	"F1"	20
"Nailambur"	"B2"	"T6"	"F1"	80
"Vellanikkara"	"B3"	"T1"	"F1"	134
"Vellanikkara"	"B3"	"T2"	"F1"	35
"Vellanikkara"	"B3"	"T3"	"F1"	128
"Vellanikkara"	"B3"	"T4"	"F1"	89
"Vellanikkara"	"B3"	"T4"	"F1"	99
"Vellanikkara"	"B3"	"T6"	"F1"	29
"Nailambur"	"B3"	"T1"	"F1"	54
"Nailambur"	"B3"	"T2"	"F1"	92
"Nailambur"	"B3"	"T3"	"F1"	89
"Nailambur"	"B3"	"T4"	"F1"	144
"Nailambur"	"B3"	"T4"	"F1"	100
"Nailambur"	"B3"	"T6"	"F1"	92
"Vellanikkara"	"B1"	"T1"	"F2"	104
"Vellanikkara"	"B1"	"T2"	"F2"	77
"Vellanikkara"	"B1"	"T3"	"F2"	129
"Vellanikkara"	"B1"	"T4"	"F2"	126
"Vellanikkara"	"B1"	"T4"	"F2"	68
"Vellanikkara"	"B1"	"T6"	"F2"	48
"Nailambur"	"B1"	"T1"	"F2"	18
"Nailambur"	"B1"	"T2"	"F2"	50
"Nailambur"	"B1"	"T3"	"F2"	82
"Nailambur"	"B1"	"T4"	"F2"	23
"Nailambur"	"B1"	"T4"	"F2"	56
"Nailambur"	"B1"	"T6"	"F2"	61
"Vellanikkara"	"B2"	"T1"	"F2"	129
"Vellanikkara"	"B2"	"T2"	"F2"	131
"Vellanikkara"	"B2"	"T3"	"F2"	135
"Vellanikkara"	"B2"	"T4"	"F2"	88
"Vellanikkara"	"B2"	"T4"	"F2"	75
"Vellanikkara"	"B2"	"T6"	"F2"	41
"Nailambur"	"B2"	"T1"	"F2"	26
"Nailambur"	"B2"	"T2"	"F2"	103
"Nailambur"	"B2"	"T3"	"F2"	55
"Nailambur"	"B2"	"T4"	"F2"	43
"Nailambur"	"B2"	"T4"	"F2"	100
"Nailambur"	"B2"	"T6"	"F2"	98
"Vellanikkara"	"B3"	"T1"	"F2"	53
"Vellanikkara"	"B3"	"T2"	"F2"	82
"Vellanikkara"	"B3"	"T3"	"F2"	71
"Vellanikkara"	"B3"	"T4"	"F2"	43
"Vellanikkara"	"B3"	"T4"	"F2"	71
"Vellanikkara"	"B3"	"T6"	"F2"	26
"Nailambur"	"B3"	"T1"	"F2"	58
"Nailambur"	"B3"	"T2"	"F2"	47
"Nailambur"	"B3"	"T3"	"F2"	33
"Nailambur"	"B3"	"T4"	"F2"	108
"Nailambur"	"B3"	"T4"	"F2"	70
"Nailambur"	"B3"	"T6"	"F2"	46
"Vellanikkara"	"B1"	"T1"	"F3"	152
"Vellanikkara"	"B1"	"T2"	"F3"	98
"Vellanikkara"	"B1"	"T3"	"F3"	85
"Vellanikkara"	"B1"	"T4"	"F3"	118
"Vellanikkara"	"B1"	"T4"	"F3"	25
"Vellanikkara"	"B1"	"T6"	"F3"	51
"Nailambur"	"B1"	"T1"	"F3"	18
"Nailambur"	"B1"	"T2"	"F3"	24
"Nailambur"	"B1"	"T3"	"F3"	38
"Nailambur"	"B1"	"T4"	"F3"	65
"Nailambur"	"B1"	"T4"	"F3"	46
"Nailambur"	"B1"	"T6"	"F3"	104
"Vellanikkara"	"B2"	"T1"	"F3"	78
"Vellanikkara"	"B2"	"T2"	"F3"	161
"Vellanikkara"	"B2"	"T3"	"F3"	121
"Vellanikkara"	"B2"	"T4"	"F3"	124
"Vellanikkara"	"B2"	"T4"	"F3"	118
"Vellanikkara"	"B2"	"T6"	"F3"	61
"Nailambur"	"B2"	"T1"	"F3"	78
"Nailambur"	"B2"	"T2"	"F3"	57
"Nailambur"	"B2"	"T3"	"F3"	60
"Nailambur"	"B2"	"T4"	"F3"	26
"Nailambur"	"B2"	"T4"	"F3"	59
"Nailambur"	"B2"	"T6"	"F3"	70
"Vellanikkara"	"B3"	"T1"	"F3"	145
"Vellanikkara"	"B3"	"T2"	"F3"	86
"Vellanikkara"	"B3"	"T3"	"F3"	141
"Vellanikkara"	"B3"	"T4"	"F3"	156
"Vellanikkara"	"B3"	"T4"	"F3"	121
"Vellanikkara"	"B3"	"T6"	"F3"	55
"Nailambur"	"B3"	"T1"	"F3"	87
"Nailambur"	"B3"	"T2"	"F3"	93
"Nailambur"	"B3"	"T3"	"F3"	70
"Nailambur"	"B3"	"T4"	"F3"	47
"Nailambur"	"B3"	"T4"	"F3"	26
"Nailambur"	"B3"	"T6"	"F3"	40
"Vellanikkara"	"B1"	"T1"	"F4"	111
"Vellanikkara"	"B1"	"T2"	"F4"	29
"Vellanikkara"	"B1"	"T3"	"F4"	64
"Vellanikkara"	"B1"	"T4"	"F4"	52
"Vellanikkara"	"B1"	"T4"	"F4"	19
"Vellanikkara"	"B1"	"T6"	"F4"	25
"Nailambur"	"B1"	"T1"	"F4"	31
"Nailambur"	"B1"	"T2"	"F4"	26
"Nailambur"	"B1"	"T3"	"F4"	30
