"year"	"strain"	"gen"	"y"
1990	"7F"	"G01"	17
1990	"12H"	"G01"	2
1990	"13H"	"G01"	18
1990	"14H"	"G01"	12
1990	"15H"	"G01"	19
1990	"16G"	"G01"	19
1990	"17G"	"G01"	11
1991	"7F"	"G01"	17
1991	"12H"	"G01"	7
1991	"13H"	"G01"	11
1991	"14H"	"G01"	35
1991	"15H"	"G01"	16
1991	"16G"	"G01"	15
1991	"17G"	"G01"	22
1992	"7F"	"G01"	1
1992	"12H"	"G01"	1
1992	"13H"	"G01"	7
1992	"14H"	"G01"	19
1992	"15H"	"G01"	2
1992	"16G"	"G01"	1
1992	"17G"	"G01"	1
1993	"7F"	"G01"	6
1993	"12H"	"G01"	8
1993	"13H"	"G01"	2
1993	"14H"	"G01"	10
1993	"15H"	"G01"	3
1993	"16G"	"G01"	13
1993	"17G"	"G01"	3
1990	"7F"	"G02"	24
1990	"12H"	"G02"	2
1990	"13H"	"G02"	28
1990	"14H"	"G02"	23
1990	"15H"	"G02"	22
1990	"16G"	"G02"	24
1990	"17G"	"G02"	15
1991	"7F"	"G02"	9
1991	"12H"	"G02"	7
1991	"13H"	"G02"	7
1991	"14H"	"G02"	15
1991	"15H"	"G02"	8
1991	"16G"	"G02"	6
1991	"17G"	"G02"	16
1992	"7F"	"G02"	1
1992	"12H"	"G02"	1
1992	"13H"	"G02"	1
1992	"14H"	"G02"	1
1992	"15H"	"G02"	1
1992	"16G"	"G02"	1
1992	"17G"	"G02"	1
1993	"7F"	"G02"	2
1993	"12H"	"G02"	3
1993	"13H"	"G02"	1
1993	"14H"	"G02"	4
1993	"15H"	"G02"	1
1993	"16G"	"G02"	5
1993	"17G"	"G02"	1
1990	"7F"	"G03"	63
1990	"12H"	"G03"	15
1990	"13H"	"G03"	59
1990	"14H"	"G03"	58
1990	"15H"	"G03"	69
1990	"16G"	"G03"	75
1990	"17G"	"G03"	13
1991	"7F"	"G03"	23
1991	"12H"	"G03"	13
1991	"13H"	"G03"	14
1991	"14H"	"G03"	31
1991	"15H"	"G03"	19
1991	"16G"	"G03"	14
1991	"17G"	"G03"	30
1992	"7F"	"G03"	6
1992	"12H"	"G03"	5
1992	"13H"	"G03"	28
1992	"14H"	"G03"	53
1992	"15H"	"G03"	15
1992	"16G"	"G03"	5
1992	"17G"	"G03"	5
1993	"7F"	"G03"	49
1993	"12H"	"G03"	48
1993	"13H"	"G03"	20
1993	"14H"	"G03"	41
1993	"15H"	"G03"	39
1993	"16G"	"G03"	62
1993	"17G"	"G03"	24
1990	"7F"	"G04"	19
1990	"12H"	"G04"	2
1990	"13H"	"G04"	11
1990	"14H"	"G04"	9
1990	"15H"	"G04"	9
1990	"16G"	"G04"	17
1990	"17G"	"G04"	5
1991	"7F"	"G04"	12
1991	"12H"	"G04"	4
1991	"13H"	"G04"	5
1991	"14H"	"G04"	12
1991	"15H"	"G04"	5
1991	"16G"	"G04"	3
1991	"17G"	"G04"	13
1992	"7F"	"G04"	1
1992	"12H"	"G04"	1
1992	"13H"	"G04"	13
1992	"14H"	"G04"	25
1992	"15H"	"G04"	2
1992	"16G"	"G04"	1
1992	"17G"	"G04"	3
1993	"7F"	"G04"	7
1993	"12H"	"G04"	11
1993	"13H"	"G04"	2
1993	"14H"	"G04"	8
1993	"15H"	"G04"	9
1993	"16G"	"G04"	17
1993	"17G"	"G04"	3
1990	"7F"	"G05"	36
1990	"12H"	"G05"	2
1990	"13H"	"G05"	39
1990	"14H"	"G05"	28
1990	"15H"	"G05"	38
1990	"16G"	"G05"	43
1990	"17G"	"G05"	26
1991	"7F"	"G05"	19
1991	"12H"	"G05"	9
1991	"13H"	"G05"	16
1991	"14H"	"G05"	39
1991	"15H"	"G05"	19
1991	"16G"	"G05"	11
1991	"17G"	"G05"	30
1992	"7F"	"G05"	2
1992	"12H"	"G05"	3
1992	"13H"	"G05"	23
1992	"14H"	"G05"	45
1992	"15H"	"G05"	14
1992	"16G"	"G05"	4
1992	"17G"	"G05"	1
1993	"7F"	"G05"	32
1993	"12H"	"G05"	47
1993	"13H"	"G05"	5
1993	"14H"	"G05"	19
1993	"15H"	"G05"	7
1993	"16G"	"G05"	59
1993	"17G"	"G05"	12
1990	"7F"	"G11"	33
1990	"12H"	"G11"	4
1990	"13H"	"G11"	28
1990	"14H"	"G11"	18
1990	"15H"	"G11"	22
1990	"16G"	"G11"	33
