"year"	"state"	"acres"	"yield"
1924	"Alabama"	3000	6.5
1924	"Arkansas"	3000	6.5
1924	"Delaware"	12000	11
1924	"Georgia"	10000	5.5
1924	"Illinois"	115000	12
1924	"Indiana"	66000	9.9
1924	"Iowa"	10000	12
1924	"Kansas"	2000	11
1924	"Kentucky"	9000	9.5
1924	"Louisiana"	8000	8
1924	"Maryland"	5000	11.8
1924	"Michigan"	2000	13
1924	"Mississippi"	21000	8
1924	"Missouri"	48000	7.5
1924	"North Carolina"	75000	15.5
1924	"Ohio"	20000	11.5
1924	"Oklahoma"	3000	6.5
1924	"South Carolina"	7000	7
1924	"Tennessee"	10000	8.5
1924	"Virginia"	15000	13
1924	"West Virginia"	1000	14
1924	"Wisconsin"	3000	9
1925	"Alabama"	3000	7
1925	"Arkansas"	4000	6
1925	"Delaware"	11000	15
1925	"Georgia"	12000	6.5
1925	"Illinois"	106000	13.5
1925	"Indiana"	40000	10
1925	"Iowa"	7000	14
1925	"Kansas"	4000	10
1925	"Kentucky"	8000	8.5
1925	"Louisiana"	12000	10
1925	"Maryland"	6000	12.5
1925	"Michigan"	2000	13
1925	"Mississippi"	21000	10
1925	"Missouri"	44000	8.5
1925	"North Carolina"	80000	14.5
1925	"Ohio"	17000	14
1925	"Oklahoma"	3000	12
1925	"South Carolina"	8000	5.5
1925	"Tennessee"	8000	7.5
1925	"Virginia"	16000	11
1925	"West Virginia"	1000	13
1925	"Wisconsin"	2000	9
1926	"Alabama"	4000	4.5
1926	"Arkansas"	5000	7.5
1926	"Delaware"	8000	14
1926	"Georgia"	10000	6
1926	"Illinois"	140000	12.5
1926	"Indiana"	42000	12.6
1926	"Iowa"	10000	15
1926	"Kansas"	4000	10
1926	"Kentucky"	7000	9
1926	"Louisiana"	18000	8.5
1926	"Maryland"	4000	13.5
1926	"Michigan"	2000	14.4
1926	"Mississippi"	12000	9.5
1926	"Missouri"	53000	7.5
1926	"North Carolina"	85000	12.5
1926	"Ohio"	18000	11.5
1926	"Oklahoma"	3000	10
1926	"South Carolina"	7000	5
1926	"Tennessee"	12000	8.3
1926	"Virginia"	17000	14
1926	"West Virginia"	2000	13
1926	"Wisconsin"	3000	11
1927	"Alabama"	5000	6
1927	"Arkansas"	5000	12.5
1927	"Delaware"	14000	16
1927	"Georgia"	9000	6.3
1927	"Illinois"	184000	13
1927	"Indiana"	68000	13
1927	"Iowa"	23000	12
1927	"Kansas"	3000	12
1927	"Kentucky"	6000	9
1927	"Louisiana"	21000	9
1927	"Maryland"	3000	14
1927	"Michigan"	2000	8
1927	"Mississippi"	19000	10
1927	"Missouri"	63000	8
1927	"North Carolina"	80000	15
1927	"Ohio"	21000	14.5
1927	"Oklahoma"	5000	13
1927	"South Carolina"	7000	6
1927	"Tennessee"	9000	8
1927	"Virginia"	18000	14.5
1927	"West Virginia"	2000	14
1927	"Wisconsin"	1000	10
1928	"Alabama"	4000	6
1928	"Arkansas"	6000	10
1928	"Delaware"	13000	17
1928	"Georgia"	5000	6.5
1928	"Illinois"	186000	16.5
1928	"Indiana"	69000	14.5
1928	"Iowa"	21000	17
1928	"Kansas"	4000	11
1928	"Kentucky"	5000	10
1928	"Louisiana"	17000	7.5
1928	"Maryland"	3000	12.5
1928	"Michigan"	2000	15
1928	"Mississippi"	11000	9.5
1928	"Missouri"	76000	9.5
1928	"North Carolina"	80000	13.5
1928	"Ohio"	24000	15
1928	"Oklahoma"	7000	10.5
1928	"South Carolina"	7000	9
1928	"Tennessee"	16000	8
1928	"Virginia"	20000	13
1928	"West Virginia"	1000	11
1928	"Wisconsin"	2000	12.5
1929	"Alabama"	7000	6
1929	"Arkansas"	6000	13
1929	"Delaware"	15000	14
1929	"Georgia"	8000	5.5
1929	"Illinois"	226000	17
1929	"Indiana"	95000	15
1929	"Iowa"	36000	16
1929	"Kansas"	4000	9
1929	"Kentucky"	8000	10.5
1929	"Louisiana"	21000	10.5
1929	"Maryland"	5000	12
1929	"Michigan"	2000	10
1929	"Mississippi"	12000	9
1929	"Missouri"	92000	8
1929	"North Carolina"	92000	11.5
1929	"Ohio"	23000	15.1
1929	"Oklahoma"	7000	8
1929	"South Carolina"	7000	7
1929	"Tennessee"	17000	7.5
1929	"Virginia"	21000	13
1929	"West Virginia"	2000	12
1929	"Wisconsin"	2000	11
1930	"Alabama"	8000	5
1930	"Arkansas"	9000	7.5
1930	"Delaware"	15000	6
1930	"Georgia"	10000	5.5
1930	"Illinois"	410000	17
1930	"Indiana"	151000	14
1930	"Iowa"	66000	15.5
1930	"Kansas"	7000	7.5
1930	"Kentucky"	9000	7.5
1930	"Louisiana"	16000	10.5
1930	"Maryland"	5000	6.5
1930	"Michigan"	1000	10
1930	"Mississippi"	12000	6.5
1930	"Missouri"	138000	7
1930	"North Carolina"	128000	10.5
1930	"Ohio"	31000	14
1930	"Oklahoma"	8000	6.5
1930	"South Carolina"	9000	6.5
1930	"Tennessee"	20000	7.5
1930	"Virginia"	17000	7
1930	"West Virginia"	2000	7.5
1930	"Wisconsin"	2000	11.5
1931	"Alabama"	9000	4.8
1931	"Arkansas"	14000	12
1931	"Delaware"	14000	14
1931	"Georgia"	13000	5.2
1931	"Illinois"	428000	18
1931	"Indiana"	175000	17.8
1931	"Iowa"	51000	15.5
1931	"Kansas"	12000	9
1931	"Kentucky"	11000	12
1931	"Louisiana"	12000	11
1931	"Maryland"	7000	13.5
1931	"Michigan"	3000	12
1931	"Mississippi"	25000	9
1931	"Missouri"	121000	9
1931	"North Carolina"	134000	13.5
1931	"Ohio"	47000	20
1931	"Oklahoma"	6000	8.5
1931	"South Carolina"	10000	5.5
1931	"Tennessee"	26000	7.5
1931	"Virginia"	19000	14
1931	"West Virginia"	2000	12
1931	"Wisconsin"	2000	10
1932	"Alabama"	7000	6
1932	"Arkansas"	12000	8
1932	"Delaware"	16000	10
1932	"Georgia"	7000	6
1932	"Illinois"	388000	20
1932	"Indiana"	141000	16
1932	"Iowa"	52000	18
1932	"Kansas"	11000	7.3
1932	"Kentucky"	10000	11.5
1932	"Louisiana"	10000	11
1932	"Maryland"	6000	12
1932	"Michigan"	9000	13
1932	"Mississippi"	21000	8
1932	"Missouri"	106000	10
1932	"North Carolina"	115000	10
1932	"Ohio"	34000	15.5
1932	"Oklahoma"	3000	7.5
1932	"South Carolina"	9000	7
1932	"Tennessee"	21000	7
1932	"Virginia"	18000	9.5
1932	"West Virginia"	2000	14
1932	"Wisconsin"	3000	12
1933	"Alabama"	9000	5.5
1933	"Arkansas"	16000	12.5
1933	"Delaware"	17000	14
1933	"Georgia"	7000	5
1933	"Illinois"	361000	15
1933	"Indiana"	120000	15
1933	"Iowa"	95000	17
1933	"Kansas"	11000	8.5
1933	"Kentucky"	8000	10
1933	"Louisiana"	7000	12
1933	"Maryland"	7000	13
1933	"Michigan"	8000	12
1933	"Mississippi"	17000	9
1933	"Missouri"	167000	9
1933	"North Carolina"	108000	9.5
1933	"Ohio"	33000	16
1933	"Oklahoma"	2000	9
1933	"South Carolina"	9000	6.5
1933	"Tennessee"	19000	7.5
1933	"Virginia"	18000	12.5
1933	"West Virginia"	2000	12
1933	"Wisconsin"	3000	11.5
1934	"Alabama"	10000	6
1934	"Arkansas"	20000	8
1934	"Delaware"	17000	16.5
1934	"Georgia"	7000	6
1934	"Illinois"	724000	19
1934	"Indiana"	185000	16
1934	"Iowa"	180000	11.5
1934	"Kansas"	7000	5
1934	"Kentucky"	9000	10.5
1934	"Louisiana"	8000	11
1934	"Maryland"	6000	14.3
1934	"Michigan"	8000	10.5
1934	"Minnesota"	2000	15
1934	"Mississippi"	26000	8.2
1934	"Missouri"	142000	5.5
1934	"New York"	1000	15
1934	"North Carolina"	112000	10.5
1934	"Ohio"	41000	17
1934	"Oklahoma"	2000	3
1934	"Pennsylvania"	2000	16.5
1934	"South Carolina"	4000	6
1934	"Tennessee"	17000	7.6
1934	"Texas"	2000	8.5
1934	"Virginia"	21000	13.5
1934	"West Virginia"	1000	13
1934	"Wisconsin"	2000	12
1935	"Alabama"	11000	5.5
1935	"Arkansas"	27000	11.5
1935	"Delaware"	16000	13
1935	"Georgia"	7000	6
1935	"Illinois"	1509000	18.5
1935	"Indiana"	410000	17
1935	"Iowa"	408000	16.5
1935	"Kansas"	7000	6.5
1935	"Kentucky"	8000	10
1935	"Louisiana"	9000	12.5
1935	"Maryland"	5000	12
1935	"Michigan"	16000	14.5
1935	"Minnesota"	6000	14
1935	"Mississippi"	37000	8.5
1935	"Missouri"	142000	7.5
1935	"New York"	2000	14
1935	"North Carolina"	115000	12.5
1935	"Ohio"	124000	21
1935	"Oklahoma"	1000	9
1935	"Pennsylvania"	2000	16.5
1935	"South Carolina"	5000	7
1935	"Tennessee"	18000	6.5
1935	"Texas"	2000	10
1935	"Virginia"	25000	14
1935	"West Virginia"	1000	10.5
1935	"Wisconsin"	2000	13
1936	"Alabama"	14000	6
1936	"Arkansas"	49000	7.5
1936	"Delaware"	15000	12
1936	"Georgia"	13000	5.5
1936	"Illinois"	1278000	16
1936	"Indiana"	299000	14
1936	"Iowa"	192000	14
1936	"Kansas"	6000	4
1936	"Kentucky"	11000	9.5
1936	"Louisiana"	20000	13
1936	"Maryland"	6000	12.5
1936	"Michigan"	15000	12.5
1936	"Minnesota"	6000	12
1936	"Mississippi"	41000	6.5
1936	"Missouri"	45000	5
1936	"New York"	3000	13
1936	"North Carolina"	144000	12
1936	"Ohio"	132000	15.5
1936	"Oklahoma"	1000	4
1936	"Pennsylvania"	3000	15
1936	"South Carolina"	7000	6.5
1936	"Tennessee"	17000	7
1936	"Texas"	2000	8
1936	"Virginia"	37000	11
1936	"West Virginia"	1000	11
1936	"Wisconsin"	2000	10
1937	"Alabama"	11000	7
1937	"Arkansas"	71000	13
1937	"Delaware"	19000	15
1937	"Georgia"	14000	6
1937	"Illinois"	1355000	20
1937	"Indiana"	341000	17
1937	"Iowa"	234000	18.5
1937	"Kansas"	4000	8
1937	"Kentucky"	10000	12
1937	"Louisiana"	12000	12
1937	"Maryland"	8000	14.5
1937	"Michigan"	16000	14.5
1937	"Minnesota"	10000	14
1937	"Mississippi"	24000	8.5
1937	"Missouri"	58000	11
1937	"New York"	4000	16
1937	"North Carolina"	148000	12
1937	"Ohio"	171000	19
1937	"Oklahoma"	2000	8
1937	"Pennsylvania"	5000	16
1937	"South Carolina"	6000	6.5
1937	"Tennessee"	20000	7.5
1937	"Texas"	2000	9
1937	"Virginia"	37000	13.5
1937	"West Virginia"	1000	12.5
1937	"Wisconsin"	3000	13
1938	"Alabama"	10000	5.5
1938	"Arkansas"	63000	12.5
1938	"Delaware"	22000	15
1938	"Georgia"	15000	5.5
1938	"Illinois"	1433000	23.5
1938	"Indiana"	469000	20
1938	"Iowa"	308000	21
1938	"Kansas"	6000	10.5
1938	"Kentucky"	17000	12
1938	"Louisiana"	14000	12
1938	"Maryland"	12000	15
