"col"	"row"	"yield"	"block"
1	1	1.23	"B1"
2	1	0.9	"B1"
3	1	0.97	"B1"
4	1	1.1	"B1"
5	1	0.99	"B1"
6	1	1.43	"B1"
7	1	1.51	"B1"
8	1	1.26	"B1"
9	1	1.15	"B1"
10	1	1.13	"B1"
11	1	1.01	"B1"
12	1	1.14	"B1"
13	1	1.2	"B1"
14	1	1.44	"B1"
15	1	1.66	"B1"
16	1	1.35	"B1"
1	2	1.07	"B1"
2	2	0.79	"B1"
3	2	0.76	"B1"
4	2	0.85	"B1"
5	2	1.23	"B1"
6	2	1.2	"B1"
7	2	1.36	"B1"
8	2	1.2	"B1"
9	2	1.11	"B1"
10	2	1.19	"B1"
11	2	1.05	"B1"
12	2	0.92	"B1"
13	2	1.18	"B1"
14	2	1.55	"B1"
15	2	1.38	"B1"
16	2	1.37	"B1"
1	3	1.07	"B1"
2	3	0.79	"B1"
3	3	0.86	"B1"
4	3	0.92	"B1"
5	3	1.13	"B1"
6	3	0.97	"B1"
7	3	1.15	"B1"
8	3	1.04	"B1"
9	3	0.95	"B1"
10	3	1.23	"B1"
11	3	1.12	"B1"
12	3	0.98	"B1"
13	3	1.24	"B1"
14	3	1.4	"B1"
15	3	1.39	"B1"
16	3	1.11	"B1"
1	4	1.09	"B1"
2	4	0.98	"B1"
3	4	0.86	"B1"
4	4	0.98	"B1"
5	4	0.9	"B1"
6	4	0.92	"B1"
7	4	0.79	"B1"
8	4	1	"B1"
9	4	0.91	"B1"
10	4	1.12	"B1"
11	4	1.1	"B1"
12	4	0.89	"B1"
13	4	1.05	"B1"
14	4	1.34	"B1"
15	4	1.29	"B1"
16	4	1.16	"B1"
1	5	1.05	"B1"
2	5	0.83	"B1"
3	5	0.97	"B1"
4	5	0.78	"B1"
5	5	0.8	"B1"
6	5	1.05	"B1"
7	5	1.16	"B1"
8	5	0.95	"B1"
9	5	0.93	"B1"
10	5	1.04	"B1"
11	5	0.85	"B1"
12	5	0.81	"B1"
13	5	1.12	"B1"
14	5	1.26	"B1"
15	5	1.28	"B1"
16	5	1.1	"B1"
1	6	1.17	"B1"
2	6	1.19	"B1"
3	6	1.08	"B1"
4	6	1.01	"B1"
5	6	1.1	"B1"
6	6	1.27	"B1"
7	6	1.02	"B1"
8	6	1.19	"B1"
9	6	1.08	"B1"
10	6	1.25	"B1"
11	6	1.05	"B1"
12	6	1.01	"B1"
13	6	1.04	"B1"
14	6	1.28	"B1"
15	6	1.27	"B1"
16	6	1.16	"B1"
1	7	1.06	"B1"
2	7	1.11	"B1"
3	7	1.15	"B1"
4	7	1.07	"B1"
5	7	1.16	"B1"
6	7	1.21	"B1"
7	7	0.84	"B1"
8	7	1.14	"B1"
9	7	1.02	"B1"
10	7	1.45	"B1"
11	7	0.95	"B1"
12	7	1.12	"B1"
13	7	0.97	"B1"
14	7	1.29	"B1"
15	7	1.19	"B1"
16	7	1.09	"B1"
1	8	1.05	"B1"
2	8	1	"B1"
3	8	1.08	"B1"
4	8	1.2	"B1"
5	8	1.2	"B1"
6	8	1.2	"B1"
7	8	0.79	"B1"
8	8	0.97	"B1"
9	8	0.75	"B1"
10	8	1.01	"B1"
11	8	0.85	"B1"
12	8	0.86	"B1"
13	8	1.18	"B1"
14	8	1.14	"B1"
15	8	1.3	"B1"
16	8	1.24	"B1"
1	9	1.13	"B1"
2	9	1.15	"B1"
3	9	1.17	"B1"
4	9	1.16	"B1"
5	9	1.06	"B1"
6	9	1.03	"B1"
7	9	0.75	"B1"
8	9	0.94	"B1"
9	9	0.95	"B1"
10	9	1.03	"B1"
11	9	0.98	"B1"
12	9	1.1	"B1"
13	9	1.38	"B1"
14	9	1.29	"B1"
15	9	1.39	"B1"
16	9	1.27	"B1"
1	10	1.13	"B1"
2	10	1.3	"B1"
3	10	1.19	"B1"
4	10	1.33	"B1"
5	10	0.88	"B1"
6	10	0.74	"B1"
7	10	0.81	"B1"
8	10	0.8	"B1"
9	10	0.79	"B1"
10	10	0.98	"B1"
11	10	0.91	"B1"
12	10	0.83	"B1"
13	10	1.3	"B1"
14	10	1.19	"B1"
15	10	1.23	"B1"
16	10	1.31	"B1"
1	11	1.13	"B1"
2	11	1.35	"B1"
3	11	1.34	"B1"
4	11	1.33	"B1"
5	11	1.17	"B1"
6	11	1.2	"B1"
7	11	0.95	"B1"
8	11	0.79	"B1"
9	11	0.96	"B1"
10	11	0.98	"B1"
11	11	1.24	"B1"
12	11	1.39	"B1"
13	11	1.13	"B1"
14	11	1.25	"B1"
15	11	1.38	"B1"
16	11	1.38	"B1"
1	12	1.23	"B1"
2	12	1.23	"B1"
3	12	1.2	"B1"
4	12	1.15	"B1"
