block	trt	count1	count2
B1	None	38	13
B2	None	39	33
B3	None	41	39
B4	None	27	42
B5	None	50	14
B6	None	65	49
B7	None	59	39
B8	None	52	21
B9	None	77	26
B10	None	84	44
B11	None	61	40
B12	None	38	19
B13	None	62	47
B14	None	136	26
B15	None	88	32
B1	Early	24	7
B2	Early	47	39
B3	Early	68	25
B4	Early	71	11
B5	Early	31	25
B6	Early	73	57
B7	Early	88	30
B8	Early	45	12
B9	Early	47	18
B10	Early	59	31
B11	Early	64	28
B12	Early	51	19
B13	Early	107	24
B14	Early	79	27
B15	Early	90	27
B1	Late	28	11
B2	Late	29	4
B3	Late	36	16
B4	Late	45	18
B5	Late	26	11
B6	Late	57	16
B7	Late	49	13
B8	Late	35	5
B9	Late	35	1
B10	Late	58	22
B11	Late	50	12
B12	Late	13	9
B13	Late	46	8
B14	Late	39	20
B15	Late	68	12
B1	Both	22	3
B2	Both	19	19
B3	Both	23	13
B4	Both	34	4
B5	Both	45	8
B6	Both	63	13
B7	Both	55	19
B8	Both	43	6
B9	Both	82	12
B10	Both	45	9
B11	Both	50	15
B12	Both	32	11
B13	Both	59	7
B14	Both	72	24
B15	Both	74	18
