env	gen	yield
E01	G1	NA
E02	G1	NA
E03	G1	NA
E04	G1	NA
E05	G1	NA
E06	G1	NA
E07	G1	NA
E08	G1	NA
E09	G1	NA
E10	G1	63
E11	G1	72
E12	G1	69
E13	G1	55
E14	G1	52
E15	G1	67
E16	G1	63
E17	G1	55
E18	G1	66
E19	G1	57
E20	G1	69
E21	G1	73
E22	G1	68
E23	G1	64
E24	G1	67
E25	G1	70
E26	G1	70
E01	G2	NA
E02	G2	NA
E03	G2	NA
E04	G2	NA
E05	G2	NA
E06	G2	NA
E07	G2	NA
E08	G2	NA
E09	G2	NA
E10	G2	64
E11	G2	82
E12	G2	76
E13	G2	53
E14	G2	59
E15	G2	62
E16	G2	74
E17	G2	54
E18	G2	66
E19	G2	54
E20	G2	64
E21	G2	69
E22	G2	66
E23	G2	79
E24	G2	66
E25	G2	66
E26	G2	65
E01	G3	NA
E02	G3	NA
E03	G3	NA
E04	G3	NA
E05	G3	75
E06	G3	72
E07	G3	55
E08	G3	52
E09	G3	79
E10	G3	72
E11	G3	83
E12	G3	78
E13	G3	40
E14	G3	54
E15	G3	65
E16	G3	73
E17	G3	NA
E18	G3	NA
E19	G3	NA
E20	G3	NA
E21	G3	NA
E22	G3	NA
E23	G3	NA
E24	G3	NA
E25	G3	NA
E26	G3	NA
E01	G4	66
E02	G4	59
E03	G4	67
E04	G4	55
E05	G4	85
E06	G4	77
E07	G4	51
E08	G4	49
E09	G4	80
E10	G4	65
E11	G4	88
E12	G4	86
E13	G4	63
E14	G4	53
E15	G4	68
E16	G4	63
E17	G4	52
E18	G4	NA
E19	G4	NA
E20	G4	NA
E21	G4	NA
E22	G4	NA
E23	G4	NA
E24	G4	NA
E25	G4	NA
E26	G4	60
E01	G5	49
E02	G5	40
E03	G5	57
E04	G5	53
E05	G5	74
E06	G5	71
E07	G5	46
E08	G5	44
E09	G5	62
E10	G5	51
E11	G5	72
E12	G5	70
E13	G5	60
E14	G5	51
E15	G5	65
E16	G5	59
E17	G5	51
E18	G5	66
E19	G5	NA
E20	G5	NA
E21	G5	NA
E22	G5	NA
E23	G5	NA
E24	G5	NA
E25	G5	NA
E26	G5	NA
